BASLIK,MARKA,TEMEL OZELLIKLER - Seri,MODEL,TEMEL OZELLIKLER - Donanim Paketi,TEMEL OZELLIKLER - Arac Turu,TEMEL OZELLIKLER - Govde Tipi,TEMEL OZELLIKLER - Segment,TEMEL OZELLIKLER - Model Yili,TEMEL OZELLIKLER - Ait Oldugu Ulke,TEMEL OZELLIKLER - Motor Tipi,TEMEL OZELLIKLER - Motorlu Tasit Vergisi,TEMEL OZELLIKLER - Yakit Tipi,MOTOR (Icten Yanmali) - Besleme Tipi,MOTOR (Icten Yanmali) - Silindir Adedi,MOTOR (Icten Yanmali) - Silindir Hacmi,MOTOR (Icten Yanmali) - Yakit Puskurtme,PERFORMANS - Azami Hiz,PERFORMANS - Azami Tork (Toplam),PERFORMANS - Beygir Gucu (Toplam),PERFORMANS - 0 - 100 Km Hizlanma,AGIRLIK & OLCULER - Agirlik,AGIRLIK & OLCULER - Genislik,AGIRLIK & OLCULER - Uzunluk,AGIRLIK & OLCULER - Yukseklik,BAGAJ OZELLIKLERI - Bagaj Hacmi (2 Koltuk),BAGAJ OZELLIKLERI - Bagaj Hacmi (5 Koltuk),DIS GOVDE - Kapi Sayisi,FRENLER & SUSPANSIYON - Park Freni Tipi,GOSTERGELER & SENSORLER - Far Sensoru,GOSTERGELER & SENSORLER - Lastik Basinc Sensoru,GOSTERGELER & SENSORLER - Park Sensoru & Yardimi,GOSTERGELER & SENSORLER - Yagmur Sensoru,ISITMA & SOGUTMA - Klima,KOLTUKLAR & IC DOSEME - Koltuk Dosemesi Tipi,KOLTUKLAR & IC DOSEME - Koltuk Sayisi,KOLTUKLAR & IC DOSEME - On Yolcu Koltugu Ayarlari,KOLTUKLAR & IC DOSEME - Surucu Koltugu Ayarlari,LAMBALAR & AYDINLATMA - Far Tipi,LAMBALAR & AYDINLATMA - Sis Farlari,LASTIK & JANT - Jant Capi,LASTIK & JANT - Jant Tipi,LASTIK & JANT - Kesit Orani,LASTIK & JANT - Lastik Ebatlari,LASTIK & JANT - Taban Genisligi,MOTOR (Elektrikli) - Azami Tork,MOTOR (Elektrikli) - Batarya Garantisi,MOTOR (Elektrikli) - Batarya Kapasitesi,MOTOR (Elektrikli) - Batarya Tipi,MOTOR (Elektrikli) - Menzil (WLTP - Birlesik),MOTOR (Elektrikli) - Menzil (WLTP - Sehir Ici),MOTOR (Elektrikli) - Motor Gucu,MOTOR (Elektrikli) - Ortalama Tuketim (Elk.),MOTOR (Elektrikli) - Sarj Suresi,SANZIMAN & CEKIS SISTEMI - Cekis,SANZIMAN & CEKIS SISTEMI - Cekis Kontrol Sistemi,SANZIMAN & CEKIS SISTEMI - Sanziman Kademesi,SANZIMAN & CEKIS SISTEMI - Sanziman Ozellikleri,SANZIMAN & CEKIS SISTEMI - Sanziman Turu,SURUS DESTEK SISTEMLERI - Denge Kontrol Sistemi,SURUS DESTEK SISTEMLERI - Diferansiyel Kilidi,SURUS DESTEK SISTEMLERI - Dur & Kalk (Stop & Start),SURUS DESTEK SISTEMLERI - Hiz Sabitleme & Sinirlama,SURUS DESTEK SISTEMLERI - Serit Takip Sistemi,SURUS DESTEK SISTEMLERI - Yokus Kalkis Destegi,YAKIT TUKETIMI & EMISYON - Cevre Standardi (Emisyon),YAKIT TUKETIMI & EMISYON - Ortalama Emisyon,YAKIT TUKETIMI & EMISYON - Ortalama Y.Tuketimi (100 km),YAKIT TUKETIMI & EMISYON - Ortalama Y.Tuketimi (100 km/WLTP),YAKIT TUKETIMI & EMISYON - Sehir Disi Tuketim (100 km),YAKIT TUKETIMI & EMISYON - Sehir Ici Tuketim (100 km),YAKIT TUKETIMI & EMISYON - Yakit Kapasitesi,YOLCU EMNIYETI - Anahtarsiz Sistem,YOLCU EMNIYETI - Hava Yastigi Adedi,YOLCU EMNIYETI - NCAP/ANCAP Puani
2018 Renault Clio 1.2 75 HP Joy,Renault,Clio,Clio,Joy,Binek,Hatchback,B,2018,Fransa,Icten Yanmali (Standart),1882,Benzin,Atmosferik,4,1149 cc,Cok Noktadan Enjeksiyon,167 km/s,107 nm,75 BG,14.5 saniye,1055 kg,1732 mm,4062 mm,1448 mm,,300 lt,5.0,Mekanik Park Freni,Yok,,Yok,Yok,Manuel Klima,Kumas,5.0,Manuel,Manuel,Halojen,Yok,15 inc,Kapakli Sac,65 %,185/65 R15,185 mm,,,,,,,,,,Onden Cekisli,,5 ileri,,Manuel,Var,,,Var,,Var,Euro 5,127 g/km,5.5 lt,,4.5 lt,7.1 lt,45 lt,Var,4 adet,5 yildiz
2018 Renault Clio 1.2 75 HP Touch,Renault,Clio,Clio,Touch,Binek,Hatchback,B,2018,Fransa,Icten Yanmali (Standart),1882,Benzin,Atmosferik,4,1149 cc,Cok Noktadan Enjeksiyon,167 km/s,107 nm,75 BG,14.5 saniye,1055 kg,1732 mm,4062 mm,1448 mm,,300 lt,5.0,Mekanik Park Freni,Yok,,Yok,Yok,Manuel Klima,Kumas,5.0,Manuel,Manuel,Halojen,Var,15 inc,Kapakli Sac,65 %,185/65 R15,185 mm,,,,,,,,,,Onden Cekisli,,5 ileri,,Manuel,Var,,,Var,,Var,Euro 5,127 g/km,5.5 lt,,4.5 lt,7.1 lt,45 lt,Var,4 adet,5 yildiz
2018 Renault Clio 1.5 dCi 75 HP Joy,Renault,Clio,Clio,Joy,Binek,Hatchback,B,2018,Fransa,Icten Yanmali (Standart),3661,Dizel,Turbo,4,1461 cc,Common Rail Direkt Enjeksiyon,168 km/s,200 nm,75 BG,14.3 saniye,1146 kg,1732 mm,4062 mm,1448 mm,,300 lt,5.0,Mekanik Park Freni,Yok,,Yok,Yok,Manuel Klima,Kumas,5.0,Manuel,Manuel,Halojen,Yok,15 inc,Kapakli Sac,65 %,185/65 R15,185 mm,,,,,,,,,,Onden Cekisli,,5 ileri,,Manuel,Var,,,Var,,Var,Euro 5,90 g/km,3.6 lt,,3.2 lt,4.3 lt,45 lt,Var,4 adet,5 yildiz
2018 Renault Clio 1.5 dCi 90 HP EDC Icon,Renault,Clio,Clio,Icon,Binek,Hatchback,B,2018,Fransa,Icten Yanmali (Standart),3661,Dizel,Turbo,4,1461 cc,Common Rail Direkt Enjeksiyon,176 km/s,220 nm,90 BG,12.9 saniye,1255 kg,1732 mm,4062 mm,1448 mm,,300 lt,5.0,Mekanik Park Freni,Yok,,Var,Var,Otomatik Klima,Kumas,5.0,Manuel,Manuel,LED,Var,16 inc,Alasimli,65 %,185/65 R16,185 mm,,,,,,,,,,Onden Cekisli,,6 ileri,EDC (Cift Kavramali Otm.),Otomatik,Var,,,Var,,Var,Euro 6,92 g/km,3.7 lt,,3.3 lt,4.3 lt,45 lt,Var,4 adet,5 yildiz
2018 Renault Clio 1.5 dCi 90 HP EDC Touch,Renault,Clio,Clio,Touch,Binek,Hatchback,B,2018,Fransa,Icten Yanmali (Standart),3661,Dizel,Turbo,4,1461 cc,Common Rail Direkt Enjeksiyon,176 km/s,220 nm,90 BG,12.9 saniye,1227 kg,1732 mm,4062 mm,1448 mm,,300 lt,5.0,Mekanik Park Freni,Yok,,Yok,Yok,Manuel Klima,Kumas,5.0,Manuel,Manuel,Halojen,Var,15 inc,Kapakli Sac,65 %,185/65 R15,185 mm,,,,,,,,,,Onden Cekisli,,6 ileri,EDC (Cift Kavramali Otm.),Otomatik,Var,,,Var,,Var,Euro 6,95 g/km,3.7 lt,,3.3 lt,4.3 lt,45 lt,Var,4 adet,5 yildiz
2018 Renault Clio 1.5 dCi 90 HP Icon,Renault,Clio,Clio,Icon,Binek,Hatchback,B,2018,Fransa,Icten Yanmali (Standart),3661,Dizel,Turbo,4,1461 cc,Common Rail Direkt Enjeksiyon,180 km/s,220 nm,90 BG,12.0 saniye,1165 kg,1732 mm,4062 mm,1448 mm,,300 lt,5.0,Mekanik Park Freni,Yok,,Var,Var,Otomatik Klima,Kumas,5.0,Manuel,Manuel,LED,Var,16 inc,Alasimli,65 %,185/65 R16,185 mm,,,,,,,,,,Onden Cekisli,,5 ileri,,Manuel,Var,,,Var,,Var,Euro 6,85 g/km,3.6 lt,,3.2 lt,4.3 lt,45 lt,Var,4 adet,5 yildiz
2018 Renault Clio 1.5 dCi 90 HP Touch,Renault,Clio,Clio,Touch,Binek,Hatchback,B,2018,Fransa,Icten Yanmali (Standart),3661,Dizel,Turbo,4,1461 cc,Common Rail Direkt Enjeksiyon,180 km/s,220 nm,90 BG,12.0 saniye,1165 kg,1732 mm,4062 mm,1448 mm,,300 lt,5.0,Mekanik Park Freni,Yok,,Yok,Yok,Manuel Klima,Kumas,5.0,Manuel,Manuel,Halojen,Var,15 inc,Kapakli Sac,65 %,185/65 R15,185 mm,,,,,,,,,,Onden Cekisli,,5 ileri,,Manuel,Var,,,Var,,Var,Euro 6,85 g/km,3.6 lt,,3.2 lt,4.3 lt,45 lt,Var,4 adet,5 yildiz
2019 Renault Clio 0.9 TCe 90 BG Joy,Renault,Clio,Clio,Joy,Binek,Hatchback,B,2019,Fransa,Icten Yanmali (Standart),3372,Benzin,Turbo,3,898 cc,Cok Noktadan Enjeksiyon,180 km/s,150 nm,90 BG,12.2 saniye,1082 kg,1732 mm,4062 mm,1448 mm,,300 lt,,,,,,,,,,,,,,,,,,,,,,,,,,,,Onden Cekisli,,5 ileri,,Manuel,,,,,,,,105 g/km,4.7 lt,,4.1 lt,5.7 lt,45 lt,,,5 yildiz
2019 Renault Clio 0.9 TCe 90 BG Touch,Renault,Clio,Clio,Touch,Binek,Hatchback,B,2019,Fransa,Icten Yanmali (Standart),3372,Benzin,Turbo,3,898 cc,Cok Noktadan Enjeksiyon,180 km/s,150 nm,90 BG,12.2 saniye,1082 kg,1732 mm,4062 mm,1448 mm,,300 lt,,,,,,,,,,,,,,,,,,,,,,,,,,,,Onden Cekisli,,5 ileri,,Manuel,,,,,,,,105 g/km,4.7 lt,,4.1 lt,5.7 lt,45 lt,,,5 yildiz
2019 Renault Clio 1.2 120 HP EDC Icon,Renault,Clio,Clio,Icon,Binek,Hatchback,B,2019,Fransa,Icten Yanmali (Standart),3372,Benzin,Turbo,4,1197 cc,Cok Noktadan Enjeksiyon,199 km/s,190 nm,120 BG,9.4 saniye,1165 kg,1732 mm,4062 mm,1448 mm,,300 lt,,,,,,,,,,,,,,,,,,,,,,,,,,,,Onden Cekisli,,6 ileri,EDC (Cift Kavramali Otm.),Otomatik,,,,,,,Euro 5,120 g/km,5.2 lt,,4.4 lt,6.6 lt,45 lt,,,5 yildiz
2019 Renault Clio 1.2 120 HP EDC Joy,Renault,Clio,Clio,Joy,Binek,Hatchback,B,2019,Fransa,Icten Yanmali (Standart),3372,Benzin,Turbo,4,1197 cc,Cok Noktadan Enjeksiyon,199 km/s,190 nm,120 BG,9.4 saniye,1165 kg,1732 mm,4062 mm,1448 mm,,300 lt,,,,,,,,,,,,,,,,,,,,,,,,,,,,Onden Cekisli,,6 ileri,EDC (Cift Kavramali Otm.),Otomatik,,,,,,,Euro 5,120 g/km,5.2 lt,,4.4 lt,6.6 lt,45 lt,,,5 yildiz
2019 Renault Clio 1.2 120 HP EDC Touch,Renault,Clio,Clio,Touch,Binek,Hatchback,B,2019,Fransa,Icten Yanmali (Standart),3372,Benzin,Turbo,4,1197 cc,Cok Noktadan Enjeksiyon,199 km/s,190 nm,120 BG,9.4 saniye,1165 kg,1732 mm,4062 mm,1448 mm,,300 lt,,,,,,,,,,,,,,,,,,,,,,,,,,,,Onden Cekisli,,6 ileri,EDC (Cift Kavramali Otm.),Otomatik,,,,,,,Euro 5,120 g/km,5.2 lt,,4.4 lt,6.6 lt,45 lt,,,5 yildiz
2019 Renault Clio 1.2 75 HP Joy,Renault,Clio,Clio,Joy,Binek,Hatchback,B,2019,Fransa,Icten Yanmali (Standart),3372,Benzin,Atmosferik,4,1149 cc,Cok Noktadan Enjeksiyon,167 km/s,107 nm,75 BG,14.5 saniye,1055 kg,1732 mm,4062 mm,1448 mm,,300 lt,,,,,,,,,,,,,,,,,,,,,,,,,,,,Onden Cekisli,,5 ileri,,Manuel,,,,,,,Euro 5,127 g/km,5.5 lt,,4.5 lt,7.1 lt,45 lt,,,5 yildiz
2019 Renault Clio 1.5 dCi 75 HP Joy,Renault,Clio,Clio,Joy,Binek,Hatchback,B,2019,Fransa,Icten Yanmali (Standart),6314,Dizel,Turbo,4,1461 cc,Common Rail Direkt Enjeksiyon,168 km/s,200 nm,75 BG,14.3 saniye,1146 kg,1732 mm,4062 mm,1448 mm,,300 lt,,,,,,,,,,,,,,,,,,,,,,,,,,,,Onden Cekisli,,5 ileri,,Manuel,,,,,,,Euro 5,90 g/km,3.6 lt,,3.2 lt,4.3 lt,45 lt,,,5 yildiz
2019 Renault Clio 1.5 dCi 90 HP EDC Icon,Renault,Clio,Clio,Icon,Binek,Hatchback,B,2019,Fransa,Icten Yanmali (Standart),6314,Dizel,Turbo,4,1461 cc,Common Rail Direkt Enjeksiyon,176 km/s,220 nm,90 BG,12.9 saniye,1227 kg,1732 mm,4062 mm,1448 mm,,300 lt,,,,,,,,,,,,,,,,,,,,,,,,,,,,Onden Cekisli,,6 ileri,EDC (Cift Kavramali Otm.),Otomatik,,,,,,,Euro 5,95 g/km,3.7 lt,,3.3 lt,4.3 lt,45 lt,,,5 yildiz
2019 Renault Clio 1.5 dCi 90 HP EDC Touch,Renault,Clio,Clio,Touch,Binek,Hatchback,B,2019,Fransa,Icten Yanmali (Standart),6314,Dizel,Turbo,4,1461 cc,Common Rail Direkt Enjeksiyon,176 km/s,220 nm,90 BG,12.9 saniye,1227 kg,1732 mm,4062 mm,1448 mm,,300 lt,,,,,,,,,,,,,,,,,,,,,,,,,,,,Onden Cekisli,,6 ileri,EDC (Cift Kavramali Otm.),Otomatik,,,,,,,Euro 5,95 g/km,3.7 lt,,3.3 lt,4.3 lt,45 lt,,,5 yildiz
2019 Renault Clio 1.5 dCi 90 HP Icon,Renault,Clio,Clio,Icon,Binek,Hatchback,B,2019,Fransa,Icten Yanmali (Standart),6314,Dizel,Turbo,4,1461 cc,Common Rail Direkt Enjeksiyon,180 km/s,220 nm,90 BG,12.0 saniye,1146 kg,1732 mm,4062 mm,1448 mm,,300 lt,,,,,,,,,,,,,,,,,,,,,,,,,,,,Onden Cekisli,,5 ileri,,Manuel,,,,,,,Euro 5,90 g/km,3.6 lt,,3.2 lt,4.3 lt,45 lt,,,5 yildiz
2019 Renault Clio 1.5 dCi 90 HP Touch,Renault,Clio,Clio,Touch,Binek,Hatchback,B,2019,Fransa,Icten Yanmali (Standart),6314,Dizel,Turbo,4,1461 cc,Common Rail Direkt Enjeksiyon,180 km/s,220 nm,90 BG,12.0 saniye,1146 kg,1732 mm,4062 mm,1448 mm,,300 lt,,,,,,,,,,,,,,,,,,,,,,,,,,,,Onden Cekisli,,5 ileri,,Manuel,,,,,,,Euro 5,90 g/km,3.6 lt,,3.2 lt,4.3 lt,45 lt,,,5 yildiz
2020 Renault Clio 0.9 TCe 90 BG Icon,Renault,Clio,Clio,Icon,Binek,Hatchback,B,2020,Fransa,Icten Yanmali (Standart),3372,Benzin,Turbo,3,898 cc,Cok Noktadan Enjeksiyon,180 km/s,150 nm,90 BG,12.2 saniye,1082 kg,1732 mm,4062 mm,1448 mm,,300 lt,,,,,,,,,,,,,,,,,,,,,,,,,,,,Onden Cekisli,,5 ileri,,Manuel,,,,,,,,105 g/km,4.7 lt,,4.1 lt,5.7 lt,45 lt,,,5 yildiz
2020 Renault Clio 0.9 TCe 90 BG Joy,Renault,Clio,Clio,Joy,Binek,Hatchback,B,2020,Fransa,Icten Yanmali (Standart),3372,Benzin,Turbo,3,898 cc,Cok Noktadan Enjeksiyon,180 km/s,150 nm,90 BG,12.2 saniye,1082 kg,1732 mm,4062 mm,1448 mm,,300 lt,,,,,,,,,,,,,,,,,,,,,,,,,,,,Onden Cekisli,,5 ileri,,Manuel,,,,,,,,105 g/km,4.7 lt,,4.1 lt,5.7 lt,45 lt,,,5 yildiz
2020 Renault Clio 0.9 TCe 90 BG Touch,Renault,Clio,Clio,Touch,Binek,Hatchback,B,2020,Fransa,Icten Yanmali (Standart),3372,Benzin,Turbo,3,898 cc,Cok Noktadan Enjeksiyon,180 km/s,150 nm,90 BG,12.2 saniye,1082 kg,1732 mm,4062 mm,1448 mm,,300 lt,,,,,,,,,,,,,,,,,,,,,,,,,,,,Onden Cekisli,,5 ileri,,Manuel,,,,,,,,105 g/km,4.7 lt,,4.1 lt,5.7 lt,45 lt,,,5 yildiz
2020 Renault Clio 1.0 SCe 72 BG Joy,Renault,Clio,Clio,Joy,Binek,Hatchback,B,2020,Fransa,Icten Yanmali (Standart),3372,Benzin,Atmosferik,3,999 cc,Cok Noktadan Enjeksiyon,162 km/s,95 nm,72 BG,16.4 saniye,1117 kg,1798 mm,4050 mm,1440 mm,1069 lt,391 lt,,,,,,,,,,,,,,,,,,,,,,,,,,,,Onden Cekisli,,5 ileri,,Manuel,,,,,,,,114 g/km,5.3 lt,,4.3 lt,6.3 lt,42 lt,,,5 yildiz
2020 Renault Clio 1.0 TCe 100 BG Icon,Renault,Clio,Clio,Icon,Binek,Hatchback,B,2020,Fransa,Icten Yanmali (Standart),3372,Benzin,Turbo,3,999 cc,Cok Noktadan Enjeksiyon,187 km/s,160 nm,100 BG,11.8 saniye,1165 kg,1798 mm,4050 mm,1440 mm,1069 lt,391 lt,,,,,,,,,,,,,,,,,,,,,,,,,,,,Onden Cekisli,,5 ileri,,Manuel,,,,,,,,102 g/km,4.5 lt,,3.8 lt,5.6 lt,42 lt,,,5 yildiz
2020 Renault Clio 1.0 TCe 100 BG Touch,Renault,Clio,Clio,Touch,Binek,Hatchback,B,2020,Fransa,Icten Yanmali (Standart),3372,Benzin,Turbo,3,999 cc,Cok Noktadan Enjeksiyon,187 km/s,160 nm,100 BG,11.8 saniye,1165 kg,1798 mm,4050 mm,1440 mm,1069 lt,391 lt,,,,,,,,,,,,,,,,,,,,,,,,,,,,Onden Cekisli,,5 ileri,,Manuel,,,,,,,,102 g/km,4.5 lt,,3.8 lt,5.6 lt,42 lt,,,5 yildiz
2020 Renault Clio 1.0 TCe 100 BG X-Tronic Icon,Renault,Clio,Clio,Icon,Binek,Hatchback,B,2020,Fransa,Icten Yanmali (Standart),3372,Benzin,Turbo,3,999 cc,Cok Noktadan Enjeksiyon,182 km/s,142 nm,100 BG,11.5 saniye,1187 kg,1798 mm,4050 mm,1440 mm,1069 lt,391 lt,,,,,,,,,,,,,,,,,,,,,,,,,,,,Onden Cekisli,,,X-Tronic (Degisken Oranli),Otomatik,,,,,,,,113 g/km,5.0 lt,,4.1 lt,6.3 lt,42 lt,,,5 yildiz
2020 Renault Clio 1.0 TCe 100 BG X-Tronic Joy,Renault,Clio,Clio,Joy,Binek,Hatchback,B,2020,Fransa,Icten Yanmali (Standart),3372,Benzin,Turbo,3,999 cc,Cok Noktadan Enjeksiyon,182 km/s,142 nm,100 BG,11.5 saniye,1187 kg,1798 mm,4050 mm,1440 mm,1069 lt,391 lt,,,,,,,,,,,,,,,,,,,,,,,,,,,,Onden Cekisli,,,X-Tronic (Degisken Oranli),Otomatik,,,,,,,,113 g/km,5.0 lt,,4.1 lt,6.3 lt,42 lt,,,5 yildiz
2020 Renault Clio 1.0 TCe 100 BG X-Tronic Touch,Renault,Clio,Clio,Touch,Binek,Hatchback,B,2020,Fransa,Icten Yanmali (Standart),3372,Benzin,Turbo,3,999 cc,Cok Noktadan Enjeksiyon,182 km/s,142 nm,100 BG,11.5 saniye,1187 kg,1798 mm,4050 mm,1440 mm,1069 lt,391 lt,,,,,,,,,,,,,,,,,,,,,,,,,,,,Onden Cekisli,,,X-Tronic (Degisken Oranli),Otomatik,,,,,,,,113 g/km,5.0 lt,,4.1 lt,6.3 lt,42 lt,,,5 yildiz
2020 Renault Clio 1.3 TCe 130 BG EDC Icon,Renault,Clio,Clio,Icon,Binek,Hatchback,B,2020,Fransa,Icten Yanmali (Standart),6314,Benzin,Turbo,4,1332 cc,Cok Noktadan Enjeksiyon,200 km/s,240 nm,130 BG,9.0 saniye,1233 kg,1798 mm,4050 mm,1440 mm,1069 lt,391 lt,,,,,,,,,,,,,,,,,,,,,,,,,,,,Onden Cekisli,,7 ileri,EDC (Cift Kavramali Otm.),Otomatik,,,,,,,,121 g/km,5.3 lt,,4.5 lt,6.8 lt,42 lt,,,5 yildiz
2020 Renault Clio 1.3 TCe 130 BG EDC Touch,Renault,Clio,Clio,Touch,Binek,Hatchback,B,2020,Fransa,Icten Yanmali (Standart),6314,Benzin,Turbo,4,1332 cc,Cok Noktadan Enjeksiyon,200 km/s,240 nm,130 BG,9.0 saniye,1233 kg,1798 mm,4050 mm,1440 mm,1069 lt,391 lt,,,,,,,,,,,,,,,,,,,,,,,,,,,,Onden Cekisli,,7 ileri,EDC (Cift Kavramali Otm.),Otomatik,,,,,,,,121 g/km,5.3 lt,,4.5 lt,6.8 lt,42 lt,,,5 yildiz
2020 Renault Clio 1.5 Blue dCi 115 BG Icon,Renault,Clio,Clio,Icon,Binek,Hatchback,B,2020,Fransa,Icten Yanmali (Standart),6314,Dizel,Turbo,4,1461 cc,Common Rail Direkt Enjeksiyon,197 km/s,260 nm,115 BG,9.9 saniye,1264 kg,1798 mm,4050 mm,1440 mm,1069 lt,391 lt,,,,,,,,,,,,,,,,,,,,,,,,,,,,Onden Cekisli,,6 ileri,,Manuel,,,,,,,,97 g/km,3.7 lt,,3.3 lt,4.4 lt,39 lt,,,5 yildiz
2020 Renault Clio 1.5 Blue dCi 115 BG Touch,Renault,Clio,Clio,Touch,Binek,Hatchback,B,2020,Fransa,Icten Yanmali (Standart),6314,Dizel,Turbo,4,1461 cc,Common Rail Direkt Enjeksiyon,197 km/s,260 nm,115 BG,9.9 saniye,1264 kg,1798 mm,4050 mm,1440 mm,1069 lt,391 lt,,,,,,,,,,,,,,,,,,,,,,,,,,,,Onden Cekisli,,6 ileri,,Manuel,,,,,,,,97 g/km,3.7 lt,,3.3 lt,4.4 lt,39 lt,,,5 yildiz
2020 Renault Clio 1.5 Blue dCi 85 BG Joy,Renault,Clio,Clio,Joy,Binek,Hatchback,B,2020,Fransa,Icten Yanmali (Standart),6314,Dizel,Turbo,4,1461 cc,Common Rail Direkt Enjeksiyon,178 km/s,220 nm,85 BG,14.7 saniye,1264 kg,1798 mm,4050 mm,1440 mm,1069 lt,391 lt,,,,,,,,,,,,,,,,,,,,,,,,,,,,Onden Cekisli,,6 ileri,,Manuel,,,,,,,,97 g/km,3.7 lt,,3.3 lt,4.4 lt,39 lt,,,5 yildiz
2021 Renault Clio 1.0 SCe 65 BG Joy,Renault,Clio,Clio,Joy,Binek,Hatchback,B,2021,Fransa,Icten Yanmali (Standart),3372,Benzin,Atmosferik,3,999 cc,Cok Noktadan Enjeksiyon,199 km/s,220 nm,65 BG,9.4 saniye,210,1798 mm,4050 mm,1440 mm,1069 lt,391 lt,,,,,,,,,,,,,,,,,,,,,,,,,,,,Onden Cekisli,,5 ileri,,Manuel,,,,,,,,,,,,,,,,5 yildiz
2021 Renault Clio 1.0 TCe 90 BG Joy,Renault,Clio,Clio,Joy,Binek,Hatchback,B,2021,Fransa,Icten Yanmali (Standart),3372,Benzin,Turbo,3,999 cc,Cok Noktadan Enjeksiyon,199 km/s,220 nm,90 BG,9.4 saniye,210,1798 mm,4050 mm,1440 mm,1069 lt,391 lt,,,,,,,,,,,,,,,,,,,,,,,,,,,,Onden Cekisli,,,,Manuel,,,,,,,,,,,,,,,,5 yildiz
2021 Renault Clio 1.0 TCe 90 BG Touch,Renault,Clio,Clio,Touch,Binek,Hatchback,B,2021,Fransa,Icten Yanmali (Standart),3372,Benzin,Turbo,3,999 cc,Cok Noktadan Enjeksiyon,199 km/s,220 nm,90 BG,9.4 saniye,210,1798 mm,4050 mm,1440 mm,1069 lt,391 lt,,,,,,,,,,,,,,,,,,,,,,,,,,,,Onden Cekisli,,,,Manuel,,,,,,,,,,,,,,,,5 yildiz
2021 Renault Clio 1.0 TCe 90 BG X-Tronic Icon,Renault,Clio,Clio,Icon,Binek,Hatchback,B,2021,Fransa,Icten Yanmali (Standart),3372,Benzin,Turbo,3,999 cc,Cok Noktadan Enjeksiyon,182 km/s,220 nm,90 BG,11.5 saniye,1201 kg,1798 mm,4050 mm,1440 mm,1069 lt,391 lt,,,,,,,,,,,,,,,,,,,,,,,,,,,,Onden Cekisli,,,X-Tronic (Degisken Oranli),Otomatik,,,,,,,,131 g/km,5.8 lt,,,,,,,5 yildiz
2021 Renault Clio 1.0 TCe 90 BG X-Tronic Joy,Renault,Clio,Clio,Joy,Binek,Hatchback,B,2021,Fransa,Icten Yanmali (Standart),3372,Benzin,Turbo,3,999 cc,Cok Noktadan Enjeksiyon,182 km/s,220 nm,90 BG,11.5 saniye,1201 kg,1798 mm,4050 mm,1440 mm,1069 lt,391 lt,,,,,,,,,,,,,,,,,,,,,,,,,,,,Onden Cekisli,,,X-Tronic (Degisken Oranli),Otomatik,,,,,,,,131 g/km,5.8 lt,,,,,,,5 yildiz
2021 Renault Clio 1.0 TCe 90 BG X-Tronic Touch,Renault,Clio,Clio,Touch,Binek,Hatchback,B,2021,Fransa,Icten Yanmali (Standart),3372,Benzin,Turbo,3,999 cc,Cok Noktadan Enjeksiyon,182 km/s,220 nm,90 BG,11.5 saniye,1201 kg,1798 mm,4050 mm,1440 mm,1069 lt,391 lt,,,,,,,,,,,,,,,,,,,,,,,,,,,,Onden Cekisli,,,X-Tronic (Degisken Oranli),Otomatik,,,,,,,,131 g/km,5.8 lt,,,,,,,5 yildiz
2021 Renault Clio 1.0 TCe ECO 100 BG Joy,Renault,Clio,Clio,Joy,Binek,Hatchback,B,2021,Fransa,Icten Yanmali (Standart),3372,Benzin & LPG,Turbo,3,999 cc,Cok Noktadan Enjeksiyon,188 km/s,160 nm,100 BG,12.5 saniye,1137 kg,1798 mm,4050 mm,1440 mm,1069 lt,391 lt,,,,,,,,,,,,,,,,,,,,,,,,,,,,Onden Cekisli,,5 ileri,,Manuel,,,,,,,Euro 6,110 g/km,4.8 lt,,4.0 lt,6.2 lt,39 lt,,,5 yildiz
2021 Renault Clio 1.0 TCe ECO 100 BG Touch,Renault,Clio,Clio,Touch,Binek,Hatchback,B,2021,Fransa,Icten Yanmali (Standart),3372,Benzin & LPG,Turbo,3,999 cc,Cok Noktadan Enjeksiyon,188 km/s,160 nm,100 BG,12.5 saniye,1137 kg,1798 mm,4050 mm,1440 mm,1069 lt,391 lt,,,,,,,,,,,,,,,,,,,,,,,,,,,,Onden Cekisli,,5 ileri,,Manuel,,,,,,,Euro 6,110 g/km,4.8 lt,,4.0 lt,6.2 lt,39 lt,,,5 yildiz
2022 Renault Clio 1.0 SCe 65 BG Joy,Renault,Clio,Clio,Joy,Binek,Hatchback,B,2022,Fransa,Icten Yanmali (Standart),4834,Benzin,Atmosferik,3,999 cc,Cok Noktadan Enjeksiyon,160 km/s,95 nm,65 BG,17.1 saniye,1103 kg,1798 mm,4050 mm,1440 mm,1069 lt,391 lt,,,,,,,,,,,,,,,,,,,,,,,,,,,,Onden Cekisli,,5 ileri,,Manuel,,,,,,,Euro 6,113 g/km,5.0 lt,,4.2 lt,6.3 lt,42 lt,,,5 yildiz
