BASLIK,TEMEL OZELLIKLER - Yakit Tipi,MOTOR (Elektrikli) - Azami Tork,MOTOR (Elektrikli) - Batarya Kapasitesi,MOTOR (Elektrikli) - Batarya Tipi,MOTOR (Elektrikli) - Menzil (WLTP - Birlesik),MOTOR (Elektrikli) - Menzil (WLTP - Sehir Ici),MOTOR (Elektrikli) - Motor Gucu,MOTOR (Elektrikli) - Ortalama Tuketim (Elk.),MOTOR (Elektrikli) - Sarj Suresi,AGIRLIK & OLCULER - Agirlik,BAGAJ OZELLIKLERI - Bagaj Hacmi (2 Koltuk),BAGAJ OZELLIKLERI - Bagaj Hacmi (5 Koltuk),DIS GOVDE - Kapi Sayisi,LASTIK & JANT - Kesit Orani,LASTIK & JANT - Lastik Ebatlari,LASTIK & JANT - Taban Genisligi,LASTIK & JANT - Jant Capi,LASTIK & JANT - Jant Tipi,FRENLER & SUSPANSIYON - Park Freni Tipi,SANZIMAN & CEKIS SISTEMI - Cekis,SANZIMAN & CEKIS SISTEMI - Cekis Kontrol Sistemi,SANZIMAN & CEKIS SISTEMI - Sanziman Kademesi,SANZIMAN & CEKIS SISTEMI - Sanziman Ozellikleri,SANZIMAN & CEKIS SISTEMI - Sanziman Turu,SURUS DESTEK SISTEMLERI - Denge Kontrol Sistemi,SURUS DESTEK SISTEMLERI - Diferansiyel Kilidi,SURUS DESTEK SISTEMLERI - Dur & Kalk (Stop & Start),SURUS DESTEK SISTEMLERI - Hiz Sabitleme & Sinirlama,SURUS DESTEK SISTEMLERI - Serit Takip Sistemi,SURUS DESTEK SISTEMLERI - Yokus Kalkis Destegi,YAKIT TUKETIMI & EMISYON - Cevre Standardi (Emisyon),YAKIT TUKETIMI & EMISYON - Ortalama Emisyon,YAKIT TUKETIMI & EMISYON - Ortalama Y.Tuketimi (100 km),YAKIT TUKETIMI & EMISYON - Ortalama Y.Tuketimi (100 km/WLTP),YAKIT TUKETIMI & EMISYON - Sehir Disi Tuketim (100 km),YAKIT TUKETIMI & EMISYON - Sehir Ici Tuketim (100 km),YAKIT TUKETIMI & EMISYON - Yakit Kapasitesi,YOLCU EMNIYETI - Anahtarsiz Sistem,YOLCU EMNIYETI - Hava Yastigi Adedi,YOLCU EMNIYETI - NCAP/ANCAP Puani,GOSTERGELER & SENSORLER - Far Sensoru,GOSTERGELER & SENSORLER - Lastik Basinc Sensoru,GOSTERGELER & SENSORLER - Park Sensoru & Yardimi,GOSTERGELER & SENSORLER - Yagmur Sensoru,ISITMA & SOGUTMA - Klima,KOLTUKLAR & IC DOSEME - Koltuk Dosemesi Tipi,KOLTUKLAR & IC DOSEME - Koltuk Sayisi,KOLTUKLAR & IC DOSEME - On Yolcu Koltugu Ayarlari,KOLTUKLAR & IC DOSEME - Surucu Koltugu Ayarlari,LAMBALAR & AYDINLATMA - Far Tipi,LAMBALAR & AYDINLATMA - Sis Farlari
2014 Mazda 3 HB SKYACTIV-G 1.5 120PS Otomatik Motion,Benzin,,,,,,,,,1306 kg,,364 lt,5.0,60 %,205/60 R16,205 mm,16 inc,Alasimli,Mekanik Park Freni,Onden Cekisli,Var,6 ileri,Standart Otomatik,Otomatik,Var,,Yok,Var,,Var,,129 g/km,5.5 lt,,4.8 lt,6.8 lt,51 lt,Var,6 adet,5 yildiz,Yok,Var,Yok,Yok,Otomatik Klima,Kumas,5.0,Manuel,Manuel,Halojen,Var
2014 Mazda 3 HB SKYACTIV-G 1.5 120PS Otomatik Power,Benzin,,,,,,,,,1306 kg,,364 lt,5.0,45 %,215/45 R18,215 mm,18 inc,Alasimli,Mekanik Park Freni,Onden Cekisli,Var,6 ileri,Standart Otomatik,Otomatik,Var,,Yok,Var,,Var,,129 g/km,5.5 lt,,4.8 lt,6.8 lt,51 lt,Var,6 adet,5 yildiz,Var,Var,Var,Var,Otomatik Klima,Kumas,5.0,,,Halojen,Var
2014 Mazda 3 HB SKYACTIV-G 1.5 120PS Otomatik Reflex,Benzin,,,,,,,,,1306 kg,,364 lt,5.0,60 %,205/60 R16,205 mm,16 inc,Alasimli,Mekanik Park Freni,Onden Cekisli,Var,6 ileri,Standart Otomatik,Otomatik,Var,,Yok,Var,,Var,,129 g/km,5.5 lt,,4.8 lt,6.8 lt,51 lt,Var,6 adet,5 yildiz,Var,Var,Var,Var,Otomatik Klima,Kumas,5.0,,,Halojen,Var
2014 Mazda 3 HB SKYACTIV-G 1.5 120PS Reflex,Benzin,,,,,,,,,1276 kg,,364 lt,5.0,60 %,205/60 R16,205 mm,16 inc,Alasimli,Mekanik Park Freni,Onden Cekisli,Var,6 ileri,,Manuel,Var,,Yok,Var,,Var,,119 g/km,5.1 lt,,4.3 lt,6.5 lt,51 lt,Var,6 adet,5 yildiz,Var,Var,Var,Var,Otomatik Klima,Kumas,5.0,,,Halojen,Var
2015 Mazda 3 HB SKYACTIV-G 1.5 120 PS Motion,Benzin,,,,,,,,,1276 kg,,364 lt,5.0,60 %,205/60 R16,205 mm,16 inc,Alasimli,Mekanik Park Freni,Onden Cekisli,Var,6 ileri,,Manuel,Var,,Yok,Var,,Var,,119 g/km,5.1 lt,,4.3 lt,6.5 lt,51 lt,Var,6 adet,5 yildiz,Yok,Var,Yok,Yok,Otomatik Klima,Kumas,5.0,Manuel,Manuel,Halojen,Var
2015 Mazda 3 HB SKYACTIV-G 1.5 120 PS Otomatik Motion,Benzin,,,,,,,,,1306 kg,,364 lt,5.0,60 %,205/60 R16,205 mm,16 inc,Alasimli,Mekanik Park Freni,Onden Cekisli,Var,6 ileri,Activematic (Yari Otm.),Otomatik,Var,,Yok,Var,,Var,,129 g/km,5.5 lt,,4.8 lt,6.8 lt,51 lt,Var,6 adet,5 yildiz,Yok,Var,Yok,Yok,Otomatik Klima,Kumas,5.0,Manuel,Manuel,Halojen,Var
2015 Mazda 3 HB SKYACTIV-G 1.5 120 PS Otomatik Power,Benzin,,,,,,,,,1306 kg,,364 lt,5.0,45 %,215/45 R18,215 mm,18 inc,Alasimli,Mekanik Park Freni,Onden Cekisli,Var,6 ileri,Activematic (Yari Otm.),Otomatik,Var,,Yok,Var,,Var,,129 g/km,5.5 lt,,4.8 lt,6.8 lt,51 lt,Var,6 adet,5 yildiz,Var,Var,Var,Var,Otomatik Klima,Kumas,5.0,Manuel,Manuel,Bi-Xenon,Var
2015 Mazda 3 HB SKYACTIV-G 1.5 120 PS Otomatik Reflex,Benzin,,,,,,,,,1306 kg,,364 lt,5.0,60 %,205/60 R16,205 mm,16 inc,Alasimli,Mekanik Park Freni,Onden Cekisli,Var,6 ileri,Activematic (Yari Otm.),Otomatik,Var,,Yok,Var,,Var,,129 g/km,5.5 lt,,4.8 lt,6.8 lt,51 lt,Var,6 adet,5 yildiz,Var,Var,Var,Var,Otomatik Klima,Kumas,5.0,Manuel,Manuel,Halojen,Var
2015 Mazda 3 HB SKYACTIV-G 1.5 120 PS Reflex,Benzin,,,,,,,,,1276 kg,,364 lt,5.0,60 %,205/60 R16,205 mm,16 inc,Alasimli,Mekanik Park Freni,Onden Cekisli,Var,6 ileri,,Manuel,Var,,Yok,Var,,Var,,119 g/km,5.1 lt,,4.3 lt,6.5 lt,51 lt,Var,6 adet,5 yildiz,Var,Var,Var,Var,Otomatik Klima,Kumas,5.0,Manuel,Manuel,Halojen,Var
2016 Mazda 3 HB SKYACTIV-G 1.5 120 PS Motion,Benzin,,,,,,,,,1276 kg,,364 lt,5.0,60 %,205/60 R16,205 mm,16 inc,Alasimli,Mekanik Park Freni,Onden Cekisli,Var,6 ileri,,Manuel,Var,,,Var,,Var,,119 g/km,5.1 lt,,4.3 lt,6.5 lt,51 lt,Var,6 adet,5 yildiz,,Var,,,Otomatik Klima,Kumas,5.0,Manuel,Manuel,Halojen,Var
2016 Mazda 3 HB SKYACTIV-G 1.5 120 PS Otomatik Motion,Benzin,,,,,,,,,1306 kg,,364 lt,5.0,60 %,205/60 R16,205 mm,16 inc,Alasimli,Mekanik Park Freni,Onden Cekisli,Var,6 ileri,Activematic (Yari Otm.),Otomatik,Var,,,Var,,Var,,129 g/km,5.5 lt,,4.8 lt,6.8 lt,51 lt,Var,6 adet,5 yildiz,,Var,,,Otomatik Klima,Kumas,5.0,Manuel,Manuel,Halojen,Var
2016 Mazda 3 HB SKYACTIV-G 1.5 120 PS Otomatik Power,Benzin,,,,,,,,,1306 kg,,364 lt,5.0,45 %,215/45 R18,215 mm,18 inc,Alasimli,Mekanik Park Freni,Onden Cekisli,Var,6 ileri,Activematic (Yari Otm.),Otomatik,Var,,,Var,,Var,,129 g/km,5.5 lt,,4.8 lt,6.8 lt,51 lt,Var,6 adet,5 yildiz,Var,Var,Var,Var,Otomatik Klima,Kumas,5.0,Manuel,Manuel,Bi-Xenon,Var
2016 Mazda 3 HB SKYACTIV-G 1.5 120 PS Otomatik Reflex,Benzin,,,,,,,,,1306 kg,,364 lt,5.0,60 %,205/60 R16,205 mm,16 inc,Alasimli,Mekanik Park Freni,Onden Cekisli,Var,6 ileri,Activematic (Yari Otm.),Otomatik,Var,,,Var,,Var,,129 g/km,5.5 lt,,4.8 lt,6.8 lt,51 lt,Var,6 adet,5 yildiz,Var,Var,Var,Var,Otomatik Klima,Kumas,5.0,Manuel,Manuel,Halojen,Var
2016 Mazda 3 HB SKYACTIV-G 1.5 120 PS Reflex,Benzin,,,,,,,,,1276 kg,,364 lt,5.0,60 %,205/60 R16,205 mm,16 inc,Alasimli,Mekanik Park Freni,Onden Cekisli,Var,6 ileri,,Manuel,Var,,,Var,,Var,,119 g/km,5.1 lt,,4.3 lt,6.5 lt,51 lt,Var,6 adet,5 yildiz,Var,Var,Var,Var,Otomatik Klima,Kumas,5.0,Manuel,Manuel,Halojen,Var
2024 MG MG4 167 HP Comfort (4x2),Elektrik,250 nm,51.0 kW/sa,Lityum Iyon (LFP),350 km,450 km,125 kW,17.0 kWsa/100km,Azami DC Sarj Gucu 88 kW | Dahili DC 6.6 kW (%10 - %80) 37dk.,1635 kg,1177 lt,363 lt,,,,,,,,Arkadan Itisli,,,,Otomatik,,,,,,,,,,,,,,,,5 yildiz,,,,,,,,,,,
2024 MG MG4 204 HP Luxury (4x2),Elektrik,250 nm,64.0 kW/sa,Lityum Iyon (NMC),435 km,435 km,150 kW,16.6 kWsa/100km,Azami DC Sarj Gucu 140 kW | Dahili DC 11 kW (%10 - %80) 26dk.,1675 kg,1165 lt,350 lt,,,,,,,,Arkadan Itisli,,,,Otomatik,,,,,,,,,,,,,,,,5 yildiz,,,,,,,,,,,
2024 MG MG4 435 HP XPOWER (4x4),Elektrik,600 nm,64.0 kW/sa,Lityum Iyon (NMC),385 km,385 km,320 kW,18.7 kWsa/100km,Azami DC Sarj Gucu 140 kW | Dahili DC 11 kW (%10 - %80) 26dk.,1803 kg,1165 lt,350 lt,,,,,,,,4x4 Cekisli,,,,Otomatik,,,,,,,,,,,,,,,,5 yildiz,,,,,,,,,,,
2018 Nissan Leaf 147 BG Otomatik,Elektrik,320 nm,40 kW/sa,Lityum Iyon,241 km,270 km,110 kW,20.6 kWh/100km,AC (6.6 kW) (%0 - %100) 7 sa | DC (50 kW) (%20 - %80) 40 - 60 dk.,1560 kg,,,,,,,,,,Onden Cekisli,,,,Otomatik,,,,,,,,,,,,,,,,5 yildiz,,,,,,,,,,,
2018 Nissan Pulsar 1.2 DIG-T 115 PS Visia,Benzin,,,,,,,,,1245 kg,1395 lt,385 lt,5.0,60 %,195/60 R16,195 mm,16 inc,Kapakli Sac,Mekanik Park Freni,Onden Cekisli,,6 ileri,,Manuel,Var,,Var,Var,,,Euro 6,117 g/km,5.0 lt,,4.3 lt,6.3 lt,46 lt,Yok,6 adet,5 yildiz,Yok,Var,,,Manuel Klima,Kumas,5.0,Manuel,Manuel,Halojen,Yok
2018 Nissan Pulsar 1.2 DIG-T 115 PS X-Tronic N-Tec,Benzin,,,,,,,,,1306 kg,1395 lt,385 lt,5.0,60 %,195/60 R16,195 mm,16 inc,Alasimli,Mekanik Park Freni,Onden Cekisli,,,X-Tronic (Degisken Oranli),Otomatik,Var,,Var,Var,,,Euro 6,119 g/km,5.1 lt,,4.5 lt,6.2 lt,46 lt,Var,6 adet,5 yildiz,Var,Var,Var,,Otomatik Klima,Kumas,5.0,Manuel,Manuel,Halojen,Var
2018 Nissan Pulsar 1.2 DIG-T 115 PS X-Tronic Tekna,Benzin,,,,,,,,,1273 kg,1395 lt,385 lt,5.0,60 %,195/60 R16,195 mm,16 inc,Alasimli,Mekanik Park Freni,Onden Cekisli,,,X-Tronic (Degisken Oranli),Otomatik,Var,,Var,Var,,,Euro 6,119 g/km,5.1 lt,,4.5 lt,6.2 lt,46 lt,Yok,6 adet,5 yildiz,Yok,Var,,,Otomatik Klima,Kumas,5.0,Manuel,Manuel,Halojen,Var
2018 Nissan Pulsar 1.2 DIG-T 115 PS X-Tronic Visia,Benzin,,,,,,,,,1306 kg,1395 lt,385 lt,5.0,60 %,195/60 R16,195 mm,16 inc,Kapakli Sac,Mekanik Park Freni,Onden Cekisli,,,X-Tronic (Degisken Oranli),Otomatik,Var,,Var,Var,,,Euro 6,119 g/km,5.1 lt,,4.5 lt,6.2 lt,46 lt,Yok,6 adet,5 yildiz,Yok,Var,,,Manuel Klima,Kumas,5.0,Manuel,Manuel,Halojen,Yok
2018 Nissan Pulsar 1.5 DCi 110 PS N-Tec,Dizel,,,,,,,,,1306 kg,1395 lt,385 lt,5.0,60 %,195/60 R16,195 mm,16 inc,Alasimli,Mekanik Park Freni,Onden Cekisli,,6 ileri,,Manuel,Var,,Var,Var,,,Euro 6,94 g/km,3.6 lt,,3.3 lt,4.1 lt,46 lt,Var,6 adet,5 yildiz,Var,Var,Var,,Otomatik Klima,Kumas,5.0,Manuel,Manuel,Halojen,Var
2018 Nissan Pulsar 1.5 DCi 110 PS Tekna,Dizel,,,,,,,,,1306 kg,1395 lt,385 lt,5.0,60 %,195/60 R16,195 mm,16 inc,Alasimli,Mekanik Park Freni,Onden Cekisli,,6 ileri,,Manuel,Var,,Var,Var,,,Euro 6,94 g/km,3.6 lt,,3.3 lt,4.1 lt,46 lt,Yok,6 adet,5 yildiz,Yok,Var,,,Otomatik Klima,Kumas,5.0,Manuel,Manuel,Halojen,Var
2018 Nissan Pulsar 1.5 DCi 110 PS Visia,Dizel,,,,,,,,,1306 kg,1395 lt,385 lt,5.0,60 %,195/60 R16,195 mm,16 inc,Kapakli Sac,Mekanik Park Freni,Onden Cekisli,,6 ileri,,Manuel,Var,,Var,Var,,,Euro 6,94 g/km,3.6 lt,,3.3 lt,4.1 lt,46 lt,Yok,6 adet,5 yildiz,Yok,Var,,,Manuel Klima,Kumas,5.0,Manuel,Manuel,Halojen,Yok
2016 Nissan Pulsar 1.2 DIG-T 115 PS Visia,Benzin,,,,,,,,,1245 kg,1395 lt,385 lt,5.0,60 %,195/60 R16,195 mm,16 inc,Kapakli Sac,Mekanik Park Freni,Onden Cekisli,,6 ileri,,Manuel,Var,,Var,Var,,,Euro 6,117 g/km,5.0 lt,,4.3 lt,6.3 lt,46 lt,Yok,6 adet,5 yildiz,Yok,Var,,,Manuel Klima,Kumas,5.0,Manuel,Manuel,Halojen,Yok
2016 Nissan Pulsar 1.2 DIG-T 115 PS X-Tronic N-Tec,Benzin,,,,,,,,,1306 kg,1395 lt,385 lt,5.0,60 %,195/60 R16,195 mm,16 inc,Alasimli,Mekanik Park Freni,Onden Cekisli,,,X-Tronic (Degisken Oranli),Otomatik,Var,,Var,Var,,,Euro 6,119 g/km,5.1 lt,,4.5 lt,6.2 lt,46 lt,Var,6 adet,5 yildiz,Var,Var,Var,,Otomatik Klima,Kumas,5.0,Manuel,Manuel,Halojen,Var
2016 Nissan Pulsar 1.2 DIG-T 115 PS X-Tronic Tekna,Benzin,,,,,,,,,1273 kg,1395 lt,385 lt,5.0,60 %,195/60 R16,195 mm,16 inc,Alasimli,Mekanik Park Freni,Onden Cekisli,,,X-Tronic (Degisken Oranli),Otomatik,Var,,Var,Var,,,Euro 6,119 g/km,5.1 lt,,4.5 lt,6.2 lt,46 lt,Yok,6 adet,5 yildiz,Yok,Var,,,Otomatik Klima,Kumas,5.0,Manuel,Manuel,Halojen,Var
2016 Nissan Pulsar 1.2 DIG-T 115 PS X-Tronic Visia,Benzin,,,,,,,,,1306 kg,1395 lt,385 lt,5.0,60 %,195/60 R16,195 mm,16 inc,Kapakli Sac,Mekanik Park Freni,Onden Cekisli,,,X-Tronic (Degisken Oranli),Otomatik,Var,,Var,Var,,,Euro 6,119 g/km,5.1 lt,,4.5 lt,6.2 lt,46 lt,Yok,6 adet,5 yildiz,Yok,Var,,,Manuel Klima,Kumas,5.0,Manuel,Manuel,Halojen,Yok
2016 Nissan Pulsar 1.5 DCi 110 PS N-Tec,Dizel,,,,,,,,,1306 kg,1395 lt,385 lt,5.0,60 %,195/60 R16,195 mm,16 inc,Alasimli,Mekanik Park Freni,Onden Cekisli,,6 ileri,,Manuel,Var,,Var,Var,,,Euro 6,94 g/km,3.6 lt,,3.3 lt,4.1 lt,46 lt,Var,6 adet,5 yildiz,Var,Var,Var,,Otomatik Klima,Kumas,5.0,Manuel,Manuel,Halojen,Var
2016 Nissan Pulsar 1.5 DCi 110 PS Tekna,Dizel,,,,,,,,,1306 kg,1395 lt,385 lt,5.0,60 %,195/60 R16,195 mm,16 inc,Alasimli,Mekanik Park Freni,Onden Cekisli,,6 ileri,,Manuel,Var,,Var,Var,,,Euro 6,94 g/km,3.6 lt,,3.3 lt,4.1 lt,46 lt,Yok,6 adet,5 yildiz,Yok,Var,,,Otomatik Klima,Kumas,5.0,Manuel,Manuel,Halojen,Var
2016 Nissan Pulsar 1.5 DCi 110 PS Visia,Dizel,,,,,,,,,1306 kg,1395 lt,385 lt,5.0,60 %,195/60 R16,195 mm,16 inc,Kapakli Sac,Mekanik Park Freni,Onden Cekisli,,6 ileri,,Manuel,Var,,Var,Var,,,Euro 6,94 g/km,3.6 lt,,3.3 lt,4.1 lt,46 lt,Yok,6 adet,5 yildiz,Yok,Var,,,Manuel Klima,Kumas,5.0,Manuel,Manuel,Halojen,Yok
2017 Nissan Pulsar 1.2 DIG-T 115 PS Visia,Benzin,,,,,,,,,1245 kg,1395 lt,385 lt,5.0,60 %,195/60 R16,195 mm,16 inc,Kapakli Sac,Mekanik Park Freni,Onden Cekisli,,6 ileri,,Manuel,Var,,Var,Var,,,Euro 6,117 g/km,5.0 lt,,4.3 lt,6.3 lt,46 lt,Yok,6 adet,5 yildiz,Yok,Var,,,Manuel Klima,Kumas,5.0,Manuel,Manuel,Halojen,Yok
2017 Nissan Pulsar 1.2 DIG-T 115 PS X-Tronic N-Tec,Benzin,,,,,,,,,1306 kg,1395 lt,385 lt,5.0,60 %,195/60 R16,195 mm,16 inc,Alasimli,Mekanik Park Freni,Onden Cekisli,,,X-Tronic (Degisken Oranli),Otomatik,Var,,Var,Var,,,Euro 6,119 g/km,5.1 lt,,4.5 lt,6.2 lt,46 lt,Var,6 adet,5 yildiz,Var,Var,Var,,Otomatik Klima,Kumas,5.0,Manuel,Manuel,Halojen,Var
2017 Nissan Pulsar 1.2 DIG-T 115 PS X-Tronic Tekna,Benzin,,,,,,,,,1273 kg,1395 lt,385 lt,5.0,60 %,195/60 R16,195 mm,16 inc,Alasimli,Mekanik Park Freni,Onden Cekisli,,,X-Tronic (Degisken Oranli),Otomatik,Var,,Var,Var,,,Euro 6,119 g/km,5.1 lt,,4.5 lt,6.2 lt,46 lt,Yok,6 adet,5 yildiz,Yok,Var,,,Otomatik Klima,Kumas,5.0,Manuel,Manuel,Halojen,Var
2017 Nissan Pulsar 1.2 DIG-T 115 PS X-Tronic Visia,Benzin,,,,,,,,,1306 kg,1395 lt,385 lt,5.0,60 %,195/60 R16,195 mm,16 inc,Kapakli Sac,Mekanik Park Freni,Onden Cekisli,,,X-Tronic (Degisken Oranli),Otomatik,Var,,Var,Var,,,Euro 6,119 g/km,5.1 lt,,4.5 lt,6.2 lt,46 lt,Yok,6 adet,5 yildiz,Yok,Var,,,Manuel Klima,Kumas,5.0,Manuel,Manuel,Halojen,Yok
2017 Nissan Pulsar 1.5 DCi 110 PS N-Tec,Dizel,,,,,,,,,1306 kg,1395 lt,385 lt,5.0,60 %,195/60 R16,195 mm,16 inc,Alasimli,Mekanik Park Freni,Onden Cekisli,,6 ileri,,Manuel,Var,,Var,Var,,,Euro 6,94 g/km,3.6 lt,,3.3 lt,4.1 lt,46 lt,Var,6 adet,5 yildiz,Var,Var,Var,,Otomatik Klima,Kumas,5.0,Manuel,Manuel,Halojen,Var
2017 Nissan Pulsar 1.5 DCi 110 PS Tekna,Dizel,,,,,,,,,1306 kg,1395 lt,385 lt,5.0,60 %,195/60 R16,195 mm,16 inc,Alasimli,Mekanik Park Freni,Onden Cekisli,,6 ileri,,Manuel,Var,,Var,Var,,,Euro 6,94 g/km,3.6 lt,,3.3 lt,4.1 lt,46 lt,Yok,6 adet,5 yildiz,Yok,Var,,,Otomatik Klima,Kumas,5.0,Manuel,Manuel,Halojen,Var
2017 Nissan Pulsar 1.5 DCi 110 PS Visia,Dizel,,,,,,,,,1306 kg,1395 lt,385 lt,5.0,60 %,195/60 R16,195 mm,16 inc,Kapakli Sac,Mekanik Park Freni,Onden Cekisli,,6 ileri,,Manuel,Var,,Var,Var,,,Euro 6,94 g/km,3.6 lt,,3.3 lt,4.1 lt,46 lt,Yok,6 adet,5 yildiz,Yok,Var,,,Manuel Klima,Kumas,5.0,Manuel,Manuel,Halojen,Yok
2024 Opel Astra Elektrik 156 HP Ultimate (4x2),Elektrik,270 nm,54 kW/sa,Lityum Iyon,418 km,418 km,115 kW,14.9 kWh/100km,AC Duvar Tipi (11 kW) (%100) 5s 45dk. | AC Ev Tipi 3.2 kW (%100) 19sa. | DC Hizli (100 kW) (%80) 26dk.,1679 kg,1268 lt,352 lt,,,,,,,,Onden Cekisli,,1 ileri,,Reduktor Sanziman,,,,,,,,,,,,,,,,4 yildiz,,,,,,,,,,,
2014 Opel Astra HB 1.3 Dizel 95 HP Cosmo,Dizel,,,,,,,,,1333 kg,,370 lt,5.0,45 %,225/45 R18,225 mm,18 inc,Alasimli,Elektronik Park Freni,Onden Cekisli,Var,5 ileri,,Manuel,Var,,Yok,Var,,Var,,109 g/km,4.1 lt,,3.5 lt,5.2 lt,56 lt,,6 adet,5 yildiz,Var,Yok,Var,Var,Otomatik Klima,Kumas & Deri,5.0,Manuel,Manuel,Bi-Xenon,Var
2014 Opel Astra HB 1.3 Dizel 95 HP Edition,Dizel,,,,,,,,,1333 kg,,370 lt,5.0,50 %,215/50 R17,215 mm,17 inc,Kapakli Sac,Mekanik Park Freni,Onden Cekisli,Var,5 ileri,,Manuel,Var,,Yok,Var,,,,109 g/km,4.1 lt,,3.5 lt,5.2 lt,56 lt,,6 adet,5 yildiz,Yok,Yok,Yok,Yok,Manuel Klima,Kumas,5.0,Manuel,Manuel,Halojen,Yok
2014 Opel Astra HB 1.3 Dizel 95 HP Enjoy Active,Dizel,,,,,,,,,1333 kg,,370 lt,5.0,50 %,215/50 R17,215 mm,17 inc,Alasimli,Elektronik Park Freni,Onden Cekisli,Var,5 ileri,,Manuel,Var,,Yok,Var,,Var,,109 g/km,4.1 lt,,3.5 lt,5.2 lt,56 lt,,6 adet,5 yildiz,Var,Yok,Yok,Var,Manuel Klima,Kumas & Deri,5.0,Manuel,Manuel,Halojen,Var
2014 Opel Astra HB 1.3 Dizel 95 HP Sport,Dizel,,,,,,,,,1333 kg,,370 lt,5.0,50 %,215/50 R17,215 mm,17 inc,Alasimli,Elektronik Park Freni,Onden Cekisli,Var,5 ileri,,Manuel,Var,,Yok,Var,,Var,,109 g/km,4.1 lt,,3.5 lt,5.2 lt,56 lt,,6 adet,5 yildiz,Var,Yok,Var,Var,Otomatik Klima,Kumas,5.0,Manuel,Manuel,Halojen,Var
2014 Opel Astra HB 1.4 140 HP Active Select Cosmo,Benzin,,,,,,,,,1333 kg,,370 lt,5.0,45 %,225/45 R18,225 mm,18 inc,Alasimli,Mekanik Park Freni,Onden Cekisli,Var,6 ileri,Active Select (Otomatik),Otomatik,Var,,Yok,Var,,Var,,159 g/km,6.8 lt,,5.4 lt,9.1 lt,56 lt,,6 adet,5 yildiz,Var,Yok,Var,Var,Otomatik Klima,Kumas & Deri,5.0,Manuel,Manuel,Bi-Xenon,Var
2014 Opel Astra HB 1.4 140 HP Active Select Enjoy Active,Benzin,,,,,,,,,1378 kg,,370 lt,5.0,50 %,215/50 R17,215 mm,17 inc,Alasimli,Mekanik Park Freni,Onden Cekisli,Var,6 ileri,Active Select (Otomatik),Otomatik,Var,,Yok,Var,,Var,,159 g/km,6.8 lt,,5.4 lt,9.1 lt,56 lt,,6 adet,5 yildiz,Var,Yok,Yok,Var,Manuel Klima,Kumas & Deri,5.0,Manuel,Manuel,Halojen,Var
2014 Opel Astra HB 1.4 140 HP Cosmo,Benzin,,,,,,,,,1333 kg,,370 lt,5.0,45 %,225/45 R18,225 mm,18 inc,Alasimli,Mekanik Park Freni,Onden Cekisli,Var,6 ileri,,Manuel,Var,,Yok,Var,,Var,,154 g/km,5.8 lt,,4.8 lt,7.6 lt,56 lt,,6 adet,5 yildiz,Var,Yok,Var,Var,Otomatik Klima,Kumas & Deri,5.0,Manuel,Manuel,Bi-Xenon,Var
2014 Opel Astra HB 1.4 140 HP Enjoy Active,Benzin,,,,,,,,,1333 kg,,370 lt,5.0,50 %,215/50 R17,215 mm,17 inc,Alasimli,Mekanik Park Freni,Onden Cekisli,Var,6 ileri,,Manuel,Var,,Yok,Var,,Var,,154 g/km,5.8 lt,,4.8 lt,7.6 lt,56 lt,,6 adet,5 yildiz,Var,Yok,Yok,Var,Manuel Klima,Kumas & Deri,5.0,Manuel,Manuel,Halojen,Var
2014 Opel Astra HB 1.4 140 HP Sport,Benzin,,,,,,,,,1333 kg,,370 lt,5.0,45 %,225/45 R18,225 mm,18 inc,Alasimli,Mekanik Park Freni,Onden Cekisli,Var,6 ileri,,Manuel,Var,,Yok,Var,,Var,,154 g/km,5.8 lt,,4.8 lt,7.6 lt,56 lt,,6 adet,5 yildiz,Var,Yok,Var,Var,Otomatik Klima,Kumas,5.0,Manuel,Manuel,Halojen,Var
2014 Opel Astra HB 1.4 140 HP Active Select Sport,Benzin,,,,,,,,,1378 kg,,370 lt,5.0,45 %,225/45 R18,225 mm,18 inc,Alasimli,Mekanik Park Freni,Onden Cekisli,Var,6 ileri,Active Select (Otomatik),Otomatik,Var,,Yok,Var,,Var,,159 g/km,6.8 lt,,5.4 lt,9.1 lt,56 lt,,6 adet,5 yildiz,Var,Yok,Var,Var,Otomatik Klima,Kumas,5.0,Manuel,Manuel,Halojen,Var
2014 Opel Astra HB 1.6 115 HP Active Select Edition,Benzin,,,,,,,,,1368 kg,,370 lt,5.0,50 %,215/50 R17,215 mm,17 inc,Kapakli Sac,Mekanik Park Freni,Onden Cekisli,Var,6 ileri,Active Select (Otomatik),Otomatik,Var,,Yok,Var,,,,167 g/km,7.1 lt,,5.5 lt,9.9 lt,56 lt,,6 adet,5 yildiz,Yok,Yok,Yok,Yok,Manuel Klima,Kumas,5.0,Manuel,Manuel,Halojen,Yok
2014 Opel Astra HB 1.6 115 HP Edition,Benzin,,,,,,,,,1333 kg,,370 lt,5.0,50 %,215/50 R17,215 mm,17 inc,Kapakli Sac,Mekanik Park Freni,Onden Cekisli,Var,5 ileri,,Manuel,Var,,Yok,Var,,,,154 g/km,6.6 lt,,5.3 lt,8.7 lt,56 lt,,6 adet,5 yildiz,Yok,Yok,Yok,Yok,Manuel Klima,Kumas,5.0,Manuel,Manuel,Halojen,Yok
