TEMEL BILGILER - Baslik,TEMEL BILGILER - Arac Turu,TEMEL BILGILER - Govde Tipi,TEMEL BILGILER - Segment,TEMEL BILGILER - Marka,TEMEL BILGILER - Seri,TEMEL BILGILER - Model,TEMEL BILGILER - Donanim Paketi,TEMEL BILGILER - Model Yili,TEMEL BILGILER - Uretim Ulkesi,MOTOR - Yakit Turu,MOTOR - Yakit Tipi,MOTOR - Motor Tipi,MOTOR (Fosil Yakit) - Besleme Tipi,MOTOR (Fosil Yakit) - Silindir Adedi,MOTOR (Fosil Yakit) - Silindir Hacmi,MOTOR (Fosil Yakit) - Yakit Puskurtme,MOTOR (Elektrik) - Motor Gucu,MOTOR (Elektrik) - Batarya Kapasitesi,MOTOR (Elektrik) - Batarya Tipi,SANZIMAN - Sanziman Turu,SANZIMAN - Sanziman Modeli,SANZIMAN - Vites Sayisi,PERFORMANS - PERFORMANS PUANI,PERFORMANS - Beygir Gucu,PERFORMANS - Azami Tork,PERFORMANS - Azami Hiz,PERFORMANS - 0-100 Km Hizlanma,CEKIS SISTEMI - Cekis Turu,CEKIS SISTEMI - Cekis Kontrol Sistemi,BOYUTLAR - KONFOR PUANI,BOYUTLAR - Ic Hacim,BOYUTLAR - Uzunluk,BOYUTLAR - Genislik,BOYUTLAR - Yukseklik,BOYUTLAR - Ağirlik,BOYUTLAR - Bagaj Hacmi (Standart),BOYUTLAR - Bagaj Hacmi (Genisletilmis),LASTIK & JANT - Lastik Ebatlari,LASTIK & JANT - Jant Capi,LASTIK & JANT - Kesit Orani,LASTIK & JANT - Taban Genisliği,DIS DONANIM - Kapi Sayisi,DIS DONANIM- Far Tipi,DIS DONANIM- Sis Farlari,IC DONANIM - Koltuk Sayisi,IC DONANIM - Doseme Tipi,IC DONANIM - Surucu Koltuğu Ayarlari,IC DONANIM - On Yolcu Koltuğu Ayarlari,IC DONANIM - Klima,SENSORLER - Far Sensoru,SENSORLER - Yağmur Sensoru,SENSORLER - Lastik Basinc Sensoru,SENSORLER - Park Sensoru & Yardimcisi,GUVENLIK - GUVEN PUANI,GUVENLIK - Hava Yastiği Adedi,GUVENLIK - NCAP/ANCAP Puani,EKONOMI - EKO PUANI,EKONOMI - Tahmini Bakim Masrafi,EKONOMI - Yillik MTV Tutari,EKONOMI - Ortalama Yakit Tuketimi (100 km),EKONOMI - Sehir Ici Tuketim (100 km),EKONOMI - Sehir Disi Tuketim (100 km),EKONOMI (Fosil Yakit) - Yakit Kapasitesi (lt),EKONOMI (Elektrik) - Menzil (WLTP - Birlesik),EKONOMI (Elektrik) - Menzil (WLTP - Sehir Ici),EKONOMI (Elektrik) - Sarj Suresi,EMISYON - Emisyon Standardi,EMISYON - Ortalama Emisyon
Fiat Egea Cross 1.6 Mjet 130 HP Urban,SUV,SUV,C,Fiat,Egea,Egea Cross,Urban,2021,Italya,Fosil Yakıt,Dizel,Icten Yanmali (Standart),Turbo,4,1598,Common Rail Direkt Enjeksiyon,,,,Manuel,Manuel,6 ileri,71.0,130,320,200,10.5,Onden Cekisli,Var,68.0,66.0,4386,1802,1556,1360,440,Koltuklar Katlanmıyor,215/55 R17,17,55%,215,5,Halojen,Var,5,Kumas,Manuel,Manuel,Manuel Klima,Yok,Yok,Var,Var,61.0,6,3,88.0,92.0,6.314,4.76,5.20,4.00,50,,,,EURO 6.2,123
Honda Civic Sedan 1.6 125 PS Otomatik Dream ECO,Binek,Sedan,C,Honda,Civic,Civic Sedan,Dream,"2015, 2016",Japonya,Fosil Yakıt,Benzin & LPG,Icten Yanmali (Standart),Atmosferik,4,1598,PGM-FI (Direkt Enjeksiyon),,,,Otomatik,Tork Konvertörlü,5 ileri,63.0,125,152,200,12.0,Onden Cekisli,Var,56.0,59.0,4545,1755,1425,1237,440,Koltuklar Katlanmıyor,195/65 R15,15,65%,195,5,Halojen,Var,5,Kumas,Manuel,Manuel,Otomatik Klima,Yok,Yok,Var,Yok,84.0,6,5,68.0,59.0,3.661,7.59,9.50,5.10,50,,,,EURO 6,155
Honda Civic Sedan 1.6 125 PS Dream ECO,Binek,Sedan,C,Honda,Civic,Civic Sedan,Dream,"2015, 2016, 2017, 2018, 2019, 2020",Japonya,Fosil Yakıt,Benzin & LPG,Icten Yanmali (Standart),Atmosferik,4,1598,PGM-FI (Direkt Enjeksiyon),,,,Manuel,Manuel,5 ileri,65.0,125,152,200,9.7,Onden Cekisli,Var,59.0,59.0,4545,1755,1425,1208,440,Koltuklar Katlanmıyor,205/55 R16,16,55%,205,5,Halojen,Var,5,Kumas,Manuel,Manuel,Otomatik Klima,Yok,Yok,Var,Yok,84.0,6,5,85.0,91.0,3.661,7.37,8.90,5.30,50,,,,EURO 6,154
Honda Civic Sedan 1.6 125 PS Otomatik Premium ECO,Binek,Sedan,C,Honda,Civic,Civic Sedan,Premium ECO,"2015, 2016",Japonya,Fosil Yakıt,Benzin & LPG,Icten Yanmali (Standart),Atmosferik,4,1598,PGM-FI (Direkt Enjeksiyon),,,,Otomatik,Tork Konvertörlü,5 ileri,63.0,125,152,200,12.2,Onden Cekisli,Var,60.0,59.0,4545,1755,1425,1237,440,Koltuklar Katlanmıyor,205/55 R16,16,55%,205,5,LED,Var,5,Kumas,Manuel,Manuel,Otomatik Klima,Var,Var,Var,Var,84.0,6,5,67.0,59.0,3.661,7.69,9.60,5.20,50,,,,EURO 6,157
Honda Civic Sedan 1.6 125 PS Premium ECO,Binek,Sedan,C,Honda,Civic,Civic Sedan,Premium ECO,"2015, 2016, 2017, 2018, 2019",Japonya,Fosil Yakıt,Benzin & LPG,Icten Yanmali (Standart),Atmosferik,4,1598,PGM-FI (Direkt Enjeksiyon),,,,Manuel,Manuel,5 ileri,65.0,125,152,200,9.9,Onden Cekisli,Var,59.0,59.0,4545,1755,1425,1208,440,Koltuklar Katlanmıyor,205/55 R16,16,55%,205,5,LED,Var,5,Kumas,Manuel,Manuel,Otomatik Klima,Var,Var,Var,Var,84.0,6,5,85.0,91.0,3.661,7.52,9.00,5.50,50,,,,EURO 6,156
Honda Civic Sedan 1.6 125 PS Elegance ECO,Binek,Sedan,C,Honda,Civic,Civic Sedan,Elegance,"2015, 2016, 2017, 2018, 2019, 2020",Japonya,Fosil Yakıt,Benzin & LPG,Icten Yanmali (Standart),Atmosferik,4,1598,PGM-FI (Direkt Enjeksiyon),,,,Manuel,Manuel,5 ileri,65.0,125,152,200,9.9,Onden Cekisli,Yok,59.0,59.0,4545,1755,1425,1208,440,Koltuklar Katlanmıyor,205/55 R16,16,55%,205,5,LED,Var,5,Kumas,Manuel,Manuel,Otomatik Klima,Var,Var,Var,Var,84.0,6,5,85.0,91.0,3.661,7.52,9.00,5.50,50,,,,EURO 5,156
Honda Civic Sedan 1.6 125 PS Elegance ECO Smart,Binek,Sedan,C,Honda,Civic,Civic Sedan,Elegance,2015,Japonya,Fosil Yakıt,Benzin & LPG,Icten Yanmali (Standart),Atmosferik,4,1598,PGM-FI (Direkt Enjeksiyon),,,,Manuel,Manuel,5 ileri,65.0,125,152,200,9.9,Onden Cekisli,Yok,59.0,59.0,4545,1755,1425,1208,440,Koltuklar Katlanmıyor,205/55 R16,16,55%,205,5,LED,Var,5,Kumas,Manuel,Manuel,Otomatik Klima,Var,Var,Var,Var,84.0,6,5,85.0,91.0,3.661,7.52,9.00,5.50,50,,,,EURO 5,156
Honda Civic Sedan 1.6 125 PS Executive ECO,Binek,Sedan,C,Honda,Civic,Civic Sedan,Elegance,"2015, 2016, 2017",Japonya,Fosil Yakıt,Benzin & LPG,Icten Yanmali (Standart),Atmosferik,4,1598,PGM-FI (Direkt Enjeksiyon),,,,Manuel,Manuel,5 ileri,65.0,125,152,200,9.9,Onden Cekisli,Yok,59.0,59.0,4545,1755,1425,1208,440,Koltuklar Katlanmıyor,205/55 R16,16,55%,205,5,LED,Var,5,Deri,Manuel,Manuel,Otomatik Klima,Var,Var,Var,Var,84.0,6,5,85.0,91.0,3.661,7.52,9.00,5.50,50,,,,EURO 5,156
Honda Civic Sedan 1.6 125 PS Executive ECO Smart,Binek,Sedan,C,Honda,Civic,Civic Sedan,Executive,2015,Japonya,Fosil Yakıt,Benzin & LPG,Icten Yanmali (Standart),Atmosferik,4,1598,PGM-FI (Direkt Enjeksiyon),,,,Manuel,Manuel,5 ileri,65.0,125,152,200,9.9,Onden Cekisli,Yok,59.0,59.0,4545,1755,1425,1208,440,Koltuklar Katlanmıyor,205/55 R16,16,55%,205,5,LED,Var,5,Deri,Manuel,Manuel,Otomatik Klima,Var,Var,Var,Var,84.0,6,5,85.0,91.0,3.661,7.52,9.00,5.50,50,,,,EURO 5,156
Honda Civic Sedan 1.6 125 PS Otomatik Elegance ECO Smart,Binek,Sedan,C,Honda,Civic,Civic Sedan,Elegance,2015,Japonya,Fosil Yakıt,Benzin & LPG,Icten Yanmali (Standart),Atmosferik,4,1598,PGM-FI (Direkt Enjeksiyon),,,,Otomatik,Tork Konvertörlü,5 ileri,63.0,125,152,200,12.2,Onden Cekisli,Yok,60.0,59.0,4545,1755,1425,1237,440,Koltuklar Katlanmıyor,205/55 R16,16,55%,205,5,LED,Var,5,Kumas,Manuel,Manuel,Otomatik Klima,Var,Var,Var,Var,84.0,6,5,67.0,59.0,3.661,7.69,9.60,5.20,50,,,,EURO 5,157
Honda Civic Sedan 1.6 125 PS Otomatik Executive ECO Smart,Binek,Sedan,C,Honda,Civic,Civic Sedan,Executive,2015,Japonya,Fosil Yakıt,Benzin & LPG,Icten Yanmali (Standart),Atmosferik,4,1598,PGM-FI (Direkt Enjeksiyon),,,,Otomatik,Tork Konvertörlü,5 ileri,63.0,125,152,200,12.2,Onden Cekisli,Yok,60.0,59.0,4545,1755,1425,1237,440,Koltuklar Katlanmıyor,205/55 R16,16,55%,205,5,LED,Var,5,Deri,Manuel,Manuel,Otomatik Klima,Var,Var,Var,Var,84.0,6,5,67.0,59.0,3.661,7.69,9.60,5.20,50,,,,EURO 5,157
Honda Civic Sedan 1.6 Dream Eco,Binek,Sedan,C,Honda,Civic,Civic Sedan,Dream,2014,Japonya,Fosil Yakıt,Benzin & LPG,Icten Yanmali (Standart),Atmosferik,4,1598,Elektronik Dogrudan Enjeksiyon,,,,Manuel,Manuel,5 ileri,65.0,125,152,200,9.7,Onden Cekisli,Yok,54.0,59.0,4545,1755,1425,1208,440,Koltuklar Katlanmıyor,195/65 R15,15,65%,195,5,Halojen,Var,5,Kumas,Manuel,Manuel,Otomatik Klima,Var,Var,Var,Yok,84.0,6,5,87.0,91.0,3.661,7.37,8.90,5.30,50,,,,EURO 5,154
Honda Civic Sedan 1.6 Otomatik Dream Eco,Binek,Sedan,C,Honda,Civic,Civic Sedan,Dream,2014,Japonya,Fosil Yakıt,Benzin & LPG,Icten Yanmali (Standart),Atmosferik,4,1598,Elektronik Dogrudan Enjeksiyon,,,,Otomatik,Tork Konvertörlü,5 ileri,63.0,125,152,200,12.0,Onden Cekisli,Yok,56.0,59.0,4545,1755,1425,1237,440,Koltuklar Katlanmıyor,195/65 R15,15,65%,195,5,Halojen,Var,5,Kumas,Manuel,Manuel,Otomatik Klima,Var,Var,Var,Yok,84.0,6,5,68.0,59.0,3.661,7.52,9.00,5.50,50,,,,EURO 5,156
Honda Civic Sedan 1.6 Elegance Eco,Binek,Sedan,C,Honda,Civic,Civic Sedan,Elegance,2014,Japonya,Fosil Yakıt,Benzin & LPG,Icten Yanmali (Standart),Atmosferik,4,1598,Elektronik Dogrudan Enjeksiyon,,,,Manuel,Manuel,5 ileri,65.0,125,152,200,9.9,Onden Cekisli,Yok,59.0,59.0,4545,1755,1425,1208,440,Koltuklar Katlanmıyor,205/55 R16,16,55%,205,5,Halojen,Var,5,Kumas,Manuel,Manuel,Otomatik Klima,Var,Var,Var,Yok,84.0,6,5,85.0,91.0,3.661,7.37,8.90,5.30,50,,,,EURO 5,157
Honda Civic Sedan 1.6 Elegance Eco Smart,Binek,Sedan,C,Honda,Civic,Civic Sedan,Elegance,2014,Japonya,Fosil Yakıt,Benzin & LPG,Icten Yanmali (Standart),Atmosferik,4,1598,Elektronik Dogrudan Enjeksiyon,,,,Manuel,Manuel,5 ileri,65.0,125,152,200,9.9,Onden Cekisli,Yok,59.0,59.0,4545,1755,1425,1208,440,Koltuklar Katlanmıyor,205/55 R16,16,55%,205,5,Halojen,Var,5,Kumas,Manuel,Manuel,Otomatik Klima,Var,Var,Var,Yok,84.0,6,5,85.0,91.0,3.661,7.37,8.90,5.30,50,,,,EURO 5,154
Honda Civic Sedan 1.6 Executive Eco,Binek,Sedan,C,Honda,Civic,Civic Sedan,Elegance,2014,Japonya,Fosil Yakıt,Benzin & LPG,Icten Yanmali (Standart),Atmosferik,4,1598,Elektronik Dogrudan Enjeksiyon,,,,Manuel,Manuel,5 ileri,65.0,125,152,200,9.9,Onden Cekisli,Yok,59.0,59.0,4545,1755,1425,1208,440,Koltuklar Katlanmıyor,205/55 R16,16,55%,205,5,Halojen,Yok,5,Deri,Manuel,Manuel,Otomatik Klima,Var,Var,Var,Var,84.0,6,5,85.0,91.0,3.661,7.37,8.90,5.30,50,,,,EURO 5,154
Honda Civic Sedan 1.6 Executive Eco Smart,Binek,Sedan,C,Honda,Civic,Civic Sedan,Executive,2014,Japonya,Fosil Yakıt,Benzin & LPG,Icten Yanmali (Standart),Atmosferik,4,1598,Elektronik Dogrudan Enjeksiyon,,,,Manuel,Manuel,5 ileri,65.0,125,152,200,9.9,Onden Cekisli,Yok,59.0,59.0,4545,1755,1425,1208,440,Koltuklar Katlanmıyor,205/55 R16,16,55%,205,5,Halojen,Yok,5,Deri,Manuel,Manuel,Otomatik Klima,Var,Var,Var,Var,84.0,6,5,85.0,91.0,3.661,7.37,8.90,5.30,50,,,,EURO 5,154
Honda Civic Sedan 1.6 Otomatik Elegance Eco,Binek,Sedan,C,Honda,Civic,Civic Sedan,Elegance,2014,Japonya,Fosil Yakıt,Benzin & LPG,Icten Yanmali (Standart),Atmosferik,4,1598,Elektronik Dogrudan Enjeksiyon,,,,Otomatik,Tork Konvertörlü,5 ileri,63.0,125,152,200,12.2,Onden Cekisli,Yok,60.0,59.0,4545,1755,1425,1237,440,Koltuklar Katlanmıyor,205/55 R16,16,55%,205,5,Halojen,Var,5,Kumas,Manuel,Manuel,Otomatik Klima,Var,Var,Var,Yok,84.0,6,5,67.0,59.0,3.661,7.59,9.50,5.10,50,,,,EURO 5,155
Honda Civic Sedan 1.6 Otomatik Elegance Eco Smart,Binek,Sedan,C,Honda,Civic,Civic Sedan,Elegance,2014,Japonya,Fosil Yakıt,Benzin & LPG,Icten Yanmali (Standart),Atmosferik,4,1598,Elektronik Dogrudan Enjeksiyon,,,,Otomatik,Tork Konvertörlü,5 ileri,63.0,125,152,200,12.2,Onden Cekisli,Yok,60.0,59.0,4545,1755,1425,1237,440,Koltuklar Katlanmıyor,205/55 R16,16,55%,205,5,Halojen,Var,5,Kumas,Manuel,Manuel,Otomatik Klima,Var,Var,Var,Yok,84.0,6,5,67.0,59.0,3.661,7.69,9.60,5.20,50,,,,EURO 5,157
Honda Civic Sedan 1.6 Otomatik Executive Eco,Binek,Sedan,C,Honda,Civic,Civic Sedan,Elegance,2014,Japonya,Fosil Yakıt,Benzin & LPG,Icten Yanmali (Standart),Atmosferik,4,1598,Elektronik Dogrudan Enjeksiyon,,,,Otomatik,Tork Konvertörlü,5 ileri,63.0,125,152,200,12.2,Onden Cekisli,Yok,60.0,59.0,4545,1755,1425,1237,440,Koltuklar Katlanmıyor,205/55 R16,16,55%,205,5,Halojen,Yok,5,Deri,Manuel,Manuel,Otomatik Klima,Var,Var,Var,Var,84.0,6,5,67.0,59.0,3.661,7.69,9.60,5.20,50,,,,EURO 5,157
Honda Civic Sedan 1.6 Otomatik Executive Eco Smart,Binek,Sedan,C,Honda,Civic,Civic Sedan,Executive,2014,Japonya,Fosil Yakıt,Benzin & LPG,Icten Yanmali (Standart),Atmosferik,4,1598,Elektronik Dogrudan Enjeksiyon,,,,Otomatik,Tork Konvertörlü,5 ileri,63.0,125,152,200,12.2,Onden Cekisli,Yok,60.0,59.0,4545,1755,1425,1237,440,Koltuklar Katlanmıyor,205/55 R16,16,55%,205,5,Halojen,Yok,5,Deri,Manuel,Manuel,Otomatik Klima,Var,Var,Var,Var,84.0,6,5,67.0,59.0,3.661,7.69,9.60,5.20,50,,,,EURO 5,157
Honda Civic Sedan 1.6 Otomatik Premium Eco,Binek,Sedan,C,Honda,Civic,Civic Sedan,Premium,2014,Japonya,Fosil Yakıt,Benzin & LPG,Icten Yanmali (Standart),Atmosferik,4,1598,Elektronik Dogrudan Enjeksiyon,,,,Otomatik,Tork Konvertörlü,5 ileri,63.0,125,152,200,12.2,Onden Cekisli,Yok,60.0,59.0,4545,1755,1425,1237,440,Koltuklar Katlanmıyor,205/55 R16,16,55%,205,5,Halojen,Var,5,Kumas,Manuel,Manuel,Otomatik Klima,Var,Var,Var,Yok,84.0,6,5,67.0,59.0,3.661,7.69,9.60,5.20,50,,,,EURO 5,157
Honda Civic Sedan 1.6 Premium Eco,Binek,Sedan,C,Honda,Civic,Civic Sedan,Premium,2014,Japonya,Fosil Yakıt,Benzin & LPG,Icten Yanmali (Standart),Atmosferik,4,1598,Elektronik Dogrudan Enjeksiyon,,,,Manuel,Manuel,5 ileri,65.0,125,152,200,9.9,Onden Cekisli,Yok,59.0,59.0,4545,1755,1425,1208,440,Koltuklar Katlanmıyor,205/55 R16,16,55%,205,5,Halojen,Var,5,Kumas,Manuel,Manuel,Otomatik Klima,Var,Var,Var,Yok,84.0,6,5,85.0,91.0,3.661,7.37,8.90,5.30,50,,,,EURO 5,157
Toyota Verso 1.6 132 PS Comfort Extra,SUV,MPV,C,Toyota,Verso,Verso,Comfort Extra,"2014, 2015",Japonya,Fosil Yakıt,Benzin,Icten Yanmali (Standart),Atmosferik,4,1598,Elektronik Dogrudan Enjeksiyon,,,,Manuel,Manuel,6 ileri,67.0,132,160,185,11.7,Onden Cekisli,Var,64.0,64.0,4460,1790,1620,1470,155,440,205/60 R16,16,60%,205,5,Halojen,Var,5,Kumas,Manuel,Manuel,Otomatik Klima,Yok,Yok,Var,Yok,94.0,7,5,83.0,91.0,3.661,7.20,8.30,5.60,60,,,,EURO 5,154
Toyota Verso 1.6 132 PS Elegant,SUV,MPV,C,Toyota,Verso,Verso,Elegant,"2014, 2015",Japonya,Fosil Yakıt,Benzin,Icten Yanmali (Standart),Atmosferik,4,1598,Elektronik Dogrudan Enjeksiyon,,,,Manuel,Manuel,6 ileri,67.0,132,160,185,11.7,Onden Cekisli,Var,64.0,64.0,4460,1790,1620,1470,114,440,205/60 R16,16,60%,205,5,Halojen,Var,7,Kumas,Manuel,Manuel,Otomatik Klima,Yok,Yok,Var,Yok,94.0,7,5,83.0,91.0,3.661,7.20,8.30,5.60,60,,,,EURO 5,154
Toyota Verso 1.8 147 PS Multi Drive S Elegant,SUV,MPV,C,Toyota,Verso,Verso,Elegant,"2014, 2015",Japonya,Fosil Yakıt,Benzin,Icten Yanmali (Standart),Atmosferik,4,1798,Elektronik Dogrudan Enjeksiyon,,,,Otomatik,Multidrive S,6 ileri,72.0,147,180,185,11.1,Onden Cekisli,Var,66.0,64.0,4460,1790,1620,1505,114,440,205/60 R16,16,60%,205,5,Halojen,Var,7,Kumas,Manuel,Manuel,Otomatik Klima,Yok,Yok,Var,Yok,95.0,7,5,55.0,50.0,6.848,7.41,8.50,5.80,60,,,,EURO 5,159
Honda Civic Sedan 1.6 125 PS Dream,Binek,Sedan,C,Honda,Civic,Civic Sedan,Dream,"2015, 2016, 2017, 2018, 2019, 2020",Japonya,Fosil Yakıt,Benzin,Icten Yanmali (Standart),Atmosferik,4,1598,PGM-FI (Direkt Enjeksiyon),,,,Manuel,Manuel,5 ileri,65.0,125,152,200,9.7,Onden Cekisli,Var,54.0,59.0,4545,1755,1425,1208,440,Koltuklar Katlanmıyor,195/65 R15,15,65%,195,5,Halojen,Var,5,Kumas,Manuel,Manuel,Otomatik Klima,Yok,Yok,Var,Yok,84.0,6,5,87.0,91.0,3.661,7.37,8.90,5.30,50,,,,EURO 6,154
Honda Civic Sedan 1.6 125 PS Otomatik Dream,Binek,Sedan,C,Honda,Civic,Civic Sedan,Dream,"2015, 2016",Japonya,Fosil Yakıt,Benzin,Icten Yanmali (Standart),Atmosferik,4,1598,PGM-FI (Direkt Enjeksiyon),,,,Otomatik,Tork Konvertörlü,5 ileri,63.0,125,152,200,12.0,Onden Cekisli,Var,56.0,59.0,4545,1755,1425,1237,440,Koltuklar Katlanmıyor,195/65 R15,15,65%,195,5,Halojen,Var,5,Kumas,Manuel,Manuel,Otomatik Klima,Yok,Yok,Var,Yok,84.0,6,5,68.0,59.0,3.661,7.59,9.50,5.10,50,,,,EURO 6,155
Honda Civic Sedan 1.6 125 PS Executive,Binek,Sedan,C,Honda,Civic,Civic Sedan,Executive,"2015, 2016",Japonya,Fosil Yakıt,Benzin,Icten Yanmali (Standart),Atmosferik,4,1598,PGM-FI (Direkt Enjeksiyon),,,,Manuel,Manuel,5 ileri,65.0,125,152,200,9.9,Onden Cekisli,Var,59.0,59.0,4545,1755,1425,1208,440,Koltuklar Katlanmıyor,205/55 R16,16,55%,205,5,LED,Var,5,Deri,Manuel,Manuel,Otomatik Klima,Var,Var,Var,Var,84.0,6,5,85.0,91.0,3.661,7.52,9.00,5.50,50,,,,EURO 6,156
Honda Civic Sedan 1.6 125 PS Otomatik Executive,Binek,Sedan,C,Honda,Civic,Civic Sedan,Executive,"2015, 2016",Japonya,Fosil Yakıt,Benzin,Icten Yanmali (Standart),Atmosferik,4,1598,PGM-FI (Direkt Enjeksiyon),,,,Otomatik,Tork Konvertörlü,5 ileri,63.0,125,152,200,12.2,Onden Cekisli,Var,60.0,59.0,4545,1755,1425,1237,440,Koltuklar Katlanmıyor,205/55 R16,16,55%,205,5,LED,Var,5,Deri,Manuel,Manuel,Otomatik Klima,Var,Var,Var,Var,84.0,6,5,67.0,59.0,3.661,7.69,9.60,5.20,50,,,,EURO 6,157
Honda Civic Sedan 1.6 125 PS Otomatik Premium,Binek,Sedan,C,Honda,Civic,Civic Sedan,Premium,"2015, 2016",Japonya,Fosil Yakıt,Benzin,Icten Yanmali (Standart),Atmosferik,4,1598,PGM-FI (Direkt Enjeksiyon),,,,Otomatik,Tork Konvertörlü,5 ileri,63.0,125,152,200,12.2,Onden Cekisli,Var,60.0,59.0,4545,1755,1425,1237,440,Koltuklar Katlanmıyor,205/55 R16,16,55%,205,5,LED,Var,5,Kumas,Manuel,Manuel,Otomatik Klima,Var,Var,Var,Var,84.0,6,5,67.0,59.0,3.661,7.69,9.60,5.20,50,,,,EURO 6,157
Honda Civic Sedan 1.6 125 PS Premium,Binek,Sedan,C,Honda,Civic,Civic Sedan,Premium,"2015, 2016, 2017, 2018, 2019",Japonya,Fosil Yakıt,Benzin,Icten Yanmali (Standart),Atmosferik,4,1598,PGM-FI (Direkt Enjeksiyon),,,,Manuel,Manuel,5 ileri,65.0,125,152,200,9.7,Onden Cekisli,Var,59.0,59.0,4545,1755,1425,1208,440,Koltuklar Katlanmıyor,205/55 R16,16,55%,205,5,LED,Var,5,Kumas,Manuel,Manuel,Otomatik Klima,Var,Var,Var,Var,84.0,6,5,85.0,91.0,3.661,7.52,9.00,5.50,50,,,,EURO 6,156
Honda Civic Sedan 1.6 125 PS Elegance,Binek,Sedan,C,Honda,Civic,Civic Sedan,Elegance,"2015, 2016, 2017, 2018, 2019",Japonya,Fosil Yakıt,Benzin,Icten Yanmali (Standart),Atmosferik,4,1598,PGM-FI (Direkt Enjeksiyon),,,,Manuel,Manuel,5 ileri,65.0,125,152,200,9.9,Onden Cekisli,Yok,59.0,59.0,4545,1755,1425,1208,440,Koltuklar Katlanmıyor,205/55 R16,16,55%,205,5,LED,Var,5,Kumas,Manuel,Manuel,Otomatik Klima,Var,Var,Var,Var,84.0,6,5,85.0,91.0,3.661,7.52,9.00,5.50,50,,,,EURO 5,156
Honda Civic Sedan 1.6 125 PS Elegance Smart,Binek,Sedan,C,Honda,Civic,Civic Sedan,Elegance,2015,Japonya,Fosil Yakıt,Benzin,Icten Yanmali (Standart),Atmosferik,4,1598,PGM-FI (Direkt Enjeksiyon),,,,Manuel,Manuel,5 ileri,65.0,125,152,200,9.9,Onden Cekisli,Yok,59.0,59.0,4545,1755,1425,1208,440,Koltuklar Katlanmıyor,205/55 R16,16,55%,205,5,LED,Var,5,Kumas,Manuel,Manuel,Otomatik Klima,Var,Var,Var,Var,84.0,6,5,85.0,91.0,3.661,7.52,9.00,5.50,50,,,,EURO 5,156
Honda Civic Sedan 1.6 125 PS Executive Smart,Binek,Sedan,C,Honda,Civic,Civic Sedan,Executive,2015,Japonya,Fosil Yakıt,Benzin,Icten Yanmali (Standart),Atmosferik,4,1598,PGM-FI (Direkt Enjeksiyon),,,,Manuel,Manuel,5 ileri,65.0,125,152,200,9.9,Onden Cekisli,Yok,59.0,59.0,4545,1755,1425,1208,440,Koltuklar Katlanmıyor,205/55 R16,16,55%,205,5,LED,Var,5,Deri,Manuel,Manuel,Otomatik Klima,Var,Var,Var,Var,84.0,6,5,85.0,91.0,3.661,7.52,9.00,5.50,50,,,,EURO 5,156
Honda Civic Sedan 1.6 125 PS Otomatik Elegance Smart,Binek,Sedan,C,Honda,Civic,Civic Sedan,Elegance,2015,Japonya,Fosil Yakıt,Benzin,Icten Yanmali (Standart),Atmosferik,4,1598,PGM-FI (Direkt Enjeksiyon),,,,Otomatik,Tork Konvertörlü,5 ileri,63.0,125,152,200,12.2,Onden Cekisli,Yok,60.0,59.0,4545,1755,1425,1237,440,Koltuklar Katlanmıyor,205/55 R16,16,55%,205,5,LED,Var,5,Kumas,Manuel,Manuel,Otomatik Klima,Var,Var,Var,Var,84.0,6,5,67.0,59.0,3.661,7.69,9.60,5.20,50,,,,EURO 5,157
Honda Civic Sedan 1.6 125 PS Otomatik Executive Smart,Binek,Sedan,C,Honda,Civic,Civic Sedan,Executive,2015,Japonya,Fosil Yakıt,Benzin,Icten Yanmali (Standart),Atmosferik,4,1598,PGM-FI (Direkt Enjeksiyon),,,,Otomatik,Tork Konvertörlü,5 ileri,63.0,125,152,200,12.2,Onden Cekisli,Yok,60.0,59.0,4545,1755,1425,1237,440,Koltuklar Katlanmıyor,205/55 R16,16,55%,205,5,LED,Var,5,Deri,Manuel,Manuel,Otomatik Klima,Var,Var,Var,Var,84.0,6,5,67.0,59.0,3.661,7.69,9.60,5.20,50,,,,EURO 5,157
Honda Civic Sedan 1.6 Dream,Binek,Sedan,C,Honda,Civic,Civic Sedan,Dream,2014,Japonya,Fosil Yakıt,Benzin,Icten Yanmali (Standart),Atmosferik,4,1598,Elektronik Dogrudan Enjeksiyon,,,,Manuel,Manuel,5 ileri,65.0,125,152,200,9.7,Onden Cekisli,Yok,54.0,59.0,4545,1755,1425,1208,440,Koltuklar Katlanmıyor,195/65 R15,15,65%,195,5,Halojen,Var,5,Kumas,Manuel,Manuel,Otomatik Klima,Var,Var,Var,Yok,84.0,6,5,87.0,91.0,3.661,7.37,8.90,5.30,50,,,,EURO 5,154
Honda Civic Sedan 1.6 Otomatik Dream,Binek,Sedan,C,Honda,Civic,Civic Sedan,Dream,2014,Japonya,Fosil Yakıt,Benzin,Icten Yanmali (Standart),Atmosferik,4,1598,Elektronik Dogrudan Enjeksiyon,,,,Otomatik,Tork Konvertörlü,5 ileri,66.0,125,152,200,9.7,Onden Cekisli,Yok,56.0,59.0,4545,1755,1425,1237,440,Koltuklar Katlanmıyor,195/65 R15,15,65%,195,5,Halojen,Var,5,Kumas,Manuel,Manuel,Otomatik Klima,Var,Var,Var,Var,84.0,6,5,68.0,59.0,3.661,7.59,9.50,5.10,50,,,,EURO 5,155
