BASLIK;MARKA;MODEL;TEMEL OZELLIKLER - Seri;TEMEL OZELLIKLER - Donanim Paketi;TEMEL OZELLIKLER - Model Yillari;TEMEL OZELLIKLER - Ait Oldugu Ulke;TEMEL OZELLIKLER - Yakit Turu;TEMEL OZELLIKLER - Arac Turu;TEMEL OZELLIKLER - Govde Tipi;TEMEL OZELLIKLER - Segment;TEMEL OZELLIKLER - Motor Tipi;TEMEL OZELLIKLER - Yakit Tipi;MOTOR (Icten Yanmali) - Besleme Tipi;MOTOR (Icten Yanmali) - Silindir Adedi;MOTOR (Icten Yanmali) - Silindir Hacmi;MOTOR (Icten Yanmali) - Yakit Puskurtme;MOTOR (Elektrikli) - Batarya Kapasitesi;MOTOR (Elektrikli) - Batarya Tipi;MOTOR (Elektrikli) - Menzil (WLTP - Birlesik);MOTOR (Elektrikli) - Menzil (WLTP - Sehir Ici);MOTOR (Elektrikli) - Motor Gucu;MOTOR (Elektrikli) - Ortalama Tuketim (Elk.);MOTOR (Elektrikli) - Sarj Suresi;EKONOMI - MTV;PERFORMANS - Azami Hiz;PERFORMANS - Azami Tork;PERFORMANS - Beygir Gucu;PERFORMANS - 0 - 100 Km Hizlanma;AGIRLIK & OLCULER - Agirlik;AGIRLIK & OLCULER - Genislik;AGIRLIK & OLCULER - Uzunluk;AGIRLIK & OLCULER - Yukseklik;BAGAJ OZELLIKLERI - Bagaj Hacmi (5 Koltuk);BAGAJ OZELLIKLERI - Bagaj Hacmi (2 Koltuk);DIS GOVDE - Kapi Sayisi;LASTIK & JANT - Lastik Ebatlari;LASTIK & JANT - Taban Genisligi;LASTIK & JANT - Kesit Orani;LASTIK & JANT - Jant Capi;SANZIMAN & CEKIS SISTEMI - Cekis;SANZIMAN & CEKIS SISTEMI - Cekis Kontrol Sistemi;SANZIMAN & CEKIS SISTEMI - Sanziman Turu;SANZIMAN & CEKIS SISTEMI - Sanziman Kademesi;SANZIMAN & CEKIS SISTEMI - Sanziman Modeli;YAKIT TUKETIMI & EMISYON - Emisyon Standardi;YAKIT TUKETIMI & EMISYON - Ortalama Emisyon;YAKIT TUKETIMI & EMISYON - Ortalama Y.Tuketimi (100 km);YAKIT TUKETIMI & EMISYON - Sehir Disi Tuketim (100 km);YAKIT TUKETIMI & EMISYON - Sehir Ici Tuketim (100 km);YAKIT TUKETIMI & EMISYON - Yakit Kapasitesi (lt);YOLCU EMNIYETI - Hava Yastigi Adedi;YOLCU EMNIYETI - NCAP/ANCAP Adedi;GOSTERGELER & SENSORLER - Far Sensoru;GOSTERGELER & SENSORLER - Lastik Basinc Sensoru;GOSTERGELER & SENSORLER - Park Sensoru & Yardimi;GOSTERGELER & SENSORLER - Yagmur Sensoru;ISITMA & SOGUTMA - Klima;KOLTUKLAR & IC DOSEME - Koltuk Dosemesi Tipi;KOLTUKLAR & IC DOSEME - Koltuk Sayisi;KOLTUKLAR & IC DOSEME - Surucu Koltugu Ayarlari;KOLTUKLAR & IC DOSEME - On Yolcu Koltugu Ayarlari;LAMBALAR & AYDINLATMA - Far Tipi;LAMBALAR & AYDINLATMA - Sis Farlari
Volkswagen Crafter Servis E.U.Sasi 2.0 BiTDI 163 PS (16+1);Volkswagen;Crafter Servis E,U,Sasi;Crafter;Servis;2017;Almanya;Fosil Yakıt;Ticari;Minibus;Hafif Ticari;Icten Yanmali (Standart);Dizel;Cift Turbo;4;1968;Common Rail Direkt Enjeksiyon;;;;;;;;10613;220;400;163;11;2464;1993;7340;2705;850;Koltuklar Katlanmıyor;5;205/75 R16;205;75%;16;Arkadan Itisli;Var;Manuel;6 ileri;Manuel;EURO 6;237;9,22;7,1;10,7;75;1;Test Edilmemiş;Var;Var;Var;Var;Manuel Klima;Kumas;17;Manuel;Manuel; Halojen; Var
Volkswagen Crafter Servis E.U.Sasi 2.0 BiTDI 163 PS (19+1);Volkswagen;Crafter Servis E,U,Sasi;Crafter;Servis;2017;Almanya;Fosil Yakıt;Ticari;Minibus;Hafif Ticari;Icten Yanmali (Standart);Dizel;Cift Turbo;4;1968;Common Rail Direkt Enjeksiyon;;;;;;;;10613;220;400;163;11;2464;1993;7340;2705;850;Koltuklar Katlanmıyor;5;205/75 R16;205;75%;16;Arkadan Itisli;Var;Manuel;6 ileri;Manuel;EURO 6;237;9,22;7,1;10,7;75;1;Test Edilmemiş;Var;Var;Var;Var;Manuel Klima;Kumas;20;Manuel;Manuel; Halojen; Var
Volkswagen Crafter Servis U.Sasi 2.0 BiTDI 163 PS (14+1);Volkswagen;Crafter Servis U,Sasi;Crafter;Servis;2017;Almanya;Fosil Yakıt;Ticari;Minibus;Hafif Ticari;Icten Yanmali (Standart);Dizel;Cift Turbo;4;1968;Common Rail Direkt Enjeksiyon;;;;;;;;10613;220;400;163;11;2155;1993;6940;2705;590;Koltuklar Katlanmıyor;5;235/65 R16;235;65%;16;Arkadan Itisli;Var;Manuel;6 ileri;Manuel;EURO 6;237;8,83;7,9;9,2;75;1;Test Edilmemiş;Var;Var;Var;Var;Manuel Klima;Kumas;15;Manuel;Manuel; Halojen; Var
Volkswagen Crafter Servis U.Sasi 2.0 BiTDI 163 PS (15+1);Volkswagen;Crafter Servis U,Sasi;Crafter;Servis;2017;Almanya;Fosil Yakıt;Ticari;Minibus;Hafif Ticari;Icten Yanmali (Standart);Dizel;Cift Turbo;4;1968;Common Rail Direkt Enjeksiyon;;;;;;;;10613;220;400;163;11;2155;1993;6940;2705;590;Koltuklar Katlanmıyor;5;235/65 R16;235;65%;16;Arkadan Itisli;Var;Manuel;6 ileri;Manuel;EURO 6;237;8,83;7,9;9,2;75;1;Test Edilmemiş;Var;Var;Var;Var;Manuel Klima;Kumas;16;Manuel;Manuel; Halojen; Var
Opel Crossland X 1.2 81 HP Enjoy;Opel;Crossland X;Crossland X;Enjoy;2017, 2018;Almanya;Fosil Yakıt;SUV;MPV;B;Icten Yanmali (Standart);Benzin;Atmosferik;3;1199;Cok Noktadan Enjeksiyon;;;;;;;;1882;170;118;81;14;1099;1765;4212;1605;410;1255;5;205/60 R16;205;60%;16;Onden Cekisli;Var;Manuel;5 ileri;Manuel;EURO 6;116;5,65;4,4;6,5;45;6;5;Var;Var;Var;Yok;Manuel Klima;Kumas & Deri;5;Manuel;Manuel; Halojen; Var
Opel Crossland X 1.2 Turbo 110 HP Otomatik Enjoy;Opel;Crossland X;Crossland X;Enjoy;2017, 2018;Almanya;Fosil Yakıt;SUV;MPV;B;Icten Yanmali (Standart);Benzin;Turbo;3;1199;Cok Noktadan Enjeksiyon;;;;;;;;1882;187;205;110;11,8;1214;1765;4212;1605;410;1255;5;205/60 R16;205;60%;16;Onden Cekisli;Var;Otomatik;6 ileri; Tork Konvertörlü;EURO 6;123;5,85;4,8;6,5;45;6;5;Var;Var;Var;Yok;Manuel Klima;Kumas;5;Manuel;Manuel; Halojen; Var
Opel Crossland X 1.6 CDTI 99 HP Enjoy;Opel;Crossland X;Crossland X;Enjoy;2017, 2018;Almanya;Fosil Yakıt;SUV;MPV;B;Icten Yanmali (Standart);Dizel;Turbo;4;1560;Common Rail Direkt Enjeksiyon;;;;;;;;3661;180;254;99;11,6;1214;1765;4212;1605;410;1255;5;205/60 R16;205;60%;16;Onden Cekisli;Var;Manuel;5 ileri;Manuel;EURO 6;102;4,08;3,5;4,4;45;6;5;Var;Var;Var;Yok;Manuel Klima;Kumas & Deri;5;Manuel;Manuel; Halojen; Var
Fiat Doblo Combi 1.3 EcoJet 90 HP Safeline;Fiat;Doblo Combi;Doblo;Safeline;2015;Italya;Fosil Yakıt;Ticari;Kombi;Hafif Ticari;Icten Yanmali (Standart);Dizel;Turbo;4;1248;Common Rail Direkt Enjeksiyon;;;;;;;;1882;156;200;90;14,9;1380;1832;4406;1845;790;3200;5;195/60 R16;195;60%;16;Onden Cekisli;Yok;Manuel;5 ileri;Manuel;EURO 5;118;4,81;4;5,3;60;2;3;Yok;Yok;Yok;Yok;Manuel Klima;Kumas;5;Manuel;Manuel; Halojen; Yok
Fiat Doblo Combi 1.3 MultiJet 90 HP Easy;Fiat;Doblo Combi;Doblo;Easy;2015;Italya;Fosil Yakıt;Ticari;Kombi;Hafif Ticari;Icten Yanmali (Standart);Dizel;Turbo;4;1248;Common Rail Direkt Enjeksiyon;;;;;;;;1882;156;200;90;14,9;1380;1832;4406;1845;790;3200;5;195/60 R15;195;60%;15;Onden Cekisli;Yok;Manuel;5 ileri;Manuel;EURO 5;136;5,65;4,3;6,6;60;1;3;Yok;Yok;Yok;Yok;Manuel Klima;Kumas;5;Manuel;Manuel; Halojen; Yok
Fiat Doblo Combi 1.3 MultiJet 90 HP Safeline;Fiat;Doblo Combi;Doblo;Safeline;2015;Italya;Fosil Yakıt;Ticari;Kombi;Hafif Ticari;Icten Yanmali (Standart);Dizel;Turbo;4;1248;Common Rail Direkt Enjeksiyon;;;;;;;;1882;156;200;90;14,9;1380;1832;4406;1845;790;3200;5;195/60 R16;195;60%;16;Onden Cekisli;Yok;Manuel;5 ileri;Manuel;EURO 5;136;5,65;4,3;6,6;60;2;3;Yok;Yok;Yok;Yok;Manuel Klima;Kumas;5;Manuel;Manuel; Halojen; Yok
Fiat Doblo Combi 1.6 MultiJet 105 HP Easy;Fiat;Doblo Combi;Doblo;Easy;2015;Italya;Fosil Yakıt;Ticari;Kombi;Hafif Ticari;Icten Yanmali (Standart);Dizel;Turbo;4;1598;Common Rail Direkt Enjeksiyon;;;;;;;;3661;164;290;105;13,4;1420;1832;4406;1845;790;3200;5;195/60 R15;195;60%;15;Onden Cekisli;Yok;Manuel;6 ileri;Manuel;EURO 5;138;5,95;4,7;6,8;60;1;3;Yok;Yok;Yok;Yok;Manuel Klima;Kumas;5;Manuel;Manuel; Halojen; Yok
Fiat Doblo Combi Maxi 1.3 MultiJet 90 HP Easy;Fiat;Doblo Combi Maxi;Doblo;Easy;2015;Italya;Fosil Yakıt;Ticari;Kombi;Hafif Ticari;Icten Yanmali (Standart);Dizel;Turbo;4;1248;Common Rail Direkt Enjeksiyon;;;;;;;;1882;156;200;90;14,9;1430;1832;4756;1880;1050;4000;5;195/60 R16;195;60%;16;Onden Cekisli;Yok;Manuel;5 ileri;Manuel;EURO 5;136;5,65;4,3;6,6;60;1;3;Yok;Yok;Yok;Yok;Manuel Klima;Kumas;5;Manuel;Manuel; Halojen; Yok
Fiat Doblo Combi Maxi 1.3 MultiJet 90 HP Safeline;Fiat;Doblo Combi Maxi;Doblo;Safeline;2015;Italya;Fosil Yakıt;Ticari;Kombi;Hafif Ticari;Icten Yanmali (Standart);Dizel;Turbo;4;1248;Common Rail Direkt Enjeksiyon;;;;;;;;1882;156;200;90;14,9;1430;1832;4756;1880;1050;4000;5;195/60 R16;195;60%;16;Onden Cekisli;Yok;Manuel;5 ileri;Manuel;EURO 5;136;5,65;4,3;6,6;60;2;3;Yok;Yok;Yok;Yok;Manuel Klima;Kumas;5;Manuel;Manuel; Halojen; Yok
Fiat Doblo Combi Maxi 1.6 MultiJet 105 HP Safeline;Fiat;Doblo Combi Maxi;Doblo;Safeline;2015;Italya;Fosil Yakıt;Ticari;Kombi;Hafif Ticari;Icten Yanmali (Standart);Dizel;Turbo;4;1598;Common Rail Direkt Enjeksiyon;;;;;;;;3661;164;290;105;13,4;1470;1832;4756;1880;1050;4000;5;195/60 R16;195;60%;16;Onden Cekisli;Var;Manuel;6 ileri;Manuel;EURO 5;138;5,89;6,8;4,7;60;2;3;Yok;Yok;Yok;Yok;Manuel Klima;Kumas;5;Manuel;Manuel; Halojen; Yok
Fiat Doblo Kombi 1.3 MultiJet 90 HP Easy;Fiat;Doblo Kombi;Doblo;Easy;2016, 2017;Italya;Fosil Yakıt;Ticari;Kombi;Hafif Ticari;Icten Yanmali (Standart);Dizel;Turbo;4;1248;Common Rail Direkt Enjeksiyon;;;;;;;;1882;156;200;90;14,9;1380;1832;4406;1845;790;3200;5;195/60 R15;195;60%;15;Onden Cekisli;Var;Manuel;5 ileri;Manuel;EURO 6;136;5,65;4,3;6,6;60;1;3;Yok;Yok;Yok;Yok;Manuel Klima;Kumas;5;Manuel;Manuel; Halojen; Yok
Fiat Doblo Kombi 1.3 MultiJet 90 HP Safeline;Fiat;Doblo Kombi;Doblo;Safeline;2016, 2017;Italya;Fosil Yakıt;Ticari;Kombi;Hafif Ticari;Icten Yanmali (Standart);Dizel;Turbo;4;1248;Common Rail Direkt Enjeksiyon;;;;;;;;1882;156;200;90;14,9;1380;1832;4406;1845;790;3200;5;195/60 R16;195;60%;16;Onden Cekisli;Var;Manuel;5 ileri;Manuel;EURO 6;136;5,65;4,3;6,6;60;2;3;Yok;Yok;Yok;Var;Manuel Klima;Kumas;5;Manuel;Manuel; Halojen; Yok
Fiat Doblo Kombi 1.6 MultiJet 105 HP Easy;Fiat;Doblo Kombi;Doblo;Easy;2016, 2017, 2018, 2019, 2020, 2021, 2022;Italya;Fosil Yakıt;Ticari;Kombi;Hafif Ticari;Icten Yanmali (Standart);Dizel;Turbo;4;1598;Common Rail Direkt Enjeksiyon;;;;;;;;3661;164;290;105;13,4;1420;1832;4406;1845;790;3200;5;195/60 R15;195;60%;15;Onden Cekisli;Var;Manuel;6 ileri;Manuel;EURO 6;138;5,95;4,7;6,8;60;1;3;Yok;Yok;Yok;Yok;Manuel Klima;Kumas;5;Manuel;Manuel; Halojen; Yok
Fiat Doblo Kombi 1.6 MultiJet 105 HP Safeline;Fiat;Doblo Kombi;Doblo;Safeline;2016, 2017, 2018, 2019, 2020, 2021, 2022;Italya;Fosil Yakıt;Ticari;Kombi;Hafif Ticari;Icten Yanmali (Standart);Dizel;Turbo;4;1598;Common Rail Direkt Enjeksiyon;;;;;;;;3661;164;290;105;13,4;1420;1832;4406;1845;790;3200;5;195/60 R16;195;60%;16;Onden Cekisli;Var;Manuel;6 ileri;Manuel;EURO 6;138;5,95;4,7;6,8;60;2;3;Yok;Yok;Yok;Var;Manuel Klima;Kumas;5;Manuel;Manuel; Halojen; Yok
Fiat Doblo Kombi 1.3 MultiJet 95 HP Easy;Fiat;Doblo Kombi;Doblo;Easy;2018, 2019, 2020, 2021;Italya;Fosil Yakıt;Ticari;Kombi;Hafif Ticari;Icten Yanmali (Standart);Dizel;Turbo;4;1248;Common Rail Direkt Enjeksiyon;;;;;;;;1882;156;200;95;14,9;1380;1832;4406;1845;790;3200;5;195/60 R15;195;60%;15;Onden Cekisli;Var;Manuel;5 ileri;Manuel;EURO 6;136;5,65;4,3;6,6;60;1;3;Yok;Yok;Yok;Yok;Manuel Klima;Kumas;5;Manuel;Manuel; Halojen; Yok
Fiat Doblo Kombi 1.3 MultiJet 95 HP Safeline;Fiat;Doblo Kombi;Doblo;Safeline;2018, 2019, 2020, 2021;Italya;Fosil Yakıt;Ticari;Kombi;Hafif Ticari;Icten Yanmali (Standart);Dizel;Turbo;4;1248;Common Rail Direkt Enjeksiyon;;;;;;;;1882;156;200;95;14,9;1380;1832;4406;1845;790;3200;5;195/60 R16;195;60%;16;Onden Cekisli;Var;Manuel;5 ileri;Manuel;EURO 6;136;5,65;4,3;6,6;60;2;3;Yok;Yok;Yok;Var;Manuel Klima;Kumas;5;Manuel;Manuel; Halojen; Yok
Fiat Doblo Kombi 1.4 Fire 95 HP Safeline;Fiat;Doblo Kombi;Doblo;Safeline;2018, 2019;Italya;Fosil Yakıt;Ticari;Kombi;Hafif Ticari;Icten Yanmali (Standart);Benzin;Atmosferik;4;1368;Cok Noktadan Enjeksiyon;;;;;;;;3661;161;127;95;15,4;1420;1832;4406;1845;790;3200;5;195/60 R16;195;60%;16;Onden Cekisli;Var;Manuel;5 ileri;Manuel;EURO 6;171;8,09;6,1;9,5;60;2;3;Yok;Yok;Yok;Var;Manuel Klima;Kumas;5;Manuel;Manuel; Halojen; Yok
Fiat Doblo Kombi 1.6 MultiJet 120 HP Easy;Fiat;Doblo Kombi;Doblo;Easy;2018, 2023;Italya;Fosil Yakıt;Ticari;Kombi;Hafif Ticari;Icten Yanmali (Standart);Dizel;Turbo;4;1598;Common Rail Direkt Enjeksiyon;;;;;;;;3661;164;320;120;13,4;1420;1832;4406;1845;790;3200;5;195/60 R15;195;60%;15;Onden Cekisli;Var;Manuel;6 ileri;Manuel;EURO 6;139;5,64;4,5;6,4;60;1;3;Yok;Yok;Yok;Yok;Manuel Klima;Kumas;5;Manuel;Manuel; Halojen; Yok
Fiat Doblo Kombi 1.6 MultiJet 120 HP Safeline;Fiat;Doblo Kombi;Doblo;Safeline;2018, 2023;Italya;Fosil Yakıt;Ticari;Kombi;Hafif Ticari;Icten Yanmali (Standart);Dizel;Turbo;4;1598;Common Rail Direkt Enjeksiyon;;;;;;;;3661;164;320;120;13,4;1420;1832;4406;1845;790;3200;5;195/60 R16;195;60%;16;Onden Cekisli;Var;Manuel;6 ileri;Manuel;EURO 6;139;5,54;4,3;6,4;60;2;3;Yok;Yok;Yok;Var;Manuel Klima;Kumas;5;Manuel;Manuel; Halojen; Yok
Fiat Doblo Kombi 1.3 MultiJet 95 HP Premio;Fiat;Doblo Kombi;Doblo;Premio;2018, 2019;Italya;Fosil Yakıt;Ticari;Kombi;Hafif Ticari;Icten Yanmali (Standart);Dizel;Turbo;4;1248;Common Rail Direkt Enjeksiyon;;;;;;;;3372;156;200;95;14,9;1420;1832;4406;1845;790;3200;5;195/60 R16;195;60%;16;Onden Cekisli;Var;Manuel;5 ileri;Manuel;EURO 6;136;5,65;4,3;6,6;60;2;3;Yok;Var;Var;Yok;Manuel Klima;Kumas;5;Manuel;Manuel; Halojen; Yok
Fiat Doblo Kombi 1.3 MultiJet 95 HP Premio Plus;Fiat;Doblo Kombi;Doblo;Premio Plus;2019, 2020, 2021;Italya;Fosil Yakıt;Ticari;Kombi;Hafif Ticari;Icten Yanmali (Standart);Dizel;Turbo;4;1248;Common Rail Direkt Enjeksiyon;;;;;;;;3372;156;200;95;14,9;1420;1832;4406;1845;790;3200;5;195/60 R16;195;60%;16;Onden Cekisli;Var;Manuel;5 ileri;Manuel;EURO 6;136;5,65;4,3;6,6;60;2;3;Yok;Var;Var;Yok;Manuel Klima;Kumas;5;Manuel;Manuel; Halojen; Yok
Fiat Doblo Kombi 1.4 Fire 95 HP Premio;Fiat;Doblo Kombi;Doblo;Premio;2018, 2019;Italya;Fosil Yakıt;Ticari;Kombi;Hafif Ticari;Icten Yanmali (Standart);Benzin;Atmosferik;4;1368;Cok Noktadan Enjeksiyon;;;;;;;;6314;161;127;95;15,4;1420;1832;4406;1845;790;3200;5;195/60 R16;195;60%;16;Onden Cekisli;Var;Manuel;5 ileri;Manuel;EURO 6;171;8,09;6,1;9,5;60;2;3;Yok;Var;Var;Yok;Manuel Klima;Kumas;5;Manuel;Manuel; Halojen; Yok
Fiat Doblo Kombi 1.6 MultiJet 120 HP Premio;Fiat;Doblo Kombi;Doblo;Premio;2018, 2019;Italya;Fosil Yakıt;Ticari;Kombi;Hafif Ticari;Icten Yanmali (Standart);Dizel;Turbo;4;1598;Common Rail Direkt Enjeksiyon;;;;;;;;6314;164;320;120;13,4;1420;1832;4406;1845;790;3200;5;195/60 R16;195;60%;16;Onden Cekisli;Var;Manuel;6 ileri;Manuel;EURO 6;139;5,64;4,5;6,4;60;2;3;Yok;Var;Var;Yok;Manuel Klima;Kumas;5;Manuel;Manuel; Halojen; Yok
Fiat Doblo Kombi 1.6 MultiJet 120 HP Premio Plus;Fiat;Doblo Kombi;Doblo;Premio Plus;2019, 2020, 2021, 2022, 2023;Italya;Fosil Yakıt;Ticari;Kombi;Hafif Ticari;Icten Yanmali (Standart);Dizel;Turbo;4;1598;Common Rail Direkt Enjeksiyon;;;;;;;;6314;164;320;120;13,4;1420;1832;4406;1845;790;3200;5;195/60 R16;195;60%;16;Onden Cekisli;Var;Manuel;6 ileri;Manuel;EURO 6;139;5,64;4,5;6,4;60;2;3;Yok;Var;Var;Yok;Manuel Klima;Kumas;5;Manuel;Manuel; Halojen; Yok
Fiat Doblo Kombi 1.3 MultiJet 95 HP 20.Yil Ozel Seri;Fiat;Doblo Kombi;Doblo;20,Yil Ozel Seri;2020;Italya;Fosil Yakıt;Ticari;Kombi;Hafif Ticari;Icten Yanmali (Standart);Dizel;Turbo;4;1248;Common Rail Direkt Enjeksiyon;;;;;;;;3372;156;200;95;14,9;1420;1832;4406;1845;790;3200;5;195/60 R16;195;60%;16;Onden Cekisli;Var;Manuel;5 ileri;Manuel;EURO 6.2;136;5,65;4,3;6,6;60;2;3;Yok;Var;Var;Yok;Manuel Klima;Kumas;5;Manuel;Manuel; Halojen; Yok
Fiat Doblo Kombi 1.3 MultiJet 95 HP Urban;Fiat;Doblo Kombi;Doblo;Premio;2020, 2021;Italya;Fosil Yakıt;Ticari;Kombi;Hafif Ticari;Icten Yanmali (Standart);Dizel;Turbo;4;1248;Common Rail Direkt Enjeksiyon;;;;;;;;3372;156;200;95;14,9;1420;1832;4406;1845;790;3200;5;195/60 R16;195;60%;16;Onden Cekisli;Var;Manuel;5 ileri;Manuel;EURO 6.2;136;5,65;4,3;6,6;60;2;3;Yok;Var;Var;Yok;Manuel Klima;Kumas;5;Manuel;Manuel; Halojen; Yok
Fiat Doblo Kombi 1.6 MultiJet 120 HP 20.Yil Ozel Seri;Fiat;Doblo Kombi;Doblo;20,Yil Ozel Seri;2020;Italya;Fosil Yakıt;Ticari;Kombi;Hafif Ticari;Icten Yanmali (Standart);Dizel;Turbo;4;1598;Common Rail Direkt Enjeksiyon;;;;;;;;6314;164;320;120;13,4;1420;1832;4406;1845;790;3200;5;195/60 R16;195;60%;16;Onden Cekisli;Var;Manuel;6 ileri;Manuel;EURO 6.2;139;5,64;4,5;6,4;60;2;3;Yok;Var;Var;Yok;Manuel Klima;Kumas;5;Manuel;Manuel; Halojen; Yok
Fiat Doblo Kombi 1.6 MultiJet 120 HP Urban;Fiat;Doblo Kombi;Doblo;Premio;2020, 2021;Italya;Fosil Yakıt;Ticari;Kombi;Hafif Ticari;Icten Yanmali (Standart);Dizel;Turbo;4;1598;Common Rail Direkt Enjeksiyon;;;;;;;;6314;164;320;120;13,4;1420;1832;4406;1845;790;3200;5;195/60 R16;195;60%;16;Onden Cekisli;Var;Manuel;6 ileri;Manuel;EURO 6.2;139;5,64;4,5;6,4;60;2;3;Yok;Var;Var;Yok;Manuel Klima;Kumas;5;Manuel;Manuel; Halojen; Yok
Fiat Doblo Panorama 1.6 MultiJet 105 HP Easy;Fiat;Doblo Panorama;Doblo;Easy;2015, 2016, 2017;Italya;Fosil Yakıt;Ticari;Kombi;Hafif Ticari;Icten Yanmali (Standart);Dizel;Turbo;4;1598;Common Rail Direkt Enjeksiyon;;;;;;;;3661;164;290;105;13,4;1420;1832;4406;1845;790;3200;5;195/60 R15;195;60%;15;Onden Cekisli;Var;Manuel;6 ileri;Manuel;EURO 5;138;5,95;4,7;6,8;60;2;3;Yok;Var;Yok;Yok;Manuel Klima;Kumas;5;Manuel;Manuel; Halojen; Yok
Fiat Doblo Panorama 1.6 MultiJet 105 HP Premio;Fiat;Doblo Panorama;Doblo;Premio;2015;Italya;Fosil Yakıt;Ticari;Kombi;Hafif Ticari;Icten Yanmali (Standart);Dizel;Turbo;4;1598;Common Rail Direkt Enjeksiyon;;;;;;;;3661;164;290;105;13,4;1420;1832;4406;1845;790;3200;5;195/60 R16;195;60%;16;Onden Cekisli;Var;Manuel;6 ileri;Manuel;EURO 5;138;5,95;4,7;6,8;60;4;3;Yok;Var;Var;Yok;Manuel Klima;Kumas;5;Manuel;Manuel;Halojen;Var
Fiat Doblo Panorama 1.6 MultiJet 105 HP Premio Plus;Fiat;Doblo Panorama;Doblo;Premio Plus;2015;Italya;Fosil Yakıt;Ticari;Kombi;Hafif Ticari;Icten Yanmali (Standart);Dizel;Turbo;4;1598;Common Rail Direkt Enjeksiyon;;;;;;;;3661;164;290;105;13,4;1420;1832;4406;1845;790;3200;5;195/60 R16;195;60%;16;Onden Cekisli;Var;Manuel;6 ileri;Manuel;EURO 5;138;5,95;4,7;6,8;60;4;3;Yok;Var;Var;Yok;Manuel Klima;Kumas;5;Manuel;Manuel;Halojen;Var
Fiat Doblo Panorama 1.6 MultiJet 105 HP Safeline;Fiat;Doblo Panorama;Doblo;Safeline;2016, 2017;Italya;Fosil Yakıt;Ticari;Kombi;Hafif Ticari;Icten Yanmali (Standart);Dizel;Turbo;4;1598;Common Rail Direkt Enjeksiyon;;;;;;;;3661;164;290;105;13,4;1430;1832;4406;1845;790;3200;5;195/60 R16;195;60%;16;Onden Cekisli;Var;Manuel;6 ileri;Manuel;EURO 6;138;5,58;4,7;6,1;60;2;3;Yok;Var;Yok;Yok;Manuel Klima;Kumas;5;Manuel;Manuel; Halojen; Yok
Fiat Doblo Panorama 1.6 MultiJet 120 HP Easy;Fiat;Doblo Panorama;Doblo;Easy;2018, 2019, 2020;Italya;Fosil Yakıt;Ticari;Kombi;Hafif Ticari;Icten Yanmali (Standart);Dizel;Turbo;4;1598;Common Rail Direkt Enjeksiyon;;;;;;;;3661;172;320;120;13,4;1430;1832;4406;1845;790;3200;5;195/60 R16;195;60%;16;Onden Cekisli;Var;Manuel;6 ileri;Manuel;EURO 6;138;5,89;5,1;6,3;60;2;3;Yok;Var;Yok;Yok;Manuel Klima;Kumas;5;Manuel;Manuel; Halojen; Yok
Fiat Doblo Panorama 1.6 MultiJet 120 HP Safeline;Fiat;Doblo Panorama;Doblo;Safeline;2018;Italya;Fosil Yakıt;Ticari;Kombi;Hafif Ticari;Icten Yanmali (Standart);Dizel;Turbo;4;1598;Common Rail Direkt Enjeksiyon;;;;;;;;3661;172;320;120;13,4;1430;1832;4406;1845;790;3200;5;195/60 R16;195;60%;16;Onden Cekisli;Var;Manuel;6 ileri;Manuel;EURO 6;138;5,89;5,1;6,3;60;2;3;Yok;Var;Yok;Yok;Manuel Klima;Kumas;5;Manuel;Manuel; Halojen; Yok
Fiat Doblo Panorama Maxi 1.6 MultiJet 105 HP Easy;Fiat;Doblo Panorama Maxi;Doblo;Easy;2015, 2016, 2017;Italya;Fosil Yakıt;Ticari;Kombi;Hafif Ticari;Icten Yanmali (Standart);Dizel;Turbo;4;1598;Common Rail Direkt Enjeksiyon;;;;;;;;3661;164;290;105;13,4;1525;1832;4756;1880;1050;4000;5;195/60 R15;195;60%;15;Onden Cekisli;Var;Manuel;6 ileri;Manuel;EURO 5;138;5,58;4,7;6,1;60;2;3;Yok;Var;Yok;Yok;Manuel Klima;Kumas;5;Manuel;Manuel; Halojen; Var
Fiat Doblo Panorama Maxi 1.6 MultiJet 120 HP Easy;Fiat;Doblo Panorama Maxi;Doblo;Easy;2018;Italya;Fosil Yakıt;Ticari;Kombi;Hafif Ticari;Icten Yanmali (Standart);Dizel;Turbo;4;1598;Common Rail Direkt Enjeksiyon;;;;;;;;3661;172;320;120;13,4;1525;1832;4756;1880;1050;4000;5;195/60 R16;195;60%;16;Onden Cekisli;Var;Manuel;6 ileri;Manuel;EURO 6;138;5,89;5,1;6,3;60;2;3;Yok;Var;Yok;Yok;Manuel Klima;Kumas;5;Manuel;Manuel; Halojen; Yok
Dacia Dokker Combi 1.5 dCi 90 BG Ambiance;Dacia;Dokker Combi;Dokker;Ambiance;2015, 2016, 2017, 2018;Romanya > Fransa;Fosil Yakıt;Ticari;Kombi;Hafif Ticari;Icten Yanmali (Standart);Dizel;Turbo;4;1461;Common Rail Direkt Enjeksiyon;;;;;;;;3661;162;200;90;13,9;1333;1751;4363;1852;800;3000;5;185/65 R15;185;65%;15;Onden Cekisli;Yok;Manuel;5 ileri;Manuel;EURO 5;118;4,81;4,1;5,2;50;1;3;Yok;Yok;Yok;Yok;Manuel Klima;Kumas;5;Manuel;Manuel; Halojen; Yok
