BASLIK;MARKA;MODEL;TEMEL OZELLIKLER - Seri;TEMEL OZELLIKLER - Donanim Paketi;TEMEL OZELLIKLER - Model Yillari;TEMEL OZELLIKLER - Ait Oldugu Ulke;TEMEL OZELLIKLER - Yakit Turu;TEMEL OZELLIKLER - Arac Turu;TEMEL OZELLIKLER - Govde Tipi;TEMEL OZELLIKLER - Segment;TEMEL OZELLIKLER - Motor Tipi;TEMEL OZELLIKLER - Yakit Tipi;MOTOR (Icten Yanmali) - Besleme Tipi;MOTOR (Icten Yanmali) - Silindir Adedi;MOTOR (Icten Yanmali) - Silindir Hacmi;MOTOR (Icten Yanmali) - Yakit Puskurtme;MOTOR (Elektrikli) - Batarya Kapasitesi;MOTOR (Elektrikli) - Batarya Tipi;MOTOR (Elektrikli) - Menzil (WLTP - Birlesik);MOTOR (Elektrikli) - Menzil (WLTP - Sehir Ici);MOTOR (Elektrikli) - Motor Gucu;MOTOR (Elektrikli) - Ortalama Tuketim (Elk.);MOTOR (Elektrikli) - Sarj Suresi;EKONOMI - MTV;EKONOMI - Bakim Masrafi (Tahmini);PERFORMANS - Azami Hiz;PERFORMANS - Azami Tork;PERFORMANS - Beygir Gucu;PERFORMANS - 0 - 100 Km Hizlanma;AGIRLIK & OLCULER - Agirlik;AGIRLIK & OLCULER - Genislik;AGIRLIK & OLCULER - Uzunluk;AGIRLIK & OLCULER - Yukseklik;BAGAJ OZELLIKLERI - Bagaj Hacmi (5 Koltuk);BAGAJ OZELLIKLERI - Bagaj Hacmi (2 Koltuk);DIS GOVDE - Kapi Sayisi;LASTIK & JANT - Lastik Ebatlari;LASTIK & JANT - Taban Genisligi;LASTIK & JANT - Kesit Orani;LASTIK & JANT - Jant Capi;SANZIMAN & CEKIS SISTEMI - Cekis;SANZIMAN & CEKIS SISTEMI - Cekis Kontrol Sistemi;SANZIMAN & CEKIS SISTEMI - Sanziman Turu;SANZIMAN & CEKIS SISTEMI - Sanziman Kademesi;SANZIMAN & CEKIS SISTEMI - Sanziman Modeli;YAKIT TUKETIMI & EMISYON - Emisyon Standardi;YAKIT TUKETIMI & EMISYON - Ortalama Emisyon;YAKIT TUKETIMI & EMISYON - Ortalama Y.Tuketimi (100 km);YAKIT TUKETIMI & EMISYON - Sehir Disi Tuketim (100 km);YAKIT TUKETIMI & EMISYON - Sehir Ici Tuketim (100 km);YAKIT TUKETIMI & EMISYON - Yakit Kapasitesi (lt);YOLCU EMNIYETI - Hava Yastigi Adedi;YOLCU EMNIYETI - NCAP/ANCAP Adedi;GOSTERGELER & SENSORLER - Far Sensoru;GOSTERGELER & SENSORLER - Lastik Basinc Sensoru;GOSTERGELER & SENSORLER - Park Sensoru & Yardimi;GOSTERGELER & SENSORLER - Yagmur Sensoru;ISITMA & SOGUTMA - Klima;KOLTUKLAR & IC DOSEME - Koltuk Dosemesi Tipi;KOLTUKLAR & IC DOSEME - Koltuk Sayisi;KOLTUKLAR & IC DOSEME - Surucu Koltugu Ayarlari;KOLTUKLAR & IC DOSEME - On Yolcu Koltugu Ayarlari;LAMBALAR & AYDINLATMA - Far Tipi;LAMBALAR & AYDINLATMA - Sis Farlari;Performance_Score;Ic_Hacim_Score;Konfor_Score;Guvenlik_Score;Eko_Score;Maintenance_Score;GLOBAL_SCORE
Fiat Egea 1.3 Multijet 95 HP Lounge;Fiat;Egea;Egea;Lounge;2017, 2018, 2019, 2020, 2021, 2022, 2023;Italya;Fosil Yakıt;Binek;Sedan;C;Icten Yanmali (Standart);Dizel;Turbo;4;1248;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;4.834;nan;184;200;95;12.8;1240;1792;4532;1497;520;Koltuklar Katlanmıyor;5;225/45 R17;225;45%;17;Onden Cekisli;Var;Manuel;5 ileri;Manuel;EURO 6.2;113;4.50;3.80;4.90;50;6;3;Var;Var;Var;Var;Manuel Klima;Kumas;5;Manuel;Manuel;Halojen;Var;67;4893;1517;468;75;89;1118
Fiat Egea 1.3 Multijet 95 HP Urban;Fiat;Egea;Egea;Urban;2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023;Italya;Fosil Yakıt;Binek;Sedan;C;Icten Yanmali (Standart);Dizel;Turbo;4;1248;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;4.834;nan;184;200;95;12.8;1240;1792;4532;1497;520;Koltuklar Katlanmıyor;5;225/45 R17;225;45%;17;Onden Cekisli;Var;Manuel;5 ileri;Manuel;EURO 6.2;113;4.50;3.80;4.90;50;6;3;Yok;Var;Var;Yok;Manuel Klima;Kumas;5;Manuel;Manuel;Halojen;Var;67;4893;1517;468;75;89;1118
Fiat Egea 1.6 Mjet 120 HP Mirror;Fiat;Egea;Egea;Mirror;2018;Italya;Fosil Yakıt;Binek;Sedan;C;Icten Yanmali (Standart);Dizel;Turbo;4;1598;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;3.661;nan;199;320;120;9.7;1270;1792;4532;1497;520;Koltuklar Katlanmıyor;5;225/45 R17;225;45%;17;Onden Cekisli;Var;Manuel;6 ileri;Manuel;EURO 6;110;4.56;3.60;5.20;45;6;3;Yok;Var;Var;Yok;Otomatik Klima;Kumas;5;Manuel;Manuel;Halojen;Var;114;4893;1529;468;72;81;1130
Fiat Egea 1.6 Mjet 120 HP Urban;Fiat;Egea;Egea;Urban;2017, 2018;Italya;Fosil Yakıt;Binek;Sedan;C;Icten Yanmali (Standart);Dizel;Turbo;4;1598;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;3.661;nan;199;320;120;9.7;1270;1792;4532;1497;520;Koltuklar Katlanmıyor;5;225/45 R17;225;45%;17;Onden Cekisli;Var;Manuel;6 ileri;Manuel;EURO 6;110;4.56;3.60;5.20;45;6;3;Yok;Var;Var;Yok;Otomatik Klima;Kumas;5;Manuel;Manuel;Halojen;Var;114;4893;1529;468;72;81;1130
Fiat Egea 1.6 Multijet 120 HP Lounge Plus;Fiat;Egea;Egea;Lounge Plus;2017, 2018, 2019, 2020;Italya;Fosil Yakıt;Binek;Sedan;C;Icten Yanmali (Standart);Dizel;Turbo;4;1598;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;3.661;nan;199;320;120;9.7;1270;1792;4532;1497;520;Koltuklar Katlanmıyor;5;225/45 R17;225;45%;17;Onden Cekisli;Var;Manuel;6 ileri;Manuel;EURO 6;110;4.56;3.60;5.20;45;6;3;Var;Var;Var;Var;Otomatik Klima;Kumas;5;Manuel;Manuel;Halojen;Var;114;4893;1529;468;72;81;1130
Fiat Egea 1.6 Multijet 120 HP Lounge;Fiat;Egea;Egea;Lounge;2015, 2016, 2017;Italya;Fosil Yakıt;Binek;Sedan;C;Icten Yanmali (Standart);Dizel;Turbo;4;1598;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;3.661;nan;199;320;120;9.7;1270;1792;4532;1497;520;Koltuklar Katlanmıyor;5;225/45 R17;225;45%;17;Onden Cekisli;Var;Manuel;6 ileri;Manuel;EURO 6;110;4.56;3.60;5.20;45;6;3;Var;Var;Var;Var;Otomatik Klima;Kumas;5;Manuel;Manuel;Halojen;Var;114;4893;1529;468;72;81;1130
Fiat Egea 1.6 Multijet 120 HP Urban;Fiat;Egea;Egea;Urban;2015, 2016;Italya;Fosil Yakıt;Binek;Sedan;C;Icten Yanmali (Standart);Dizel;Turbo;4;1598;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;3.661;nan;199;320;120;9.7;1270;1792;4532;1497;520;Koltuklar Katlanmıyor;5;205/55 R16;205;55%;16;Onden Cekisli;Var;Manuel;6 ileri;Manuel;EURO 6;110;4.56;3.60;5.20;45;6;3;Yok;Var;Var;Yok;Otomatik Klima;Kumas;5;Manuel;Manuel;Halojen;Var;114;4893;1527;468;72;81;1130
Fiat Egea 1.6 Multijet 120 HP Mirror;Fiat;Egea;Egea;Mirror;2019, 2020;Italya;Fosil Yakıt;Binek;Sedan;C;Icten Yanmali (Standart);Dizel;Turbo;4;1598;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;6.314;nan;200;320;120;9.8;1270;1792;4532;1497;520;Koltuklar Katlanmıyor;5;225/45 R17;225;45%;17;Onden Cekisli;Var;Manuel;6 ileri;Manuel;EURO 6.2;110;4.56;3.60;5.20;45;6;3;Yok;Var;Var;Yok;Manuel Klima;Kumas;5;Manuel;Manuel;Halojen;Var;114;4893;1517;468;72;81;1130
Fiat Egea 1.6 Multijet 120 HP Urban Plus;Fiat;Egea;Egea;Urban Plus;2019, 2020;Italya;Fosil Yakıt;Binek;Sedan;C;Icten Yanmali (Standart);Dizel;Turbo;4;1598;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;6.314;nan;200;320;120;9.8;1270;1792;4532;1497;520;Koltuklar Katlanmıyor;5;225/45 R17;225;45%;17;Onden Cekisli;Var;Manuel;6 ileri;Manuel;EURO 6.2;110;4.56;3.60;5.20;45;6;3;Yok;Var;Var;Yok;Manuel Klima;Kumas;5;Manuel;Manuel;Halojen;Var;114;4893;1517;468;72;81;1130
Fiat Egea 1.6 Multijet 130 HP DCT Easy;Fiat;Egea;Egea;Easy;2023;Italya;Fosil Yakıt;Binek;Sedan;C;Icten Yanmali (Standart);Dizel;Turbo;4;1598;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;8.421;nan;209;320;130;9.8;1355;1792;4532;1497;520;Koltuklar Katlanmıyor;5;205/55 R16;205;55%;16;Onden Cekisli;Var;Otomatik;6 ileri;DCT (YO);EURO 6.2;118;4.76;4.00;5.20;50;6;3;Yok;Var;Yok;Yok;Manuel Klima;Kumas;5;Manuel;Manuel;Halojen;Var;120;4893;1515;467;70;78;1131
Fiat Egea 1.6 Multijet 130 HP DCT Lounge;Fiat;Egea;Egea;Lounge;2023;Italya;Fosil Yakıt;Binek;Sedan;C;Icten Yanmali (Standart);Dizel;Turbo;4;1598;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;8.421;nan;209;320;130;9.8;1355;1792;4532;1497;520;Koltuklar Katlanmıyor;5;225/45 R17;225;45%;17;Onden Cekisli;Var;Otomatik;6 ileri;DCT (YO);EURO 6.2;118;4.76;4.00;5.20;50;6;3;Var;Var;Var;Var;Otomatik Klima;Kumas;5;Manuel;Manuel;Halojen;Var;120;4893;1529;467;70;78;1131
Fiat Egea 1.6 Multijet 130 HP DCT Urban;Fiat;Egea;Egea;Urban;2023;Italya;Fosil Yakıt;Binek;Sedan;C;Icten Yanmali (Standart);Dizel;Turbo;4;1598;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;8.421;nan;209;320;130;9.8;1355;1792;4532;1497;520;Koltuklar Katlanmıyor;5;225/45 R17;225;45%;17;Onden Cekisli;Var;Otomatik;6 ileri;DCT (YO);EURO 6.2;118;4.76;4.00;5.20;50;6;3;Yok;Var;Var;Yok;Manuel Klima;Kumas;5;Elektronik;Elektronik;Halojen;Yok;120;4893;1517;467;70;78;1131
Citroen C3 Aircross 1.5 BlueHDi 120 HP EAT6 Feel Bold;Citroen;C3 Aircross;C3 Aircross;Feel Bold;2021, 2022;Fransa;Fosil Yakıt;SUV;SUV;B;Icten Yanmali (Standart);Dizel;Turbo;4;1499;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;8.421;nan;179;300;120;9.6;1335;1765;4155;1648;410;520;5;215/60 R17;215;60%;17;Onden Cekisli;Var;Otomatik;6 ileri;EAT6;EURO 6.2;106;4.23;3.80;4.40;45;6;5;Var;Var;Yok / Opsiyonel;Var;Otomatik Klima;Kumaş;5;Elektronik;Elektronik;Halojen;Var;99;4864;1519;489;72;81;1124
Citroen C3 Aircross 1.5 BlueHDi 120 HP EAT6 Shine;Citroen;C3 Aircross;C3 Aircross;Shine;2020, 2021, 2022;Fransa;Fosil Yakıt;SUV;SUV;B;Icten Yanmali (Standart);Dizel;Turbo;4;1499;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;8.421;nan;179;300;120;9.6;1335;1765;4155;1648;410;520;5;215/50 R17;215;50%;17;Onden Cekisli;Var;Otomatik;6 ileri;EAT6;EURO 6.2;106;4.23;3.80;4.40;45;6;5;Var;Var;Var;Var;Otomatik Klima;Kumaş;5;Elektronik;Elektronik;LED;Var;99;4864;1519;489;72;81;1124
Citroen C3 Aircross 1.5 BlueHDi 120 HP Shine EAT6;Citroen;C3 Aircross;C3 Aircross;Shine;2021;Fransa;Fosil Yakıt;SUV;SUV;B;Icten Yanmali (Standart);Dizel;Turbo;4;1499;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;6.314;nan;179;300;120;9.6;1335;1765;4155;1648;410;520;5;215/50 R17;215;50%;17;Onden Cekisli;Var;Otomatik;6 ileri;EAT6;EURO 6.2;106;4.23;3.80;4.40;45;6;5;Var;Var;Var;Var;Otomatik Klima;Kumaş;5;Elektronik;Elektronik;LED;Var;99;4864;1519;489;73;81;1124
Fiat Egea 1.5 T4 Hibrit 130 HP Otomatik Easy;Fiat;Egea;Egea;Easy;2022, 2023;Italya;Fosil Yakıt;Binek;Sedan;C;HEV (Benzinli & Elektrikli);Benzin & Elektrik;Turbo;4;1500;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;3.721;nan;196;240;130;8.6;1375;1792;4532;1497;520;Koltuklar Katlanmıyor;5;205/55 R16;205;55%;16;Onden Cekisli;Var;Otomatik;7 ileri;7G-DCT (YO);EURO 6.2;117;5.15;5.00;5.00;50;6;3;Yok;Var;Var;Yok;Otomatik Klima;Kumas;5;Elektronik;Elektronik;Halojen;Var;110;4893;1527;467;71;79;1128
Fiat Egea 1.5 T4 Hibrit 130 HP Otomatik Lounge;Fiat;Egea;Egea;Lounge;2022, 2023;Italya;Fosil Yakıt;Binek;Sedan;C;HEV (Benzinli & Elektrikli);Benzin & Elektrik;Turbo;4;1500;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;3.721;nan;196;240;130;8.6;1375;1792;4532;1497;520;Koltuklar Katlanmıyor;5;225/45 R17;225;45%;17;Onden Cekisli;Var;Otomatik;7 ileri;7G-DCT (YO);EURO 6.2;117;5.15;5.00;5.00;50;6;3;Var;Var;Var;Var;Otomatik Klima;Kumas;5;Elektronik;Elektronik;Halojen;Var;110;4893;1529;467;71;79;1128
Fiat Egea 1.5 T4 Hibrit 130 HP Otomatik Urban;Fiat;Egea;Egea;Urban;2022, 2023;Italya;Fosil Yakıt;Binek;Sedan;C;HEV (Benzinli & Elektrikli);Benzin & Elektrik;Turbo;4;1500;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;3.721;nan;196;240;130;8.6;1375;1792;4532;1497;520;Koltuklar Katlanmıyor;5;225/45 R17;225;45%;17;Onden Cekisli;Var;Otomatik;7 ileri;7G-DCT (YO);EURO 6.2;117;5.15;5.00;5.00;50;6;3;Yok;Var;Var;Yok;Otomatik Klima;Kumas;5;Elektronik;Elektronik;Halojen;Var;110;4893;1529;467;71;79;1128
Audi A8 L 3.0 TFSI 310 HP Quattro Tiptronic (4x4);Audi;A8 L;A8;Standart;2015;Almanya;Fosil Yakıt;Binek;Sedan;F;Icten Yanmali (Standart);Benzin;Turbo;6;2995;Cok Noktadan Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;26.654;nan;250;420;310;5.9;1955;1949;5265;1471;520;Koltuklar Katlanmıyor;5;235/60 R17;235;60%;17;4x4 Cekisli;Var;Otomatik;8 ileri;Tiptronik;EURO 5;184;8.77;6.30;10.60;82;8;5;Var;Var;Yok;Var;Otomatik Klima;Kumas;5;Elektronik;Elektronik;LED;Var;213;6068;1883;595;43;20;1405
Audi A8 3.0 TFSI 310 HP Quattro Tiptronic (4x4);Audi;A8;A8;Standart;2015;Almanya;Fosil Yakıt;Binek;Sedan;F;Icten Yanmali (Standart);Benzin;Turbo;6;2995;Cok Noktadan Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;26.654;nan;250;440;310;5.7;1905;1949;5135;1460;520;Koltuklar Katlanmıyor;5;235/60 R17;235;60%;17;4x4 Cekisli;Var;Otomatik;8 ileri;Tiptronik;EURO 5;183;8.72;6.30;10.50;82;8;5;Var;Var;Yok;Var;Otomatik Klima;Kumas;5;Elektronik;Elektronik;LED;Var;218;5875;1825;580;43;20;1365
Audi A8 L 4.0 TFSI 435 HP Quattro Tiptronic (4x4);Audi;A8 L;A8;Standart;2015, 2016;Almanya;Fosil Yakıt;Binek;Sedan;F;Icten Yanmali (Standart);Benzin;Cift Turbo;8;3993;Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;59.730;nan;250;600;435;4.6;2050;1949;5265;1471;490;520;5;235/60 R17;235;60%;17;4x4 Cekisli;Var;Otomatik;8 ileri;Tiptronik;EURO 6;215;10.43;7.30;12.80;82;8;5;Var;Var;Yok;Var;Otomatik Klima;Kumas;5;Elektronik;Elektronik;LED;Var;272;6068;1883;594;23;-21;1412
Audi A8 4.0 TFSI 435 HP Quattro Tiptronic (4x4);Audi;A8;A8;Standart;2015;Almanya;Fosil Yakıt;Binek;Sedan;F;Icten Yanmali (Standart);Benzin;Turbo;8;3993;Cok Noktadan Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;59.730;nan;250;600;435;4.5;1995;1949;5135;1460;520;Koltuklar Katlanmıyor;5;235/55 R18;235;55%;18;4x4 Cekisli;Var;Otomatik;8 ileri;Tiptronik;EURO 5;213;10.23;7.10;12.60;82;8;5;Var;Var;Yok;Var;Otomatik Klima;Kumas;5;Elektronik;Elektronik;LED;Var;274;5875;1825;579;23;-21;1371
Audi A8 L 6.3 W12 FSI 500 HP Quattro Tiptronic (4x4);Audi;A8 L;A8;Standart;2015;Almanya;Fosil Yakıt;Binek;Sedan;F;Icten Yanmali (Standart);Benzin;Cift Turbo;12;6299;Cok Noktadan Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;85.377;nan;250;625;500;4.6;2150;1949;5265;1471;520;Koltuklar Katlanmıyor;5;255/45 R19;255;45%;19;4x4 Cekisli;Var;Otomatik;8 ileri;Tiptronik;EURO 5;264;12.67;8.70;15.70;82;8;5;Var;Var;Var;Var;Otomatik Klima;Deri;5;Elektronik;Elektronik;LED;Var;289;6068;1899;593;5;-56;1408
BMW 520i 1.6 170 BG Otomatik;BMW;520I;5 Serisi;Turkiye Paketi;2015, 2016;Almanya;Fosil Yakıt;Binek;Sedan;E;Icten Yanmali (Standart);Benzin;Turbo;4;1592;Cok Noktadan Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;3.661;nan;226;250;170;8.7;1690;1860;4907;1464;520;Koltuklar Katlanmıyor;5;225/55 R17;225;55%;17;Arkadan Itisli;Var;Otomatik;8 ileri;Steptronic;EURO 6;156;7.36;5.50;8.70;70;8;5;Var;Var;Var;Var;Otomatik Klima;Kumas;5;Manuel;Manuel;LED;Var;132;5375;1674;542;63;67;1243
BMW 520i 170 BG Otomatik;BMW;520I;5 Serisi;Turkiye Paketi;2014;Almanya;Fosil Yakıt;Binek;Sedan;E;Icten Yanmali (Standart);Benzin;Turbo;4;1592;Cok Noktadan Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;3.661;nan;226;250;170;8.7;1690;1860;4907;1464;520;Koltuklar Katlanmıyor;5;225/55 R17;225;55%;17;Arkadan Itisli;Var;Otomatik;8 ileri;Steptronic;EURO 5;156;7.36;5.50;8.70;70;8;5;Yok;Var;Var;Var;Otomatik Klima;Kumas;5;Manuel;Manuel;LED;Var;132;5375;1674;542;63;67;1243
Fiat Egea 1.4 Fire 95 HP Easy;Fiat;Egea;Egea;Easy;2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023;Italya;Fosil Yakıt;Binek;Sedan;C;Icten Yanmali (Standart);Benzin;Atmosferik;4;1368;Cok Noktadan Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;6.314;nan;185;127;95;11.5;1150;1792;4532;1497;520;Koltuklar Katlanmıyor;5;205/55 R16;205;55%;16;Onden Cekisli;Var;Manuel;6 ileri;Manuel;EURO 6.2;133;6.38;4.60;7.70;45;6;3;Yok;Var;Yok / Opsiyonel;Yok;Manuel Klima;Kumas;5;Manuel;Manuel;Halojen;Yok;68;4893;1515;469;71;89;1118
Fiat Egea 1.4 Fire 95 HP Mirror;Fiat;Egea;Egea;Mirror;2018, 2019, 2020;Italya;Fosil Yakıt;Binek;Sedan;C;Icten Yanmali (Standart);Benzin;Atmosferik;4;1368;Cok Noktadan Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;6.314;nan;185;127;95;11.5;1150;1792;4532;1497;520;Koltuklar Katlanmıyor;5;225/45 R17;225;45%;17;Onden Cekisli;Var;Manuel;6 ileri;Manuel;EURO 6.2;133;6.38;4.60;7.70;45;6;3;Yok;Var;Var;Yok;Manuel Klima;Kumas;5;Manuel;Manuel;Halojen;Var;68;4893;1517;469;71;89;1118
Fiat Egea 1.4 Fire 95 HP Urban Plus;Fiat;Egea;Egea;Urban Plus;2019, 2020;Italya;Fosil Yakıt;Binek;Sedan;C;Icten Yanmali (Standart);Benzin;Atmosferik;4;1368;Cok Noktadan Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;6.314;nan;185;127;95;11.5;1150;1792;4532;1497;520;Koltuklar Katlanmıyor;5;225/45 R17;225;45%;17;Onden Cekisli;Var;Manuel;6 ileri;Manuel;EURO 6.2;133;6.38;4.60;7.70;45;6;3;Yok;Var;Var;Yok;Manuel Klima;Kumas;5;Manuel;Manuel;Halojen;Var;68;4893;1517;469;71;89;1118
Fiat Egea 1.4 Fire 95 HP Urban;Fiat;Egea;Egea;Urban;2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023;Italya;Fosil Yakıt;Binek;Sedan;C;Icten Yanmali (Standart);Benzin;Atmosferik;4;1368;Cok Noktadan Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;3.661;nan;185;127;95;11.5;1150;1792;4532;1497;520;Koltuklar Katlanmıyor;5;205/55 R16;205;55%;16;Onden Cekisli;Var;Manuel;6 ileri;Manuel;EURO 6;133;6.38;4.60;7.70;45;6;3;Yok;Var;Var;Yok;Otomatik Klima;Kumas;5;Manuel;Manuel;Halojen;Var;68;4893;1527;469;72;89;1118
Fiat Egea 1.4 Fire 95 HP Lounge;Fiat;Egea;Egea;Lounge;2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023;Italya;Fosil Yakıt;Binek;Sedan;C;Icten Yanmali (Standart);Benzin;Atmosferik;4;1368;Cok Noktadan Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;3.661;nan;185;127;95;11.5;1150;1792;4532;1497;520;Koltuklar Katlanmıyor;5;225/45 R17;225;45%;17;Onden Cekisli;Var;Manuel;6 ileri;Manuel;EURO 6;133;6.38;4.60;7.70;45;6;3;Var;Var;Var;Var;Otomatik Klima;Kumas;5;Manuel;Manuel;Halojen;Var;68;4893;1529;469;72;89;1118
Fiat Egea 1.4 Fire 95 HP Easy Plus;Fiat;Egea;Egea;Easy Plus;2023;Italya;Fosil Yakıt;Binek;Sedan;C;Icten Yanmali (Standart);Benzin;Atmosferik;4;1368;Cok Noktadan Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;8.421;nan;186;127;95;11.8;1150;1792;4532;1497;520;Koltuklar Katlanmıyor;5;205/55 R16;205;55%;16;Onden Cekisli;Var;Manuel;6 ileri;Manuel;EURO 6.2;150;7.24;6.00;8.00;50;6;3;Yok;Var;Yok / Opsiyonel;Yok;Manuel Klima;Kumas;5;Manuel;Manuel;Halojen;Yok;67;4893;1515;469;69;89;1117
Citroen C3 Aircross 1.2 PureTech 130 HP EAT6 Feel;Citroen;C3 Aircross;C3 Aircross;Feel;2022, 2023;Fransa;Fosil Yakıt;SUV;SUV;B;Icten Yanmali (Standart);Benzin;Turbo;3;1199;Cok Noktadan Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;4.834;nan;195;230;130;9.2;1280;1765;4155;1648;410;520;5;215/60 R17;215;60%;17;Onden Cekisli;Var;Otomatik;6 ileri;EAT6;EURO 6.2;114;5.38;4.50;5.90;45;6;5;Var;Var;Yok;Var;Otomatik Klima;Kumas;5;Elektronik;Elektronik;Halojen;Var;106;4864;1519;489;71;81;1126
Citroen C3 Aircross 1.2 PureTech 130 HP EAT6 Feel Bold;Citroen;C3 Aircross;C3 Aircross;Feel Bold;2021, 2022, 2023;Fransa;Fosil Yakıt;SUV;SUV;B;Icten Yanmali (Standart);Benzin;Turbo;3;1199;Cok Noktadan Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;4.834;nan;195;230;130;9.2;1280;1765;4155;1648;410;520;5;215/60 R17;215;60%;17;Onden Cekisli;Var;Otomatik;6 ileri;EAT6;EURO 6.2;114;5.38;4.50;5.90;45;6;5;Var;Var;Yok / Opsiyonel;Var;Otomatik Klima;Kumaş;5;Elektronik;Elektronik;LED;Var;106;4864;1519;489;71;81;1126
Citroen C3 Aircross 1.2 PureTech 130 HP EAT6 Shine;Citroen;C3 Aircross;C3 Aircross;Shine;2021, 2022, 2023;Fransa;Fosil Yakıt;SUV;SUV;B;Icten Yanmali (Standart);Benzin;Turbo;3;1199;Cok Noktadan Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;4.834;nan;195;230;130;9.2;1280;1765;4155;1648;410;520;5;215/50 R17;215;50%;17;Onden Cekisli;Var;Otomatik;6 ileri;EAT6;EURO 6.2;114;5.38;4.50;5.90;45;6;5;Var;Var;Var;Var;Otomatik Klima;Kumaş;5;Elektronik;Elektronik;Halojen;Var;106;4864;1519;489;71;81;1126
Citroen C3 Aircross 1.2 PureTech 130 HP EAT6 Shine (Cift Renk);Citroen;C3 Aircross;C3 Aircross;Shine (Cift Renk);2023;Fransa;Fosil Yakıt;SUV;SUV;B;Icten Yanmali (Standart);Benzin;Turbo;3;1199;Cok Noktadan Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;4.834;nan;195;230;130;9.2;1280;1765;4155;1648;410;520;5;215/50 R17;215;50%;17;Onden Cekisli;Var;Otomatik;6 ileri;EAT6;EURO 6.2;114;5.38;4.50;5.90;45;6;5;Var;Var;Var;Var;Otomatik Klima;Kumaş;5;Elektronik;Elektronik;LED;Var;106;4864;1519;489;71;81;1126
Toyota Camry Hibrit 2.5 218 HP e-CVT Passion;Toyota;Camry;Camry;Passion;2019;Japonya;Fosil Yakıt;Binek;Sedan;D;HEV (Benzinli & Elektrikli);Benzin & Elektrik;Elektrik;4;Elektrik;Elektrik;nan;nan;nan;nan;nan;nan;nan;6.664;nan;180;423;218;8.3;1670;1840;4885;1445;524;Koltuklar Katlanmıyor;5;235/45 R18;235;45%;18;Onden Cekisli;Var;Otomatik;Kademesiz;e-CVT;EURO 6;98;4.64;4.20;4.80;50;7;5;Var;Var;Var;Var;Otomatik Klima;Deri;5;Elektronik;Elektronik;LED;Var;140;5225;1644;522;67;64;1211
