AĞIRLIK & ÖLÇÜLER - Ağırlık,AĞIRLIK & ÖLÇÜLER - Dönüş Çapı,AĞIRLIK & ÖLÇÜLER - Genişlik,AĞIRLIK & ÖLÇÜLER - Uzunluk,AĞIRLIK & ÖLÇÜLER - Yükseklik,BAGAJ ÖZELLİKLERİ - Bagaj Diğer Özellikler,BAGAJ ÖZELLİKLERİ - Bagaj Hacmi (2 Koltuk),BAGAJ ÖZELLİKLERİ - Bagaj Hacmi (5 Koltuk),BAGAJ ÖZELLİKLERİ - Bagaj Hacmi (7 Koltuk),Başlık,DIŞ GÖVDE - Şasi Tipi,DOKÜMAN - Test Sürüşü Talep Sayfası,DOKÜMAN - Ürün Kataloğu,GARANTİ & YOL YARDIM - Garanti,GARANTİ & YOL YARDIM - Yol Yardım Bilgileri,GARANTİ & YOL YARDIM - Yol Yardım Hizmeti,MOTOR (Elektrikli) - Azami Tork,MOTOR (Elektrikli) - Batarya Garantisi,MOTOR (Elektrikli) - Batarya Kapasitesi,MOTOR (Elektrikli) - Batarya Tipi,MOTOR (Elektrikli) - Diğer Özellikler,MOTOR (Elektrikli) - Menzil,MOTOR (Elektrikli) - Menzil (WLTP-Birleşik),MOTOR (Elektrikli) - Menzil (WLTP-Şehir İçi),MOTOR (Elektrikli) - Motor Gücü,MOTOR (Elektrikli) - Ortalama Tüketim (Elk.),MOTOR (Elektrikli) - Şarj Süresi,MOTOR (İçten Yanmalı) - Besleme Tipi,MOTOR (İçten Yanmalı) - Diğer Motor Özellikleri,MOTOR (İçten Yanmalı) - Silindir Adedi,MOTOR (İçten Yanmalı) - Silindir Hacmi,MOTOR (İçten Yanmalı) - Yakıt Püskürtme,PERFORMANS - 0-100 Km Hızlanma,PERFORMANS - Azami Hız,PERFORMANS - Azami Tork (Toplam),PERFORMANS - Beygir Gücü (Toplam),TEMEL ÖZELLİKLER - Ait Olduğu Ülke,TEMEL ÖZELLİKLER - Alt Seri,TEMEL ÖZELLİKLER - Araç Türü,TEMEL ÖZELLİKLER - Donanım Paketi,TEMEL ÖZELLİKLER - Engelli Bireyler İçin ÖTV Muafiyeti,TEMEL ÖZELLİKLER - Gövde Tipi,TEMEL ÖZELLİKLER - Model Yılı,TEMEL ÖZELLİKLER - Motor Tipi,TEMEL ÖZELLİKLER - Motorlu Taşıt Vergisi,TEMEL ÖZELLİKLER - Segment,TEMEL ÖZELLİKLER - Seri,TEMEL ÖZELLİKLER - Yakıt Tipi,URL,YAKIT TÜKETİMİ & EMİSYON - LPG,YAKIT TÜKETİMİ & EMİSYON - LPG CO2 Salınımı,YAKIT TÜKETİMİ & EMİSYON - LPG Kapasitesi,YAKIT TÜKETİMİ & EMİSYON - LPG OrtalamaTüketim (100 km),YAKIT TÜKETİMİ & EMİSYON - LPG Şehir Dışı Tüketim (100 km),YAKIT TÜKETİMİ & EMİSYON - LPG Şehir İçi Tüketim (100 km),YAKIT TÜKETİMİ & EMİSYON - Ortalama Emisyon,YAKIT TÜKETİMİ & EMİSYON - Ortalama Emisyon (WLTP),YAKIT TÜKETİMİ & EMİSYON - Ortalama Y.Tüketimi (100 km),YAKIT TÜKETİMİ & EMİSYON - Ortalama Y.Tüketimi (100 km/WLTP),YAKIT TÜKETİMİ & EMİSYON - Yakıt Kapasitesi,YAKIT TÜKETİMİ & EMİSYON - Çevre Standardı (Emisyon),YAKIT TÜKETİMİ & EMİSYON - Şehir Dışı Tüketim (100 km),YAKIT TÜKETİMİ & EMİSYON - Şehir İçi Tüketim (100 km),YOLCU EMNİYETİ - NCAP/ANCAP Puanı,YOLCU EMNİYETİ - NCAP/ANCAP Web Sayfası,YOLCU EMNİYETİ - NCAP/ANCAP Yılı,YOLCU EMNİYETİ - Çarpışma Testi (NCAP/ANCAP),YÜK ALANI - Azami Hacim,YÜK ALANI - Azami Yük (İstiap Haddi),YÜK ALANI - Azami Yüklü Ağırlık,YÜK ALANI - Azami İç Genişlik,YÜK ALANI - Azami İç Yükseklik,YÜK ALANI - Davlumbaz Aralığı,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekiş,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekiş Kontrol Sistemi,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekiş Kontrol Özellikleri,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekme Kapasitesi (Frenli),ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekme Kapasitesi (Frensiz),ŞANZIMAN & ÇEKİŞ SİSTEMİ - Şanzıman Kademesi,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Şanzıman Türü,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Şanzıman Özellikleri
1375 kg,,1802 mm,4677 mm,1407 mm,,,512 lt,,2023 Honda Civic 1.5 VTEC Turbo ECO 129 PS Otomatik Premium,,2023 Honda Civic 1.5 VTEC Turbo ECO 129 PS Otomatik Premium Test Sürüşü Talep Sayfası,2023 Honda Civic 1.5 VTEC Turbo ECO 129 PS Otomatik Premium Ürün Kataloğu,,,,,,,,,,,,,,,Turbo,,4,1498 cc,PGM-FI (Direkt Enjeksiyon),10.5 saniye,200 km/s,180 nm,129 BG,Japonya,,Binek,Premium,,Sedan,2023,İçten Yanmalı (Standart),4434 tl/yıl,C,Civic,Benzin & LPG,https://www.epey.com/araba/2023-honda-civic-1-5-vtec-turbo-eco-129-ps-otomatik-premium.html,Var,,,,,,148 g/km,,6.5 lt,,47 lt,,,,5 yıldız,2023 Honda Civic 1.5 VTEC Turbo ECO 129 PS Otomatik Premium NCAP/ANCAP Web Sayfası,2022,Var,,,,,,,Önden Çekişli,,,,,,Otomatik,CVT
1669 kg,,1855 mm,4600 mm,1681 mm,,,561 lt,,2023 Honda CR-V 1.5 VTEC 193 BG Otomatik Elegance (4x4),,2023 Honda CR-V 1.5 VTEC 193 BG Otomatik Elegance (4x4) Test Sürüşü Talep Sayfası,2023 Honda CR-V 1.5 VTEC 193 BG Otomatik Elegance (4x4) Ürün Kataloğu,,,,,,,,,,,,,,,Turbo,,4,1498 cc,PGM-FI (Direkt Enjeksiyon),10.0 saniye,200 km/s,243 nm,193 BG,Japonya,,Binek,Elegance,,SUV,2023,İçten Yanmalı (Standart),4434 tl/yıl,C,CR-V,Benzin,https://www.epey.com/araba/2023-honda-cr-v-1-5-vtec-193-bg-otomatik-elegance-4x4.html,,,,,,,162 g/km,,7.1 lt,,57 lt,,6.2 lt,8.6 lt,5 yıldız,2023 Honda CR-V 1.5 VTEC 193 BG Otomatik Elegance (4x4) NCAP/ANCAP Web Sayfası,2019,Var,,,,,,,4x4 Çekişli,,,,,,Otomatik,CVT (Değişken Oranlı)
1669 kg,,1855 mm,4600 mm,1681 mm,,,561 lt,,2023 Honda CR-V 1.5 VTEC 193 BG Otomatik Executive (4x4),,2023 Honda CR-V 1.5 VTEC 193 BG Otomatik Executive (4x4) Test Sürüşü Talep Sayfası,2023 Honda CR-V 1.5 VTEC 193 BG Otomatik Executive (4x4) Ürün Kataloğu,,,,,,,,,,,,,,,Turbo,,4,1498 cc,PGM-FI (Direkt Enjeksiyon),10.0 saniye,200 km/s,243 nm,193 BG,Japonya,,Binek,Executive,,SUV,2023,İçten Yanmalı (Standart),4434 tl/yıl,C,CR-V,Benzin,https://www.epey.com/araba/2023-honda-cr-v-1-5-vtec-193-bg-otomatik-executive-4x4.html,,,,,,,162 g/km,,7.1 lt,,57 lt,,6.2 lt,8.6 lt,5 yıldız,2023 Honda CR-V 1.5 VTEC 193 BG Otomatik Executive (4x4) NCAP/ANCAP Web Sayfası,2019,Var,,,,,,,4x4 Çekişli,,,,,,Otomatik,CVT (Değişken Oranlı)
1669 kg,,1855 mm,4600 mm,1681 mm,,,561 lt,,2023 Honda CR-V 1.5 VTEC 193 BG Otomatik Executive+ (4x4),,2023 Honda CR-V 1.5 VTEC 193 BG Otomatik Executive+ (4x4) Test Sürüşü Talep Sayfası,2023 Honda CR-V 1.5 VTEC 193 BG Otomatik Executive+ (4x4) Ürün Kataloğu,,,,,,,,,,,,,,,Turbo,,4,1498 cc,PGM-FI (Direkt Enjeksiyon),10.0 saniye,200 km/s,243 nm,193 BG,Japonya,,Binek,Executive+,,SUV,2023,İçten Yanmalı (Standart),4434 tl/yıl,C,CR-V,Benzin,https://www.epey.com/araba/2023-honda-cr-v-1-5-vtec-193-bg-otomatik-executive-plus-4x4.html,,,,,,,162 g/km,,7.1 lt,,57 lt,,6.2 lt,8.6 lt,5 yıldız,2023 Honda CR-V 1.5 VTEC 193 BG Otomatik Executive+ (4x4) NCAP/ANCAP Web Sayfası,2019,Var,,,,,,,4x4 Çekişli,,,,,,Otomatik,CVT (Değişken Oranlı)
1743 kg,,1855 mm,4600 mm,1681 mm,,,497 lt,,2023 Honda CR-V 2.0 i-MMD Hybrid 184 PS E-CVT Executive+ (4x4),,2023 Honda CR-V 2.0 i-MMD Hybrid 184 PS E-CVT Executive+ (4x4) Test Sürüşü Talep Sayfası,2023 Honda CR-V 2.0 i-MMD Hybrid 184 PS E-CVT Executive+ (4x4) Ürün Kataloğu,"Periyodik Bakım Şartı
Satarken Garantiyi Devredebilme
6 Yıl / 150 Bin Km Mekanik","Garanti Süresi Boyunca Ücretsiz
Honda Aktif Acil Yol Yardım 0212 234 6632",Var,,,1.3 kW/sa,Lityum İyon,,,,,,,,Atmosferik,,4,1993 cc,PGM-FI (Direkt Enjeksiyon),9.2 saniye,180 km/s,315 nm,184 BG,Japonya,,Binek,Executive+,,SUV,2023,HEV (Benzinli & Elektrikli),12340 tl/yıl,C,CR-V,Benzin & Elektrik,https://www.epey.com/araba/2023-honda-cr-v-2-0-i-mmd-hybrid-184-ps-e-cvt-executive-plus-4x4.html,,,,,,,126 g/km,,5.5 lt,,57 lt,,5.1 lt,5.7 lt,5 yıldız,2023 Honda CR-V 2.0 i-MMD Hybrid 184 PS E-CVT Executive+ (4x4) NCAP/ANCAP Web Sayfası,2019,Var,,,,,,,4x4 Çekişli,,,,,,Otomatik,E-CVT (Elektronik Sabit Hızlı)
1327 kg,,1725 mm,4090 mm,1556 mm,,,298 lt,,2023 Honda Jazz 1.5 i-MMD Hybrid 98 PS Otomatik Crosstar Executive,,,2023 Honda Jazz 1.5 i-MMD Hybrid 98 PS Otomatik Crosstar Executive Ürün Kataloğu,,,,253 nm,,,,,,,,,,,Atmosferik,,4,1498 cc,PGM-FI (Direkt Enjeksiyon),9.9 saniye,175 km/s,131 nm,98 BG,Japonya,,Binek,Crosstar Executive,,Hatchback,2023,HEV (Benzinli & Elektrikli),4434 tl/yıl,B,Jazz,Benzin & Elektrik,https://www.epey.com/araba/2023-honda-jazz-1-5-i-mmd-hybrid-98-ps-otomatik-crosstar-executive.html,,,,,,,88 g/km,,3.8 lt,,40 lt,,4.5 lt,2.7 lt,5 yıldız,2023 Honda Jazz 1.5 i-MMD Hybrid 98 PS Otomatik Crosstar Executive NCAP/ANCAP Web Sayfası,2020,Var,,,,,,,Önden Çekişli,,,,,,Otomatik,E-CVT (Elektronik Sabit Hızlı)
1300 kg,,1694 mm,4044 mm,1526 mm,,,304 lt,,2023 Honda Jazz 1.5 i-MMD Hybrid 98 PS Otomatik Executive,,,2023 Honda Jazz 1.5 i-MMD Hybrid 98 PS Otomatik Executive Ürün Kataloğu,,,,253 nm,,,,,,,,,,,Atmosferik,,4,1498 cc,PGM-FI (Direkt Enjeksiyon),9.5 saniye,175 km/s,131 nm,98 BG,Japonya,,Binek,Executive,,Hatchback,2023,HEV (Benzinli & Elektrikli),4434 tl/yıl,B,Jazz,Benzin & Elektrik,https://www.epey.com/araba/2023-honda-jazz-1-5-i-mmd-hybrid-98-ps-otomatik-executive.html,,,,,,,84 g/km,,3.7 lt,,40 lt,,4.3 lt,2.5 lt,5 yıldız,2023 Honda Jazz 1.5 i-MMD Hybrid 98 PS Otomatik Executive NCAP/ANCAP Web Sayfası,2020,Var,,,,,,,Önden Çekişli,,,,,,Otomatik,E-CVT (Elektronik Sabit Hızlı)
1275 kg,,1775 mm,4040 mm,1450 mm,,1165 lt,352 lt,,2023 Hyundai i20 1.0 T-GDI 100 PS DCT Style,,2023 Hyundai i20 1.0 T-GDI 100 PS DCT Style Test Sürüşü Talep Sayfası,2023 Hyundai i20 1.0 T-GDI 100 PS DCT Style Ürün Kataloğu,,,,,,,,,,,,,,,Turbo,,3,998 cc,Direkt Enjeksiyon,11.4 saniye,185 km/s,172 nm,100 BG,Güney Kore,,Binek,Style,Var,Hatchback,2023,İçten Yanmalı (Standart),2545 tl/yıl,B,i20,Benzin,https://www.epey.com/araba/2023-hyundai-i20-1-0-t-gdi-100-ps-dct-style.html,,,,,,,139 g/km,,6.1 lt,,40 lt,Euro 6d,6.3 lt,8.2 lt,4 yıldız,2023 Hyundai i20 1.0 T-GDI 100 PS DCT Style NCAP/ANCAP Web Sayfası,2015,Var,,,,,,,Önden Çekişli,,,,,7 ileri,Otomatik,DCT (Yarı Otm.)
1100 kg,,1775 mm,4040 mm,1450 mm,,1165 lt,352 lt,,2023 Hyundai i20 1.4 MPI 100 PS Jump,,2023 Hyundai i20 1.4 MPI 100 PS Jump Test Sürüşü Talep Sayfası,2023 Hyundai i20 1.4 MPI 100 PS Jump Ürün Kataloğu,,,,,,,,,,,,,,,Atmosferik,,4,1368 cc,Çok Noktadan Enjeksiyon,12.2 saniye,176 km/s,134 nm,100 BG,Güney Kore,,Binek,Jump,Var,Hatchback,2023,İçten Yanmalı (Standart),4434 tl/yıl,B,i20,Benzin,https://www.epey.com/araba/2023-hyundai-i20-1-4-mpi-100-ps-jump.html,,,,,,,148 g/km,,6.5 lt,,40 lt,Euro 6d,6.7 lt,8.5 lt,4 yıldız,2023 Hyundai i20 1.4 MPI 100 PS Jump NCAP/ANCAP Web Sayfası,2015,Var,,,,,,,Önden Çekişli,,,,,6 ileri,Manuel,
1240 kg,,1775 mm,4040 mm,1450 mm,,1165 lt,352 lt,,2023 Hyundai i20 1.4 MPI 100 PS Otomatik Elite,,2023 Hyundai i20 1.4 MPI 100 PS Otomatik Elite Test Sürüşü Talep Sayfası,2023 Hyundai i20 1.4 MPI 100 PS Otomatik Elite Ürün Kataloğu,,,,,,,,,,,,,,,Atmosferik,,4,1368 cc,Çok Noktadan Enjeksiyon,12.9 saniye,176 km/s,134 nm,100 BG,Güney Kore,,Binek,Elite,Var,Hatchback,2023,İçten Yanmalı (Standart),4434 tl/yıl,B,i20,Benzin,https://www.epey.com/araba/2023-hyundai-i20-1-4-mpi-100-ps-otomatik-elite.html,,,,,,,140 g/km,,7.1 lt,,40 lt,Euro 6d,7.3 lt,9.7 lt,4 yıldız,2023 Hyundai i20 1.4 MPI 100 PS Otomatik Elite NCAP/ANCAP Web Sayfası,2015,Var,,,,,,,Önden Çekişli,,,,,6 ileri,Otomatik,
1240 kg,,1775 mm,4040 mm,1450 mm,,1165 lt,352 lt,,2023 Hyundai i20 1.4 MPI 100 PS Otomatik Jump,,2023 Hyundai i20 1.4 MPI 100 PS Otomatik Jump Test Sürüşü Talep Sayfası,2023 Hyundai i20 1.4 MPI 100 PS Otomatik Jump Ürün Kataloğu,,,,,,,,,,,,,,,Atmosferik,,4,1368 cc,Çok Noktadan Enjeksiyon,12.9 saniye,176 km/s,134 nm,100 BG,Güney Kore,,Binek,Jump,Var,Hatchback,2023,İçten Yanmalı (Standart),4434 tl/yıl,B,i20,Benzin,https://www.epey.com/araba/2023-hyundai-i20-1-4-mpi-100-ps-otomatik-jump.html,,,,,,,140 g/km,,7.1 lt,,40 lt,Euro 6d,7.3 lt,9.7 lt,4 yıldız,2023 Hyundai i20 1.4 MPI 100 PS Otomatik Jump NCAP/ANCAP Web Sayfası,2015,Var,,,,,,,Önden Çekişli,,,,,6 ileri,Otomatik,
1240 kg,,1775 mm,4040 mm,1450 mm,,1165 lt,352 lt,,2023 Hyundai i20 1.4 MPI 100 PS Otomatik Style Plus,,2023 Hyundai i20 1.4 MPI 100 PS Otomatik Style Plus Test Sürüşü Talep Sayfası,2023 Hyundai i20 1.4 MPI 100 PS Otomatik Style Plus Ürün Kataloğu,,,,,,,,,,,,,,,Atmosferik,,4,1368 cc,Çok Noktadan Enjeksiyon,12.9 saniye,176 km/s,134 nm,100 BG,Güney Kore,,Binek,Style Plus,Var,Hatchback,2023,İçten Yanmalı (Standart),4434 tl/yıl,B,i20,Benzin,https://www.epey.com/araba/2023-hyundai-i20-1-4-mpi-100-ps-otomatik-style-plus.html,,,,,,,140 g/km,,7.1 lt,,40 lt,Euro 6d,7.3 lt,9.7 lt,4 yıldız,2023 Hyundai i20 1.4 MPI 100 PS Otomatik Style Plus NCAP/ANCAP Web Sayfası,2015,Var,,,,,,,Önden Çekişli,,,,,6 ileri,Otomatik,
1240 kg,,1775 mm,4040 mm,1450 mm,,1165 lt,352 lt,,2023 Hyundai i20 1.4 MPI 100 PS Otomatik Style,,2023 Hyundai i20 1.4 MPI 100 PS Otomatik Style Test Sürüşü Talep Sayfası,,,,,,,,,,,,,,,,Atmosferik,,4,1368 cc,Çok Noktadan Enjeksiyon,12.9 saniye,176 km/s,134 nm,100 BG,Güney Kore,,Binek,Style,Var,Hatchback,2023,İçten Yanmalı (Standart),4434 tl/yıl,B,i20,Benzin,https://www.epey.com/araba/2023-hyundai-i20-1-4-mpi-100-ps-otomatik-style.html,,,,,,,140 g/km,,7.1 lt,,40 lt,Euro 6d,7.3 lt,9.7 lt,4 yıldız,2023 Hyundai i20 1.4 MPI 100 PS Otomatik Style NCAP/ANCAP Web Sayfası,2015,Var,,,,,,,Önden Çekişli,,,,,6 ileri,Otomatik,
1697 kg,,1865 mm,4500 mm,1650 mm,,1799 lt,620 lt,,2023 Hyundai Tucson 1.6 T-GDI 180 PS DCT Prime Plus (4X2),,2023 Hyundai Tucson 1.6 T-GDI 180 PS DCT Prime Plus (4X2) Test Sürüşü Talep Sayfası,2023 Hyundai Tucson 1.6 T-GDI 180 PS DCT Prime Plus (4X2) Ürün Kataloğu,,,,,,,,,,,,,,,Turbo,,4,1598 cc,Direkt Enjeksiyon,8.8 saniye,201 km/s,265 nm,180 BG,Güney Kore,,Binek,Prime Plus,,SUV,2023,İçten Yanmalı (Standart),4434 tl/yıl,C,Tucson,Benzin,https://www.epey.com/araba/2023-hyundai-tucson-1-6-t-gdi-180-ps-dct-prime-plus-4x2.html,,,,,,,167 g/km,,7.3 lt,,54 lt,Euro 6.2,,,5 yıldız,2023 Hyundai Tucson 1.6 T-GDI 180 PS DCT Prime Plus (4X2) NCAP/ANCAP Web Sayfası,2021,Var,,,,,,,Önden Çekişli,,,,,7 ileri,Otomatik,DCT (Yarı Otm.)
1830 kg,,1865 mm,4500 mm,1650 mm,,1795 lt,616 lt,,2023 Hyundai Tucson 1.6 T-GDI HEV 230 PS Otomatik Elite Plus (4X4),,2023 Hyundai Tucson 1.6 T-GDI HEV 230 PS Otomatik Elite Plus (4X4) Test Sürüşü Talep Sayfası,2023 Hyundai Tucson 1.6 T-GDI HEV 230 PS Otomatik Elite Plus (4X4) Ürün Kataloğu,,,,,,1.49 kW/sa,,,,,,,,,Turbo,,4,1598 cc,Direkt Enjeksiyon,8.3 saniye,193 km/s,350 nm,230 BG,Güney Kore,,Binek,Elite Plus,,SUV,2023,HEV (Benzinli & Elektrikli),4434 tl/yıl,C,Tucson,Benzin & Elektrik,https://www.epey.com/araba/2023-hyundai-tucson-1-6-t-gdi-hev-230-ps-otomatik-elite-plus-4x4.html,,,,,,,,149 g/km,,6.6 lt,52 lt,Euro 6d,,,5 yıldız,2023 Hyundai Tucson 1.6 T-GDI HEV 230 PS Otomatik Elite Plus (4X4) NCAP/ANCAP Web Sayfası,2021,Var,,,,,,,4x4 Çekişli,,,,,6 ileri,Otomatik,
1090 kg,,1725 mm,4065 mm,1450 mm,,1078 lt,300 lt,,2023 Kia Rio HB 1.4 100 PS Otomatik Cool,,,2023 Kia Rio HB 1.4 100 PS Otomatik Cool Ürün Kataloğu,,,,,,,,,,,,,,,,,4,1368 cc,,12.9 saniye,183 km/s,133.4 nm,100 BG,Güney Kore,,Binek,Cool,,Hatchback,2023,İçten Yanmalı (Standart),4434 tl/yıl,B,Rio,Benzin,https://www.epey.com/araba/2023-kia-rio-hb-1-4-100-ps-otomatik-cool.html,,,,,,,142 g/km,,6.2 lt,,45 lt,,5.0 lt,8.2 lt,3 yıldız,2023 Kia Rio HB 1.4 100 PS Otomatik Cool NCAP/ANCAP Web Sayfası,2017,Var,,,,,,,Önden Çekişli,,,,,6 ileri,Otomatik,
1090 kg,,1725 mm,4065 mm,1450 mm,,1078 lt,300 lt,,2023 Kia Rio HB 1.4 100 PS Otomatik Elegance Konfor,,,2023 Kia Rio HB 1.4 100 PS Otomatik Elegance Konfor Ürün Kataloğu,,,,,,,,,,,,,,,,,4,1368 cc,,12.9 saniye,183 km/s,133.4 nm,100 BG,Güney Kore,,Binek,Elegance Konfor,,Hatchback,2023,İçten Yanmalı (Standart),4434 tl/yıl,B,Rio,Benzin,https://www.epey.com/araba/2023-kia-rio-hb-1-4-100-ps-otomatik-elegance-konfor.html,,,,,,,142 g/km,,6.2 lt,,45 lt,,5.0 lt,8.2 lt,3 yıldız,2023 Kia Rio HB 1.4 100 PS Otomatik Elegance Konfor NCAP/ANCAP Web Sayfası,2017,Var,,,,,,,Önden Çekişli,,,,,6 ileri,Otomatik,
1662 kg,10.92 mt.,1865 mm,4515 mm,1645 mm,,1715 lt,526 lt,,2023 Kia Sportage 1.6 CRDI Mild Hybrid 136 HP DCT Cool (4x2),,2023 Kia Sportage 1.6 CRDI Mild Hybrid 136 HP DCT Cool (4x2) Test Sürüşü Talep Sayfası,2023 Kia Sportage 1.6 CRDI Mild Hybrid 136 HP DCT Cool (4x2) Ürün Kataloğu,,,,,,,,,,,,,,,Turbo,,4,1598 cc,Common Rail Direkt Enjeksiyon,11.4 saniye,180 km/s,320 nm,136 BG,Güney Kore,,Binek,Cool,,SUV,2023,MHEV (Yarı Hibrit Sistem),4434 tl/yıl,C,Sportage,Dizel & Elektrik,https://www.epey.com/araba/2023-kia-sportage-1-6-crdi-mild-hybrid-136-hp-dct-cool-4x2.html,,,,,,,117 g/km,,4.4 lt,,54 lt,,4.4 lt,4.6 lt,5 yıldız,2023 Kia Sportage 1.6 CRDI Mild Hybrid 136 HP DCT Cool (4x2) NCAP/ANCAP Web Sayfası,2015,Var,,,,,,,Önden Çekişli,,,,,7 ileri,Otomatik,DCT (Yarı Otm.)
1662 kg,10.92 mt.,1865 mm,4515 mm,1645 mm,,1715 lt,526 lt,,2023 Kia Sportage 1.6 CRDI Mild Hybrid 136 HP DCT Elegance Konfor (4x2),,2023 Kia Sportage 1.6 CRDI Mild Hybrid 136 HP DCT Elegance Konfor (4x2) Test Sürüşü Talep Sayfası,2023 Kia Sportage 1.6 CRDI Mild Hybrid 136 HP DCT Elegance Konfor (4x2) Ürün Kataloğu,,,,,,,,,,,,,,,Turbo,,4,1598 cc,Common Rail Direkt Enjeksiyon,11.4 saniye,180 km/s,320 nm,136 BG,Güney Kore,,Binek,Elegance Konfor,,SUV,2023,MHEV (Yarı Hibrit Sistem),4434 tl/yıl,C,Sportage,Dizel & Elektrik,https://www.epey.com/araba/2023-kia-sportage-1-6-crdi-mild-hybrid-136-hp-dct-elegance-konfor-4x2.html,,,,,,,117 g/km,,4.4 lt,,54 lt,,4.4 lt,4.6 lt,5 yıldız,2023 Kia Sportage 1.6 CRDI Mild Hybrid 136 HP DCT Elegance Konfor (4x2) NCAP/ANCAP Web Sayfası,2015,Var,,,,,,,Önden Çekişli,,,,,7 ileri,Otomatik,DCT (Yarı Otm.)
1662 kg,10.92 mt.,1865 mm,4515 mm,1645 mm,,1715 lt,526 lt,,2023 Kia Sportage 1.6 CRDI Mild Hybrid 136 HP DCT Prestige (4x2),,2023 Kia Sportage 1.6 CRDI Mild Hybrid 136 HP DCT Prestige (4x2) Test Sürüşü Talep Sayfası,2023 Kia Sportage 1.6 CRDI Mild Hybrid 136 HP DCT Prestige (4x2) Ürün Kataloğu,,,,,,,,,,,,,,,Turbo,,4,1598 cc,Common Rail Direkt Enjeksiyon,11.4 saniye,180 km/s,320 nm,136 BG,Güney Kore,,Binek,Prestige,,SUV,2023,MHEV (Yarı Hibrit Sistem),4434 tl/yıl,C,Sportage,Dizel & Elektrik,https://www.epey.com/araba/2023-kia-sportage-1-6-crdi-mild-hybrid-136-hp-dct-prestige-4x2.html,,,,,,,117 g/km,,4.4 lt,,54 lt,,4.4 lt,4.6 lt,5 yıldız,2023 Kia Sportage 1.6 CRDI Mild Hybrid 136 HP DCT Prestige (4x2) NCAP/ANCAP Web Sayfası,2015,Var,,,,,,,Önden Çekişli,,,,,7 ileri,Otomatik,DCT (Yarı Otm.)
1653 kg,10.92 mt.,1865 mm,4515 mm,1645 mm,,1751 lt,562 lt,,2023 Kia Sportage 1.6 TGDI Mild Hybrid 150 HP DCT Cool (4x2),,2023 Kia Sportage 1.6 TGDI Mild Hybrid 150 HP DCT Cool (4x2) Test Sürüşü Talep Sayfası,2023 Kia Sportage 1.6 TGDI Mild Hybrid 150 HP DCT Cool (4x2) Ürün Kataloğu,,,,,,,,,,,,,,,Turbo,,4,1598 cc,GDI (Doğrudan Enjeksiyon),9.6 saniye,189 km/s,250 nm,150 BG,Güney Kore,,Binek,Cool,,SUV,2023,MHEV (Yarı Hibrit Sistem),4434 tl/yıl,C,Sportage,Benzin & Elektrik,https://www.epey.com/araba/2023-kia-sportage-1-6-tgdi-mild-hybrid-150-hp-dct-cool-4x2.html,,,,,,,130 g/km,,5.7 lt,,54 lt,,5.2 lt,6.6 lt,5 yıldız,2023 Kia Sportage 1.6 TGDI Mild Hybrid 150 HP DCT Cool (4x2) NCAP/ANCAP Web Sayfası,2015,,,,,,,,Önden Çekişli,,,,,7 ileri,Otomatik,DCT (Yarı Otm.)
1653 kg,10.92 mt.,1865 mm,4515 mm,1645 mm,,1751 lt,562 lt,,2023 Kia Sportage 1.6 TGDI Mild Hybrid 150 HP DCT Elegance Konfor (4x2),,2023 Kia Sportage 1.6 TGDI Mild Hybrid 150 HP DCT Elegance Konfor (4x2) Test Sürüşü Talep Sayfası,,,,,,,,,,,,,,,,Turbo,,4,1598 cc,GDI (Doğrudan Enjeksiyon),9.6 saniye,189 km/s,250 nm,150 BG,Güney Kore,,Binek,Elegance Konfor,,SUV,2023,MHEV (Yarı Hibrit Sistem),4434 tl/yıl,C,Sportage,Benzin & Elektrik,https://www.epey.com/araba/2023-kia-sportage-1-6-tgdi-mild-hybrid-150-hp-dct-elegance-konfor-4x2.html,,,,,,,130 g/km,,5.7 lt,,54 lt,,5.2 lt,6.6 lt,5 yıldız,2023 Kia Sportage 1.6 TGDI Mild Hybrid 150 HP DCT Elegance Konfor (4x2) NCAP/ANCAP Web Sayfası,2015,Var,,,,,,,Önden Çekişli,,,,,7 ileri,Otomatik,DCT (Yarı Otm.)
