AĞIRLIK & ÖLÇÜLER - Ağırlık,AĞIRLIK & ÖLÇÜLER - Dönüş Çapı,AĞIRLIK & ÖLÇÜLER - Genişlik,AĞIRLIK & ÖLÇÜLER - Uzunluk,AĞIRLIK & ÖLÇÜLER - Yükseklik,BAGAJ ÖZELLİKLERİ - Bagaj Hacmi (2 Koltuk),BAGAJ ÖZELLİKLERİ - Bagaj Hacmi (5 Koltuk),BAGAJ ÖZELLİKLERİ - Bagaj Hacmi (7 Koltuk),Başlık,DIŞ GÖVDE - Arka Kapı Tipi,DIŞ GÖVDE - Arka Tekerlek,DIŞ GÖVDE - Kapı Sayısı,DIŞ GÖVDE - Sürgülü Sağ Yan Kapı,DIŞ GÖVDE - Şasi Tipi,DOKÜMAN - Test Sürüşü Talep Sayfası,DOKÜMAN - Ürün Kataloğu,GARANTİ & YOL YARDIM - Garanti,GARANTİ & YOL YARDIM - Yol Yardım Bilgileri,GARANTİ & YOL YARDIM - Yol Yardım Hizmeti,MOTOR (Elektrikli) - Azami Tork,MOTOR (Elektrikli) - Batarya Kapasitesi,MOTOR (Elektrikli) - Batarya Tipi,MOTOR (Elektrikli) - Diğer Özellikler,MOTOR (Elektrikli) - Menzil (WLTP-Birleşik),MOTOR (İçten Yanmalı) - Besleme Tipi,MOTOR (İçten Yanmalı) - Diğer Motor Özellikleri,MOTOR (İçten Yanmalı) - Silindir Adedi,MOTOR (İçten Yanmalı) - Silindir Hacmi,MOTOR (İçten Yanmalı) - Yakıt Püskürtme,PERFORMANS - 0-100 Km Hızlanma,PERFORMANS - Azami Hız,PERFORMANS - Azami Tork (Toplam),PERFORMANS - Beygir Gücü (Toplam),TEMEL ÖZELLİKLER - Ait Olduğu Ülke,TEMEL ÖZELLİKLER - Alt Seri,TEMEL ÖZELLİKLER - Araç Türü,TEMEL ÖZELLİKLER - Donanım Paketi,TEMEL ÖZELLİKLER - Gövde Tipi,TEMEL ÖZELLİKLER - Model Yılı,TEMEL ÖZELLİKLER - Motor Tipi,TEMEL ÖZELLİKLER - Motorlu Taşıt Vergisi,TEMEL ÖZELLİKLER - Segment,TEMEL ÖZELLİKLER - Seri,TEMEL ÖZELLİKLER - Yakıt Tipi,URL,YAKIT TÜKETİMİ & EMİSYON - LPG,YAKIT TÜKETİMİ & EMİSYON - LPG CO2 Salınımı,YAKIT TÜKETİMİ & EMİSYON - LPG Kapasitesi,YAKIT TÜKETİMİ & EMİSYON - LPG OrtalamaTüketim (100 km),YAKIT TÜKETİMİ & EMİSYON - LPG Şehir Dışı Tüketim (100 km),YAKIT TÜKETİMİ & EMİSYON - LPG Şehir İçi Tüketim (100 km),YAKIT TÜKETİMİ & EMİSYON - Ortalama Emisyon,YAKIT TÜKETİMİ & EMİSYON - Ortalama Y.Tüketimi (100 km),YAKIT TÜKETİMİ & EMİSYON - Yakıt Kapasitesi,YAKIT TÜKETİMİ & EMİSYON - Çevre Standardı (Emisyon),YAKIT TÜKETİMİ & EMİSYON - Şehir Dışı Tüketim (100 km),YAKIT TÜKETİMİ & EMİSYON - Şehir İçi Tüketim (100 km),YOLCU EMNİYETİ - Anahtarsız Sistem,YOLCU EMNİYETİ - NCAP/ANCAP Puanı,YOLCU EMNİYETİ - NCAP/ANCAP Web Sayfası,YOLCU EMNİYETİ - NCAP/ANCAP Yılı,YOLCU EMNİYETİ - Çarpışma Testi (NCAP/ANCAP),YÜK ALANI - Azami Hacim,YÜK ALANI - Azami Yük (İstiap Haddi),YÜK ALANI - Azami Yüklü Ağırlık,YÜK ALANI - Azami İç Genişlik,YÜK ALANI - Azami İç Uzunluk,YÜK ALANI - Azami İç Yükseklik,YÜK ALANI - Davlumbaz Aralığı,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekiş,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekiş Kontrol Sistemi,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekiş Kontrol Özellikleri,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekme Kapasitesi (Frenli),ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekme Kapasitesi (Frensiz),ŞANZIMAN & ÇEKİŞ SİSTEMİ - Şanzıman Kademesi,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Şanzıman Türü,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Şanzıman Özellikleri
1353 kg,,1797 mm,4227 mm,1576 mm,1275 lt,422 lt,,2021 Renault Captur 1.3 TCe 140 BG EDC Joy (4x2),,,,,,2021 Renault Captur 1.3 TCe 140 BG EDC Joy (4x2) Test Sürüşü Talep Sayfası,2021 Renault Captur 1.3 TCe 140 BG EDC Joy (4x2) Ürün Kataloğu,,,,,,,,,Turbo,,4,1333 cc,Direkt Enjeksiyon,9.2 saniye,196 km/s,260 nm,140 BG,Fransa,,Binek,Joy,SUV,2021,İçten Yanmalı (Standart),2197 tl/yıl,B,Captur,Benzin,https://www.epey.com/araba/2021-renault-captur-1-3-tce-140-bg-edc-joy-4x2.html,,,,,,,122 g/km,5.4 lt,48 lt,Euro 6,4.7 lt,6.5 lt,,5 yıldız,2021 Renault Captur 1.3 TCe 140 BG EDC Joy (4x2) NCAP/ANCAP Web Sayfası,2019,Var,,,,,,,,Önden Çekişli,,,,,7 ileri,Otomatik,EDC (Çift Kavramalı Otm.)
1353 kg,,1797 mm,4227 mm,1576 mm,1275 lt,422 lt,,2021 Renault Captur 1.3 TCe 140 BG EDC Touch (4x2),,,,,,2021 Renault Captur 1.3 TCe 140 BG EDC Touch (4x2) Test Sürüşü Talep Sayfası,2021 Renault Captur 1.3 TCe 140 BG EDC Touch (4x2) Ürün Kataloğu,,,,,,,,,Turbo,,4,1333 cc,Direkt Enjeksiyon,9.2 saniye,196 km/s,260 nm,140 BG,Fransa,,Binek,Touch,SUV,2021,İçten Yanmalı (Standart),2197 tl/yıl,B,Captur,Benzin,https://www.epey.com/araba/2021-renault-captur-1-3-tce-140-bg-edc-touch-4x2.html,,,,,,,122 g/km,5.4 lt,48 lt,Euro 6,4.7 lt,6.5 lt,,5 yıldız,2021 Renault Captur 1.3 TCe 140 BG EDC Touch (4x2) NCAP/ANCAP Web Sayfası,2019,Var,,,,,,,,Önden Çekişli,,,,,7 ileri,Otomatik,EDC (Çift Kavramalı Otm.)
,,1798 mm,4050 mm,1440 mm,1069 lt,391 lt,,2021 Renault Clio 1.0 SCe 65 BG Joy,,,,,,2021 Renault Clio 1.0 SCe 65 BG Joy Test Sürüşü Talep Sayfası,2021 Renault Clio 1.0 SCe 65 BG Joy Ürün Kataloğu,,,,,,,,,Atmosferik,,3,999 cc,,,,,65 BG,Fransa,Hatchback,Binek,Joy,Hatchback,2021,İçten Yanmalı (Standart),1261 tl/yıl,B,Clio,Benzin,https://www.epey.com/araba/2021-renault-clio-1-0-sce-65-bg-joy.html,,,,,,,,,,,,,,5 yıldız,2021 Renault Clio 1.0 SCe 65 BG Joy NCAP/ANCAP Web Sayfası,2019,Var,,,,,,,,Önden Çekişli,,,,,5 ileri,Manuel,
,,1798 mm,4050 mm,1440 mm,1069 lt,391 lt,,2021 Renault Clio 1.0 TCe 90 BG Joy,,,,,,2021 Renault Clio 1.0 TCe 90 BG Joy Test Sürüşü Talep Sayfası,2021 Renault Clio 1.0 TCe 90 BG Joy Ürün Kataloğu,,,,,,,,,Turbo,,3,999 cc,Çok Noktadan Enjeksiyon,,,,90 BG,Fransa,Hatchback,Binek,Joy,Hatchback,2021,İçten Yanmalı (Standart),1261 tl/yıl,B,Clio,Benzin,https://www.epey.com/araba/2021-renault-clio-1-0-tce-90-bg-joy.html,,,,,,,,,,,,,,5 yıldız,2021 Renault Clio 1.0 TCe 90 BG Joy NCAP/ANCAP Web Sayfası,2019,Var,,,,,,,,Önden Çekişli,,,,,,Manuel,
,,1798 mm,4050 mm,1440 mm,1069 lt,391 lt,,2021 Renault Clio 1.0 TCe 90 BG Touch,,,,,,2021 Renault Clio 1.0 TCe 90 BG Touch Test Sürüşü Talep Sayfası,2021 Renault Clio 1.0 TCe 90 BG Touch Ürün Kataloğu,,,,,,,,,Turbo,,3,999 cc,Çok Noktadan Enjeksiyon,,,,90 BG,Fransa,Hatchback,Binek,Touch,Hatchback,2021,İçten Yanmalı (Standart),1261 tl/yıl,B,Clio,Benzin,https://www.epey.com/araba/2021-renault-clio-1-0-tce-90-bg-touch.html,,,,,,,,,,,,,,5 yıldız,2021 Renault Clio 1.0 TCe 90 BG Touch NCAP/ANCAP Web Sayfası,2019,Var,,,,,,,,Önden Çekişli,,,,,,Manuel,
1201 kg,,1798 mm,4050 mm,1440 mm,1069 lt,391 lt,,2021 Renault Clio 1.0 TCe 90 BG X-Tronic Icon,,,,,,2021 Renault Clio 1.0 TCe 90 BG X-Tronic Icon Test Sürüşü Talep Sayfası,2021 Renault Clio 1.0 TCe 90 BG X-Tronic Icon Ürün Kataloğu,,,,,,,,,Turbo,,3,999 cc,Çok Noktadan Enjeksiyon,11.5 saniye,182 km/s,,90 BG,Fransa,Hatchback,Binek,Icon,Hatchback,2021,İçten Yanmalı (Standart),1261 tl/yıl,B,Clio,Benzin,https://www.epey.com/araba/2021-renault-clio-1-0-tce-90-bg-x-tronic-icon.html,,,,,,,131 g/km,5.8 lt,,,,,,5 yıldız,2021 Renault Clio 1.0 TCe 90 BG X-Tronic Icon NCAP/ANCAP Web Sayfası,2019,Var,,,,,,,,Önden Çekişli,,,,,,Otomatik,X-Tronic (Değişken Oranlı)
1201 kg,,1798 mm,4050 mm,1440 mm,1069 lt,391 lt,,2021 Renault Clio 1.0 TCe 90 BG X-Tronic Joy,,,,,,2021 Renault Clio 1.0 TCe 90 BG X-Tronic Joy Test Sürüşü Talep Sayfası,2021 Renault Clio 1.0 TCe 90 BG X-Tronic Joy Ürün Kataloğu,,,,,,,,,Turbo,,3,999 cc,Çok Noktadan Enjeksiyon,11.5 saniye,182 km/s,,90 BG,Fransa,Hatchback,Binek,Joy,Hatchback,2021,İçten Yanmalı (Standart),1261 tl/yıl,B,Clio,Benzin,https://www.epey.com/araba/2021-renault-clio-1-0-tce-90-bg-x-tronic-joy.html,,,,,,,131 g/km,5.8 lt,,,,,,5 yıldız,2021 Renault Clio 1.0 TCe 90 BG X-Tronic Joy NCAP/ANCAP Web Sayfası,2019,Var,,,,,,,,Önden Çekişli,,,,,,Otomatik,X-Tronic (Değişken Oranlı)
1201 kg,,1798 mm,4050 mm,1440 mm,1069 lt,391 lt,,2021 Renault Clio 1.0 TCe 90 BG X-Tronic Touch,,,,,,2021 Renault Clio 1.0 TCe 90 BG X-Tronic Touch Test Sürüşü Talep Sayfası,2021 Renault Clio 1.0 TCe 90 BG X-Tronic Touch Ürün Kataloğu,,,,,,,,,Turbo,,3,999 cc,Çok Noktadan Enjeksiyon,11.5 saniye,182 km/s,,90 BG,Fransa,Hatchback,Binek,Touch,Hatchback,2021,İçten Yanmalı (Standart),1261 tl/yıl,B,Clio,Benzin,https://www.epey.com/araba/2021-renault-clio-1-0-tce-90-bg-x-tronic-touch.html,,,,,,,131 g/km,5.8 lt,,,,,,5 yıldız,2021 Renault Clio 1.0 TCe 90 BG X-Tronic Touch NCAP/ANCAP Web Sayfası,2019,Var,,,,,,,,Önden Çekişli,,,,,,Otomatik,X-Tronic (Değişken Oranlı)
1137 kg,,1798 mm,4050 mm,1440 mm,1069 lt,391 lt,,2021 Renault Clio 1.0 TCe ECO 100 BG Joy,,,,,,2021 Renault Clio 1.0 TCe ECO 100 BG Joy Test Sürüşü Talep Sayfası,2021 Renault Clio 1.0 TCe ECO 100 BG Joy Ürün Kataloğu,,,,,,,,,Turbo,,3,999 cc,Çok Noktadan Enjeksiyon,12.5 saniye,188 km/s,160 nm,100 BG,Fransa,Hatchback,Binek,Joy,Hatchback,2021,İçten Yanmalı (Standart),1261 tl/yıl,B,Clio,Benzin & LPG,https://www.epey.com/araba/2021-renault-clio-1-0-tce-eco-100-bg-joy.html,Var,100 g/km,32 lt,6.1 lt,5.3 lt,7.5 lt,110 g/km,4.8 lt,39 lt,Euro 6,4.0 lt,6.2 lt,,5 yıldız,2021 Renault Clio 1.0 TCe ECO 100 BG Joy NCAP/ANCAP Web Sayfası,2019,Var,,,,,,,,Önden Çekişli,,,,,5 ileri,Manuel,
1137 kg,,1798 mm,4050 mm,1440 mm,1069 lt,391 lt,,2021 Renault Clio 1.0 TCe ECO 100 BG Touch,,,,,,2021 Renault Clio 1.0 TCe ECO 100 BG Touch Test Sürüşü Talep Sayfası,2021 Renault Clio 1.0 TCe ECO 100 BG Touch Ürün Kataloğu,,,,,,,,,Turbo,,3,999 cc,Çok Noktadan Enjeksiyon,12.5 saniye,188 km/s,160 nm,100 BG,Fransa,Hatchback,Binek,Touch,Hatchback,2021,İçten Yanmalı (Standart),1261 tl/yıl,B,Clio,Benzin & LPG,https://www.epey.com/araba/2021-renault-clio-1-0-tce-eco-100-bg-touch.html,Var,100 g/km,32 lt,6.1 lt,5.3 lt,7.5 lt,110 g/km,4.8 lt,39 lt,Euro 6,4.0 lt,6.2 lt,,5 yıldız,2021 Renault Clio 1.0 TCe ECO 100 BG Touch NCAP/ANCAP Web Sayfası,2019,Var,,,,,,,,Önden Çekişli,,,,,5 ileri,Manuel,
,,1814 mm,4632 mm,1443 mm,987 lt,503 lt,,2021 Renault Megane Sedan 1.0 TCe 115 BG Joy,,,,,,2021 Renault Megane Sedan 1.0 TCe 115 BG Joy Test Sürüşü Talep Sayfası,2021 Renault Megane Sedan 1.0 TCe 115 BG Joy Ürün Kataloğu,"3 Yıl / 100 Bin Km Mekanik
3 Yıl Boya
12 Yıl Paslanmazlık",Renault Yardım 444 6247,Var,,,,,,Turbo,,3,999 cc,Direkt Enjeksiyon,,,,115 BG,Fransa,Sedan,Binek,Joy,Sedan,2021,İçten Yanmalı (Standart),2197 tl/yıl,C,Megane,Benzin,https://www.epey.com/araba/2021-renault-megane-sedan-1-0-tce-115-bg-joy.html,,,,,,,,,49.7 lt,,,,,5 yıldız,2021 Renault Megane Sedan 1.0 TCe 115 BG Joy NCAP/ANCAP Web Sayfası,2015,Var,,,,,,,,Önden Çekişli,,,,,6 ileri,Manuel,
1313 kg,,1814 mm,4632 mm,1443 mm,1367 lt,473 lt,,2021 Renault Megane Sedan 1.0 TCe 115 BG,,,,,,2021 Renault Megane Sedan 1.0 TCe 115 BG Test Sürüşü Talep Sayfası,2021 Renault Megane Sedan 1.0 TCe 115 BG Ürün Kataloğu,,,,,,,,,Turbo,,3,999 cc,Direkt Enjeksiyon,11.2 saniye,190 km/s,200 nm,115 BG,Fransa,Sedan,Binek,,Sedan,2021,İçten Yanmalı (Standart),1261 tl/yıl,C,Megane,Benzin,https://www.epey.com/araba/2021-renault-megane-sedan-1-0-tce-115-bg.html,,,,,,,,,50 lt,,,,,,,,Var,,,,,,,,Önden Çekişli,,,,,6 ileri,Manuel,
1382 kg,,1814 mm,4632 mm,1443 mm,987 lt,503 lt,,2021 Renault Megane Sedan 1.3 TCe 140 BG EDC Icon,,,,,,2021 Renault Megane Sedan 1.3 TCe 140 BG EDC Icon Test Sürüşü Talep Sayfası,2021 Renault Megane Sedan 1.3 TCe 140 BG EDC Icon Ürün Kataloğu,"3 Yıl / 100 Bin Km Mekanik
3 Yıl Boya
12 Yıl Paslanmazlık",Renault Yardım 444 6247,Var,,,,,,Turbo,,4,1332 cc,Direkt Enjeksiyon,9.0 saniye,205 km/s,240 nm,140 BG,Fransa,Sedan,Binek,Icon,Sedan,2021,İçten Yanmalı (Standart),2197 tl/yıl,C,Megane,Benzin,https://www.epey.com/araba/2021-renault-megane-sedan-1-3-tce-140-bg-edc-icon.html,,,,,,,130 g/km,5.7 lt,49.7 lt,Euro 6,5.1 lt,7.0 lt,,5 yıldız,2021 Renault Megane Sedan 1.3 TCe 140 BG EDC Icon NCAP/ANCAP Web Sayfası,2015,Var,,,,,,,,Önden Çekişli,,,,,7 ileri,Otomatik,EDC (Çift Kavramalı Otm.)
1382 kg,,1814 mm,4632 mm,1443 mm,987 lt,503 lt,,2021 Renault Megane Sedan 1.3 TCe 140 BG EDC Joy,,,,,,2021 Renault Megane Sedan 1.3 TCe 140 BG EDC Joy Test Sürüşü Talep Sayfası,2021 Renault Megane Sedan 1.3 TCe 140 BG EDC Joy Ürün Kataloğu,"3 Yıl / 100 Bin Km Mekanik
3 Yıl Boya
12 Yıl Paslanmazlık",Renault Yardım 444 6247,Var,,,,,,Turbo,,4,1332 cc,Direkt Enjeksiyon,9.0 saniye,205 km/s,240 nm,140 BG,Fransa,Sedan,Binek,Joy,Sedan,2021,İçten Yanmalı (Standart),2197 tl/yıl,C,Megane,Benzin,https://www.epey.com/araba/2021-renault-megane-sedan-1-3-tce-140-bg-edc-joy.html,,,,,,,130 g/km,5.7 lt,49.7 lt,Euro 6,5.1 lt,7.0 lt,,5 yıldız,2021 Renault Megane Sedan 1.3 TCe 140 BG EDC Joy NCAP/ANCAP Web Sayfası,2015,Var,,,,,,,,Önden Çekişli,,,,,7 ileri,Otomatik,EDC (Çift Kavramalı Otm.)
1381 kg,,1814 mm,4632 mm,1443 mm,1367 lt,473 lt,,2021 Renault Megane Sedan 1.3 TCe 140 BG EDC,,,,,,2021 Renault Megane Sedan 1.3 TCe 140 BG EDC Test Sürüşü Talep Sayfası,2021 Renault Megane Sedan 1.3 TCe 140 BG EDC Ürün Kataloğu,,,,,,,,,Turbo,,4,1332 cc,Direkt Enjeksiyon,9.8 saniye,205 km/s,240 nm,140 BG,Fransa,Sedan,Binek,,Sedan,2021,İçten Yanmalı (Standart),2197 tl/yıl,C,Megane,Benzin,https://www.epey.com/araba/2021-renault-megane-sedan-1-3-tce-140-bg-edc.html,,,,,,,121 g/km,5.3 lt,50 lt,,4.7 lt,6.4 lt,,,,,Var,,,,,,,,Önden Çekişli,,,,,7 ileri,Otomatik,EDC (Çift Kavramalı Otm.)
1355 kg,,1814 mm,4632 mm,1443 mm,987 lt,503 lt,,2021 Renault Megane Sedan 1.3 TCe 140 BG Joy,,,,,,2021 Renault Megane Sedan 1.3 TCe 140 BG Joy Test Sürüşü Talep Sayfası,2021 Renault Megane Sedan 1.3 TCe 140 BG Joy Ürün Kataloğu,"3 Yıl / 100 Bin Km Mekanik
3 Yıl Boya
12 Yıl Paslanmazlık",Renault Yardım 444 6247,Var,,,,,,Turbo,,4,1332 cc,Direkt Enjeksiyon,9.7 saniye,205 km/s,240 nm,140 BG,Fransa,Sedan,Binek,Joy,Sedan,2021,İçten Yanmalı (Standart),2197 tl/yıl,C,Megane,Benzin,https://www.epey.com/araba/2021-renault-megane-sedan-1-3-tce-140-bg-joy.html,,,,,,,126 g/km,5.5 lt,49.7 lt,Euro 6,4.8 lt,7.0 lt,,5 yıldız,2021 Renault Megane Sedan 1.3 TCe 140 BG Joy NCAP/ANCAP Web Sayfası,2015,Var,,,,,,,,Önden Çekişli,,,,,6 ileri,Manuel,
1353 kg,,1814 mm,4632 mm,1443 mm,1367 lt,473 lt,,2021 Renault Megane Sedan 1.3 TCe 140 BG,,,,,,2021 Renault Megane Sedan 1.3 TCe 140 BG Test Sürüşü Talep Sayfası,2021 Renault Megane Sedan 1.3 TCe 140 BG Ürün Kataloğu,,,,,,,,,Turbo,,4,1332 cc,Direkt Enjeksiyon,9.6 saniye,205 km/s,260 nm,140 BG,Fransa,Sedan,Binek,,Sedan,2021,İçten Yanmalı (Standart),2197 tl/yıl,C,Megane,Benzin,https://www.epey.com/araba/2021-renault-megane-sedan-1-3-tce-140-bg.html,,,,,,,129 g/km,5.7 lt,50 lt,Euro 6,5.0 lt,7.4 lt,,,,,Var,,,,,,,,Önden Çekişli,,,,,6 ileri,Manuel,
1478 kg,,1814 mm,4632 mm,1443 mm,987 lt,503 lt,,2021 Renault Megane Sedan 1.5 Blue dCi 115 BG EDC Icon,,,,,,2021 Renault Megane Sedan 1.5 Blue dCi 115 BG EDC Icon Test Sürüşü Talep Sayfası,2021 Renault Megane Sedan 1.5 Blue dCi 115 BG EDC Icon Ürün Kataloğu,"3 Yıl / 100 Bin Km Mekanik
3 Yıl Boya
12 Yıl Paslanmazlık",Renault Yardım 444 6247,Var,,,,,,Turbo,,4,1461 cc,Common Rail Direkt Enjeksiyon,10.8 saniye,197 km/s,260 nm,115 BG,Fransa,Sedan,Binek,Icon,Sedan,2021,İçten Yanmalı (Standart),2197 tl/yıl,C,Megane,Dizel,https://www.epey.com/araba/2021-renault-megane-sedan-1-5-blue-dci-115-bg-edc-icon.html,,,,,,,112 g/km,4.2 lt,49 lt,Euro 6,3.9 lt,4.9 lt,,5 yıldız,2021 Renault Megane Sedan 1.5 Blue dCi 115 BG EDC Icon NCAP/ANCAP Web Sayfası,2015,Var,,,,,,,,Önden Çekişli,,,,,7 ileri,Otomatik,EDC (Çift Kavramalı Otm.)
1478 kg,,1814 mm,4632 mm,1443 mm,987 lt,503 lt,,2021 Renault Megane Sedan 1.5 Blue dCi 115 BG EDC Joy,,,,,,2021 Renault Megane Sedan 1.5 Blue dCi 115 BG EDC Joy Test Sürüşü Talep Sayfası,,"3 Yıl / 100 Bin Km Mekanik
3 Yıl Boya
12 Yıl Paslanmazlık",Renault Yardım 444 6247,Var,,,,,,Turbo,,4,1461 cc,Common Rail Direkt Enjeksiyon,10.8 saniye,197 km/s,260 nm,115 BG,Fransa,Sedan,Binek,Joy,Sedan,2021,İçten Yanmalı (Standart),2197 tl/yıl,C,Megane,Dizel,https://www.epey.com/araba/2021-renault-megane-sedan-1-5-blue-dci-115-bg-edc-joy.html,,,,,,,112 g/km,4.2 lt,49 lt,Euro 6,3.9 lt,4.9 lt,,5 yıldız,2021 Renault Megane Sedan 1.5 Blue dCi 115 BG EDC Joy NCAP/ANCAP Web Sayfası,2015,Var,,,,,,,,Önden Çekişli,,,,,7 ileri,Otomatik,EDC (Çift Kavramalı Otm.)
1478 kg,,1814 mm,4632 mm,1443 mm,987 lt,503 lt,,2021 Renault Megane Sedan 1.5 Blue dCi 115 BG EDC Touch,,,,,,2021 Renault Megane Sedan 1.5 Blue dCi 115 BG EDC Touch Test Sürüşü Talep Sayfası,,"3 Yıl / 100 Bin Km Mekanik
3 Yıl Boya
12 Yıl Paslanmazlık",Renault Yardım 444 6247,Var,,,,,,Turbo,,4,1461 cc,Common Rail Direkt Enjeksiyon,10.8 saniye,197 km/s,260 nm,115 BG,Fransa,Sedan,Binek,Touch,Sedan,2021,İçten Yanmalı (Standart),2197 tl/yıl,C,Megane,Dizel,https://www.epey.com/araba/2021-renault-megane-sedan-1-5-blue-dci-115-bg-edc-touch.html,,,,,,,112 g/km,4.2 lt,49 lt,Euro 6,3.9 lt,4.9 lt,,5 yıldız,2021 Renault Megane Sedan 1.5 Blue dCi 115 BG EDC Touch NCAP/ANCAP Web Sayfası,2015,Var,,,,,,,,Önden Çekişli,,,,,7 ileri,Otomatik,EDC (Çift Kavramalı Otm.)
1469 kg,,1814 mm,4632 mm,1443 mm,1367 lt,473 lt,,2021 Renault Megane Sedan 1.5 Blue dCi 115 BG EDC,,,,,,2021 Renault Megane Sedan 1.5 Blue dCi 115 BG EDC Test Sürüşü Talep Sayfası,2021 Renault Megane Sedan 1.5 Blue dCi 115 BG EDC Ürün Kataloğu,,,,,,,,,Turbo,,4,1461 cc,Common Rail Direkt Enjeksiyon,11.2 saniye,190 km/s,270 nm,115 BG,Fransa,Sedan,Binek,,Sedan,2021,İçten Yanmalı (Standart),2197 tl/yıl,C,Megane,Dizel,https://www.epey.com/araba/2021-renault-megane-sedan-1-5-blue-dci-115-bg-edc.html,,,,,,,108 g/km,4.1 lt,49 lt,,3.8 lt,4.7 lt,,,,,Var,,,,,,,,Önden Çekişli,,,,,7 ileri,Otomatik,EDC (Çift Kavramalı Otm.)
1442 kg,,1814 mm,4632 mm,1443 mm,1367 lt,473 lt,,2021 Renault Megane Sedan 1.5 Blue dCi 115 BG,,,,,,2021 Renault Megane Sedan 1.5 Blue dCi 115 BG Test Sürüşü Talep Sayfası,2021 Renault Megane Sedan 1.5 Blue dCi 115 BG Ürün Kataloğu,,,,,,,,,Turbo,,4,1461 cc,Common Rail Direkt Enjeksiyon,11.3 saniye,190 km/s,270 nm,115 BG,Fransa,Sedan,Binek,,Sedan,2021,İçten Yanmalı (Standart),2197 tl/yıl,C,Megane,Dizel,https://www.epey.com/araba/2021-renault-megane-sedan-1-5-blue-dci-115-bg.html,,,,,,,113 g/km,4.3 lt,49 lt,,3.8 lt,5.1 lt,,,,,Var,,,,,,,,Önden Çekişli,,,,,6 ileri,Manuel,
1109 kg,,1848 mm,4396 mm,1501 mm,1666 lt,628 lt,,2021 Renault Taliant 1.0 Sce 65 BG Joy,,,,,,2021 Renault Taliant 1.0 Sce 65 BG Joy Test Sürüşü Talep Sayfası,,,,,,,,,,Atmosferik,,3,999 cc,Çok Noktadan Enjeksiyon,17.0 saniye,157 km/s,95 nm,65 BG,Fransa,,Binek,Joy,Sedan,2021,İçten Yanmalı (Standart),1261 tl/yıl,B,Taliant,Benzin,https://www.epey.com/araba/2021-renault-taliant-1-0-sce-65-bg-joy.html,,,,,,,127 g/km,5.6 lt,50 lt,,4.9 lt,6.2 lt,,,,,,,,,,,,,Önden Çekişli,,,,,5 ileri,Manuel,
1186 kg,,1848 mm,4396 mm,1501 mm,1666 lt,628 lt,,2021 Renault Taliant 1.0 Turbo 90 BG Joy,,,,,,2021 Renault Taliant 1.0 Turbo 90 BG Joy Test Sürüşü Talep Sayfası,,,,,,,,,,Turbo,,3,999 cc,Çok Noktadan Enjeksiyon,11.7 saniye,179 km/s,160 nm,90 BG,Fransa,,Binek,Joy,Sedan,2021,İçten Yanmalı (Standart),1261 tl/yıl,B,Taliant,Benzin,https://www.epey.com/araba/2021-renault-taliant-1-0-turbo-90-bg-joy.html,,,,,,,127 g/km,5.6 lt,50 lt,,4.8 lt,6.1 lt,,,,,,,,,,,,,Önden Çekişli,,,,,7 ileri,Manuel,
1202 kg,,1848 mm,4396 mm,1501 mm,1666 lt,628 lt,,2021 Renault Taliant 1.0 Turbo ECO 100 BG Joy,,,,,,2021 Renault Taliant 1.0 Turbo ECO 100 BG Joy Test Sürüşü Talep Sayfası,,,,,,,,,,Turbo,,3,999 cc,Çok Noktadan Enjeksiyon,11.7 saniye,184 km/s,160 nm,100 BG,Fransa,,Binek,Joy,Sedan,2021,İçten Yanmalı (Standart),1261 tl/yıl,B,Taliant,Benzin & LPG,https://www.epey.com/araba/2021-renault-taliant-1-0-turbo-eco-100-bg-joy.html,Var,,,,,,116 g/km,7.5 lt,50 lt,,6.6 lt,8.1 lt,,,,,,,,,,,,,Önden Çekişli,,,,,,Manuel,
1497 kg,11.60 mt.,1869 mm,4853 mm,1463 mm,1022 lt,608 lt,,2021 Renault Talisman 1.3 TCe 160 HP EDC Icon,,,,,,2021 Renault Talisman 1.3 TCe 160 HP EDC Icon Test Sürüşü Talep Sayfası,2021 Renault Talisman 1.3 TCe 160 HP EDC Icon Ürün Kataloğu,"3 Yıl / 150 Bin Km Mekanik
3 Yıl Boya
12 Yıl Paslanmazlık",Renault Yardım 444 6247,Var,,,,,,Turbo,,4,1332 cc,Direkt Enjeksiyon,9.6 saniye,207 km/s,270 nm,160 BG,Fransa,,Binek,Icon,Sedan,2021,İçten Yanmalı (Standart),2197 tl/yıl,D,Talisman,Benzin,https://www.epey.com/araba/2021-renault-talisman-1-3-tce-160-hp-edc-icon.html,,,,,,,125 g/km,5.5 lt,50 lt,Euro 6,4.8 lt,6.7 lt,,5 yıldız,2021 Renault Talisman 1.3 TCe 160 HP EDC Icon NCAP/ANCAP Web Sayfası,2015,Var,,,,,,,,Önden Çekişli,,,,,7 ileri,Otomatik,EDC (Çift Kavramalı Otm.)
