AĞIRLIK & ÖLÇÜLER - Ağırlık,AĞIRLIK & ÖLÇÜLER - Dönüş Çapı,AĞIRLIK & ÖLÇÜLER - Genişlik,AĞIRLIK & ÖLÇÜLER - Uzunluk,AĞIRLIK & ÖLÇÜLER - Yükseklik,BAGAJ ÖZELLİKLERİ - Bagaj Diğer Özellikler,BAGAJ ÖZELLİKLERİ - Bagaj Hacmi (2 Koltuk),BAGAJ ÖZELLİKLERİ - Bagaj Hacmi (5 Koltuk),Başlık,DOKÜMAN - Test Sürüşü Talep Sayfası,DOKÜMAN - Ürün Kataloğu,MOTOR (Elektrikli) - Azami Tork,MOTOR (Elektrikli) - Batarya Kapasitesi,MOTOR (Elektrikli) - Batarya Tipi,MOTOR (Elektrikli) - Diğer Özellikler,MOTOR (Elektrikli) - Menzil (WLTP-Birleşik),MOTOR (Elektrikli) - Menzil (WLTP-Şehir İçi),MOTOR (Elektrikli) - Motor Gücü,MOTOR (Elektrikli) - Ortalama Tüketim (Elk.),MOTOR (Elektrikli) - Şarj Süresi,MOTOR (İçten Yanmalı) - Besleme Tipi,MOTOR (İçten Yanmalı) - Silindir Adedi,MOTOR (İçten Yanmalı) - Silindir Hacmi,MOTOR (İçten Yanmalı) - Yakıt Püskürtme,PERFORMANS - 0-100 Km Hızlanma,PERFORMANS - Azami Hız,PERFORMANS - Azami Tork (Toplam),PERFORMANS - Beygir Gücü (Toplam),TEMEL ÖZELLİKLER - Ait Olduğu Ülke,TEMEL ÖZELLİKLER - Alt Seri,TEMEL ÖZELLİKLER - Araç Türü,TEMEL ÖZELLİKLER - Donanım Paketi,TEMEL ÖZELLİKLER - Gövde Tipi,TEMEL ÖZELLİKLER - Model Yılı,TEMEL ÖZELLİKLER - Motor Tipi,TEMEL ÖZELLİKLER - Motorlu Taşıt Vergisi,TEMEL ÖZELLİKLER - Segment,TEMEL ÖZELLİKLER - Seri,TEMEL ÖZELLİKLER - Yakıt Tipi,URL,YAKIT TÜKETİMİ & EMİSYON - Ortalama Emisyon,YAKIT TÜKETİMİ & EMİSYON - Ortalama Emisyon (WLTP),YAKIT TÜKETİMİ & EMİSYON - Ortalama Y.Tüketimi (100 km),YAKIT TÜKETİMİ & EMİSYON - Ortalama Y.Tüketimi (100 km/WLTP),YAKIT TÜKETİMİ & EMİSYON - Yakıt Kapasitesi,YAKIT TÜKETİMİ & EMİSYON - Çevre Standardı (Emisyon),YAKIT TÜKETİMİ & EMİSYON - Şehir Dışı Tüketim (100 km),YAKIT TÜKETİMİ & EMİSYON - Şehir İçi Tüketim (100 km),YOLCU EMNİYETİ - NCAP/ANCAP Puanı,YOLCU EMNİYETİ - NCAP/ANCAP Web Sayfası,YOLCU EMNİYETİ - NCAP/ANCAP Yılı,YOLCU EMNİYETİ - Çarpışma Testi (NCAP/ANCAP),YÜK ALANI - Azami Yük (İstiap Haddi),YÜK ALANI - Azami Yüklü Ağırlık,YÜK ALANI - Azami İç Yükseklik,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekiş,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Şanzıman Kademesi,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Şanzıman Türü,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Şanzıman Özellikleri
2315 kg,,1996 mm,4999 mm,1608 mm,Ön Bagaj Bölmesi 141 Lt.,1758 lt,678 lt,2025 Xiaomi YU7 315 HP (4x2),,,528 nm,96.3 kW/sa,Li-ion LFP,,668 km,,235 kW,17.0 kWsa/100km,DC (%10 - %80) 21dk.,,,,,5.9 saniye,240 km/s,528 nm,315 BG,Çin,,Binek,,SUV,2025,BEV (Elektrikli),,D,YU7,Elektrik,https://www.epey.com/araba/2025-xiaomi-yu7-315-hp-4x2.html,,,,,,,,,,,,,,,,Arkadan İtişli,,Otomatik,
2405 kg,,1996 mm,4999 mm,1608 mm,Ön Bagaj Bölmesi 141 Lt.,1758 lt,678 lt,2025 Xiaomi YU7 Max 681 HP (4x4),,,866 nm,101.7 kW/sa,Li-ion LFP,,608 km,,508 kW,19.7 kWsa/100km,DC (%10 - %80) 21dk.,,,,,3.2 saniye,253 km/s,866 nm,681 BG,Çin,,Binek,,SUV,2025,BEV (Elektrikli),,D,YU7,Elektrik,https://www.epey.com/araba/2025-xiaomi-yu7-max-681-hp-4x4.html,,,,,,,,,,,,,,,,4x4 Çekişli,,Otomatik,
2425 kg,,1996 mm,4999 mm,1608 mm,Ön Bagaj Bölmesi 141 Lt.,1758 lt,678 lt,2025 Xiaomi YU7 Pro 489 HP (4x4),,,690 nm,96.3 kW/sa,Li-ion LFP,,616 km,,365 kW,18.4 kWsa/100km,DC (%10 - %80) 21dk.,,,,,4.3 saniye,240 km/s,690 nm,489 BG,Çin,,Binek,,SUV,2025,BEV (Elektrikli),,D,YU7,Elektrik,https://www.epey.com/araba/2025-xiaomi-yu7-pro-489-hp-4x4.html,,,,,,,,,,,,,,,,4x4 Çekişli,,Otomatik,
2250 kg,,1910 mm,4995 mm,1495 mm,,,410 lt,BYD Han 510 HP (4x4),,BYD Han 510 HP (4x4) Ürün Kataloğu,700 nm,,Lityum Demir Fosfat (LFP),,521 km,662 km,380 kW,,DC (120 kW) (%30 - %80) 30dk.,,,,,3.9 saniye,180 km/s,700 nm,510 BG,Çin,,Binek,,Sedan,2024,BEV (Elektrikli),,E,HAN,Elektrik,https://www.epey.com/araba/byd-han-510-hp-4x4.html,,,,,,,,,,,,,,,,4x4 Çekişli,,Otomatik,
471 kg,,1360 mm,2410 mm,1525 mm,,63 lt,,Citroen Ami One Electric 8 HP (4x2),,Citroen Ami One Electric 8 HP (4x2) Ürün Kataloğu,40 nm,5.5 kW/sa,,,,75 km,6 kW,,4 Saat,,,,,,45 km/s,40 nm,8 BG,Fransa,,Binek,,Hatchback,2024,BEV (Elektrikli),,A,Ami One,Elektrik,https://www.epey.com/araba/citroen-ami-one-electric-8-hp-4x2.html,,,,,,,,,,,,,,,,Önden Çekişli,,Otomatik,
487 kg,,1400 mm,2535 mm,1530 mm,,,,Fiat Topolino 8.2 HP (4x2),,,44 nm,,Lityum İyon,,75 km,,6 kW,8.0 kWsa/100km,4 Saatte %100 Şarj (Standart Elektrik Prizi İle),,,,,,45 km/s,44 nm,8.2 BG,İtalya,,Binek,Topolino,Hatchback,2024,BEV (Elektrikli),,,Topolino,Elektrik,https://www.epey.com/araba/fiat-topolino-8-2-hp-4x2.html,,,,,,,,,,,,,,,,Önden Çekişli,,Otomatik,
487 kg,,1400 mm,2535 mm,1530 mm,,,,Fiat Topolino Plus 8.2 HP (4x2),,,44 nm,,Lityum İyon,,75 km,,6 kW,8.0 kWsa/100km,4 Saatte %100 Şarj (Standart Elektrik Prizi İle),,,,,,45 km/s,44 nm,8.2 BG,İtalya,,Binek,Topolino Plus,Hatchback,2024,BEV (Elektrikli),,,Topolino,Elektrik,https://www.epey.com/araba/fiat-topolino-plus-8-2-hp-4x2.html,,,,,,,,,,,,,,,,Önden Çekişli,,Otomatik,
1737 kg,,1876 mm,4574 mm,1664 mm,,1375 lt,448 lt,MG E-HS Plug-in Hybrid Comfort 258 PS (4x2),MG E-HS Plug-in Hybrid Comfort 258 PS (4x2) Test Sürüşü Talep Sayfası,MG E-HS Plug-in Hybrid Comfort 258 PS (4x2) Ürün Kataloğu,230 nm,16.6 kW/sa,Lityum İyon,,52 km,,90 kW,,,Turbo,,1500 cc,Direkt Enjeksiyon,6.9 saniye,190 km/s,480 nm,258 BG,İngiltere > Çin,,Binek,Comfort,SUV,2024,PHEV (Prizden Şarjlı HEV),4434 tl/yıl,C,E-HS,Benzin & Elektrik,https://www.epey.com/araba/mg-e-hs-plug-in-hybrid-comfort-258-ps-4x2.html,,43 g/km,,1.8 lt,37 lt,,,,5 yıldız,MG E-HS Plug-in Hybrid Comfort 258 PS (4x2) NCAP/ANCAP Web Sayfası,2019,Var,,,,Önden Çekişli,10 ileri,Otomatik,
1737 kg,,1876 mm,4574 mm,1664 mm,,1375 lt,448 lt,MG E-HS Plug-in Hybrid Luxury 258 PS (4x2),MG E-HS Plug-in Hybrid Luxury 258 PS (4x2) Test Sürüşü Talep Sayfası,MG E-HS Plug-in Hybrid Luxury 258 PS (4x2) Ürün Kataloğu,230 nm,16.6 kW/sa,Lityum İyon,,52 km,,90 kW,,,Turbo,,1500 cc,Direkt Enjeksiyon,6.9 saniye,190 km/s,480 nm,258 BG,İngiltere > Çin,,Binek,Luxury,SUV,2024,PHEV (Prizden Şarjlı HEV),4434 tl/yıl,C,E-HS,Benzin & Elektrik,https://www.epey.com/araba/mg-e-hs-plug-in-hybrid-luxury-258-ps-4x2.html,,43 g/km,,1.8 lt,37 lt,,,,5 yıldız,MG E-HS Plug-in Hybrid Luxury 258 PS (4x2) NCAP/ANCAP Web Sayfası,2019,Var,,,,Önden Çekişli,10 ileri,Otomatik,
1736 kg,,1848 mm,4403 mm,1880 mm,,2216 lt,1414 lt,Opel Combo Elektrik 136 HP Edition,,Opel Combo Elektrik 136 HP Edition Ürün Kataloğu,270 nm,50 kW/sa,,Yerleşik AC Şarj Cihazı (7.4 kW),346 km,458 km,100 kW,19.5 kWsa/100km,"AC (7.4 kW) (%0 - %100) 7sa.30dk.
DC (100 kW) (%20 - %80) 30dk.",,,,,11.7 saniye,132 km/s,270 nm,136 BG,Almanya > (Fransa/İtalya/Amerika Ortak),,Binek,Edition,Kombi,2024,BEV (Elektrikli),,Mini Ticari,Combo Elektrik,Elektrik,https://www.epey.com/araba/opel-combo-elektrik-136-hp-edition.html,,,,,,,,,4 yıldız,Opel Combo Elektrik 136 HP Edition NCAP/ANCAP Web Sayfası,2018,Var,,,,Önden Çekişli,1 ileri,Otomatik,Tek Vitesli Redüktör Şanzıman
1521 kg,,1835 mm,4418 mm,1854 mm,,2761 lt,1529 lt,2020 Ford Tourneo Connect 1.5 EcoBlue 100 PS Deluxe,2020 Ford Tourneo Connect 1.5 EcoBlue 100 PS Deluxe Test Sürüşü Talep Sayfası,2020 Ford Tourneo Connect 1.5 EcoBlue 100 PS Deluxe Ürün Kataloğu,,,,,,,,,,Turbo,4,1499 cc,Common Rail Direkt Enjeksiyon,13.3 saniye,169 km/s,240 nm,100 BG,Amerika,Kombi,Binek,Deluxe,MPV,2020,İçten Yanmalı (Standart),,B,Tourneo Connect,Dizel,https://www.epey.com/araba/yeni-ford-tourneo-connect.html,120 g/km,,4.5 lt,,60 lt,Euro 6.2,4.3 lt,5.1 lt,4 yıldız,2020 Ford Tourneo Connect 1.5 EcoBlue 100 PS Deluxe NCAP/ANCAP Web Sayfası,2018,Var,749 kg,2270 kg,1245 mm,Önden Çekişli,6 ileri,Manuel,
