AĞIRLIK & ÖLÇÜLER - Ağırlık,AĞIRLIK & ÖLÇÜLER - Dönüş Çapı,AĞIRLIK & ÖLÇÜLER - Genişlik,AĞIRLIK & ÖLÇÜLER - Uzunluk,AĞIRLIK & ÖLÇÜLER - Yükseklik,BAGAJ ÖZELLİKLERİ - Bagaj Hacmi (2 Koltuk),BAGAJ ÖZELLİKLERİ - Bagaj Hacmi (5 Koltuk),BAGAJ ÖZELLİKLERİ - Bagaj Hacmi (7 Koltuk),Başlık,DOKÜMAN - Test Sürüşü Talep Sayfası,DOKÜMAN - Ürün Kataloğu,GARANTİ & YOL YARDIM - Garanti,GARANTİ & YOL YARDIM - Yol Yardım Bilgileri,GARANTİ & YOL YARDIM - Yol Yardım Hizmeti,MOTOR (Elektrikli) - Azami Tork,MOTOR (Elektrikli) - Batarya Kapasitesi,MOTOR (Elektrikli) - Batarya Tipi,MOTOR (Elektrikli) - Menzil (WLTP-Birleşik),MOTOR (İçten Yanmalı) - Besleme Tipi,MOTOR (İçten Yanmalı) - Diğer Motor Özellikleri,MOTOR (İçten Yanmalı) - Silindir Adedi,MOTOR (İçten Yanmalı) - Silindir Hacmi,MOTOR (İçten Yanmalı) - Yakıt Püskürtme,PERFORMANS - 0-100 Km Hızlanma,PERFORMANS - Azami Hız,PERFORMANS - Azami Tork (Toplam),PERFORMANS - Beygir Gücü (Toplam),TEMEL ÖZELLİKLER - Ait Olduğu Ülke,TEMEL ÖZELLİKLER - Alt Seri,TEMEL ÖZELLİKLER - Araç Türü,TEMEL ÖZELLİKLER - Donanım Paketi,TEMEL ÖZELLİKLER - Engelli Bireyler İçin ÖTV Muafiyeti,TEMEL ÖZELLİKLER - Gövde Tipi,TEMEL ÖZELLİKLER - Model Yılı,TEMEL ÖZELLİKLER - Motor Tipi,TEMEL ÖZELLİKLER - Motorlu Taşıt Vergisi,TEMEL ÖZELLİKLER - Segment,TEMEL ÖZELLİKLER - Seri,TEMEL ÖZELLİKLER - Yakıt Tipi,URL,YAKIT TÜKETİMİ & EMİSYON - LPG,YAKIT TÜKETİMİ & EMİSYON - LPG Kapasitesi,YAKIT TÜKETİMİ & EMİSYON - LPG OrtalamaTüketim (100 km),YAKIT TÜKETİMİ & EMİSYON - LPG Şehir Dışı Tüketim (100 km),YAKIT TÜKETİMİ & EMİSYON - LPG Şehir İçi Tüketim (100 km),YAKIT TÜKETİMİ & EMİSYON - Ortalama Emisyon,YAKIT TÜKETİMİ & EMİSYON - Ortalama Y.Tüketimi (100 km),YAKIT TÜKETİMİ & EMİSYON - Yakıt Kapasitesi,YAKIT TÜKETİMİ & EMİSYON - Çevre Standardı (Emisyon),YAKIT TÜKETİMİ & EMİSYON - Şehir Dışı Tüketim (100 km),YAKIT TÜKETİMİ & EMİSYON - Şehir İçi Tüketim (100 km),YOLCU EMNİYETİ - Anahtarsız Sistem,YOLCU EMNİYETİ - Hava Yastığı,YOLCU EMNİYETİ - NCAP/ANCAP Puanı,YOLCU EMNİYETİ - NCAP/ANCAP Web Sayfası,YOLCU EMNİYETİ - NCAP/ANCAP Yılı,YOLCU EMNİYETİ - Çarpışma Testi (NCAP/ANCAP),YÜK ALANI - Azami Hacim,YÜK ALANI - Azami Yük (İstiap Haddi),YÜK ALANI - Azami Yüklü Ağırlık,YÜK ALANI - Azami İç Genişlik,YÜK ALANI - Azami İç Uzunluk,YÜK ALANI - Azami İç Yükseklik,YÜK ALANI - Davlumbaz Aralığı,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Yerden Yükseklik (Azami),ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekiş,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekiş Kontrol Sistemi,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekiş Kontrol Özellikleri,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekme Kapasitesi (Frenli),ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekme Kapasitesi (Frensiz),ŞANZIMAN & ÇEKİŞ SİSTEMİ - Şanzıman Kademesi,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Şanzıman Türü,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Şanzıman Özellikleri
1395 kg,,1814 mm,4632 mm,1443 mm,987 lt,503 lt,,2019 Renault Megane Sedan 1.5 dCi 110 BG EDC Icon,2019 Renault Megane Sedan 1.5 dCi 110 BG EDC Icon Test Sürüşü Talep Sayfası,2019 Renault Megane Sedan 1.5 dCi 110 BG EDC Icon Ürün Kataloğu,"3 Yıl / 100 Bin Km Mekanik
3 Yıl Boya
12 Yıl Paslanmazlık",Renault Yardım 444 6247,Var,,,,,Turbo,,4,1461 cc,Common Rail Direkt Enjeksiyon,12.5 saniye,190 km/s,250 nm,110 BG,Fransa,Sedan,Binek,Icon,,Sedan,2019,İçten Yanmalı (Standart),1800 tl/yıl,C,Megane,Dizel,https://www.epey.com/araba/2019-renault-megane-sedan-1-5-dci-110-bg-edc-icon.html,,,,,,98 g/km,3.8 lt,49 lt,Euro 6,3.6 lt,4.1 lt,,,5 yıldız,2019 Renault Megane Sedan 1.5 dCi 110 BG EDC Icon NCAP/ANCAP Web Sayfası,2015,Var,,,,,,,,,Önden Çekişli,,,,,6 ileri,Otomatik,EDC (Çift Kavramalı Otm.)
1395 kg,,1814 mm,4632 mm,1443 mm,987 lt,503 lt,,2019 Renault Megane Sedan 1.5 dCi 110 BG EDC Joy Plus,2019 Renault Megane Sedan 1.5 dCi 110 BG EDC Joy Plus Test Sürüşü Talep Sayfası,2019 Renault Megane Sedan 1.5 dCi 110 BG EDC Joy Plus Ürün Kataloğu,"3 Yıl / 100 Bin Km Mekanik
3 Yıl Boya
12 Yıl Paslanmazlık",Renault Yardım 444 6247,Var,,,,,Turbo,,4,1461 cc,Common Rail Direkt Enjeksiyon,12.5 saniye,190 km/s,250 nm,110 BG,Fransa,Sedan,Binek,Joy Plus,,Sedan,2019,İçten Yanmalı (Standart),1800 tl/yıl,C,Megane,Dizel,https://www.epey.com/araba/2019-renault-megane-sedan-1-5-dci-110-bg-edc-joy-plus.html,,,,,,98 g/km,3.8 lt,49 lt,Euro 6,3.6 lt,4.1 lt,,,5 yıldız,2019 Renault Megane Sedan 1.5 dCi 110 BG EDC Joy Plus NCAP/ANCAP Web Sayfası,2015,Var,,,,,,,,,Önden Çekişli,,,,,6 ileri,Otomatik,EDC (Çift Kavramalı Otm.)
1395 kg,,1814 mm,4632 mm,1443 mm,987 lt,503 lt,,2019 Renault Megane Sedan 1.5 dCi 110 BG EDC Joy,2019 Renault Megane Sedan 1.5 dCi 110 BG EDC Joy Test Sürüşü Talep Sayfası,2019 Renault Megane Sedan 1.5 dCi 110 BG EDC Joy Ürün Kataloğu,"3 Yıl / 100 Bin Km Mekanik
3 Yıl Boya
12 Yıl Paslanmazlık",Renault Yardım 444 6247,Var,,,,,Turbo,,4,1461 cc,Common Rail Direkt Enjeksiyon,12.5 saniye,190 km/s,250 nm,110 BG,Fransa,Sedan,Binek,Joy,,Sedan,2019,İçten Yanmalı (Standart),1800 tl/yıl,C,Megane,Dizel,https://www.epey.com/araba/2019-renault-megane-sedan-1-5-dci-110-bg-edc-joy.html,,,,,,98 g/km,3.8 lt,49 lt,Euro 6,3.6 lt,4.1 lt,,,5 yıldız,2019 Renault Megane Sedan 1.5 dCi 110 BG EDC Joy NCAP/ANCAP Web Sayfası,2015,Var,,,,,,,,,Önden Çekişli,,,,,6 ileri,Otomatik,EDC (Çift Kavramalı Otm.)
1395 kg,,1814 mm,4632 mm,1443 mm,987 lt,503 lt,,2019 Renault Megane Sedan 1.5 dCi 110 BG EDC Touch,2019 Renault Megane Sedan 1.5 dCi 110 BG EDC Touch Test Sürüşü Talep Sayfası,2019 Renault Megane Sedan 1.5 dCi 110 BG EDC Touch Ürün Kataloğu,"3 Yıl / 100 Bin Km Mekanik
3 Yıl Boya
12 Yıl Paslanmazlık",Renault Yardım 444 6247,Var,,,,,Turbo,,4,1461 cc,Common Rail Direkt Enjeksiyon,12.5 saniye,190 km/s,250 nm,110 BG,Fransa,Sedan,Binek,Touch,,Sedan,2019,İçten Yanmalı (Standart),1800 tl/yıl,C,Megane,Dizel,https://www.epey.com/araba/2019-renault-megane-sedan-1-5-dci-110-bg-edc-touch.html,,,,,,98 g/km,3.8 lt,49 lt,Euro 6,3.6 lt,4.1 lt,,,5 yıldız,2019 Renault Megane Sedan 1.5 dCi 110 BG EDC Touch NCAP/ANCAP Web Sayfası,2015,Var,,,,,,,,,Önden Çekişli,,,,,6 ileri,Otomatik,EDC (Çift Kavramalı Otm.)
1395 kg,,1814 mm,4632 mm,1443 mm,987 lt,503 lt,,2019 Renault Megane Sedan 1.5 dCi 110 BG Icon,2019 Renault Megane Sedan 1.5 dCi 110 BG Icon Test Sürüşü Talep Sayfası,2019 Renault Megane Sedan 1.5 dCi 110 BG Icon Ürün Kataloğu,"3 Yıl / 100 Bin Km Mekanik
3 Yıl Boya
12 Yıl Paslanmazlık",Renault Yardım 444 6247,Var,,,,,Turbo,,4,1461 cc,Common Rail Direkt Enjeksiyon,11.6 saniye,190 km/s,260 nm,110 BG,Fransa,Sedan,Binek,Icon,,Sedan,2019,İçten Yanmalı (Standart),1800 tl/yıl,C,Megane,Dizel,https://www.epey.com/araba/2019-renault-megane-sedan-1-5-dci-110-bg-icon.html,,,,,,196 g/km,3.7 lt,49 lt,Euro 6,3.5 lt,4.1 lt,,,5 yıldız,2019 Renault Megane Sedan 1.5 dCi 110 BG Icon NCAP/ANCAP Web Sayfası,2015,Var,,,,,,,,,Önden Çekişli,,,,,6 ileri,Manuel,
1395 kg,,1814 mm,4632 mm,1443 mm,987 lt,503 lt,,2019 Renault Megane Sedan 1.5 dCi 110 BG Touch,2019 Renault Megane Sedan 1.5 dCi 110 BG Touch Test Sürüşü Talep Sayfası,2019 Renault Megane Sedan 1.5 dCi 110 BG Touch Ürün Kataloğu,"3 Yıl / 100 Bin Km Mekanik
3 Yıl Boya
12 Yıl Paslanmazlık",Renault Yardım 444 6247,Var,,,,,Turbo,,4,1461 cc,Common Rail Direkt Enjeksiyon,11.6 saniye,190 km/s,260 nm,110 BG,Fransa,Sedan,Binek,Touch,,Sedan,2019,İçten Yanmalı (Standart),1800 tl/yıl,C,Megane,Dizel,https://www.epey.com/araba/2019-renault-megane-sedan-1-5-dci-110-bg-touch.html,,,,,,196 g/km,3.7 lt,49 lt,Euro 6,3.5 lt,4.1 lt,,,5 yıldız,2019 Renault Megane Sedan 1.5 dCi 110 BG Touch NCAP/ANCAP Web Sayfası,2015,Var,,,,,,,,,Önden Çekişli,,,,,6 ileri,Manuel,
1395 kg,,1814 mm,4632 mm,1443 mm,987 lt,503 lt,,2019 Renault Megane Sedan 1.5 dCi 90 BG Joy Plus,2019 Renault Megane Sedan 1.5 dCi 90 BG Joy Plus Test Sürüşü Talep Sayfası,2019 Renault Megane Sedan 1.5 dCi 90 BG Joy Plus Ürün Kataloğu,"3 Yıl / 100 Bin Km Mekanik
3 Yıl Boya
12 Yıl Paslanmazlık",Renault Yardım 444 6247,Var,,,,,Turbo,,4,1461 cc,Common Rail Direkt Enjeksiyon,13.7 saniye,176 km/s,220 nm,90 BG,Fransa,Sedan,Binek,Joy Plus,,Sedan,2019,İçten Yanmalı (Standart),1800 tl/yıl,C,Megane,Dizel,https://www.epey.com/araba/2019-renault-megane-sedan-1-5-dci-90-bg-joy-plus.html,,,,,,96 g/km,3.7 lt,49 lt,Euro 6,3.5 lt,4.1 lt,,,5 yıldız,2019 Renault Megane Sedan 1.5 dCi 90 BG Joy Plus NCAP/ANCAP Web Sayfası,2015,Var,,,,,,,,,Önden Çekişli,,,,,6 ileri,Manuel,
1395 kg,,1814 mm,4632 mm,1443 mm,987 lt,503 lt,,2019 Renault Megane Sedan 1.5 dCi 90 BG Joy,2019 Renault Megane Sedan 1.5 dCi 90 BG Joy Test Sürüşü Talep Sayfası,2019 Renault Megane Sedan 1.5 dCi 90 BG Joy Ürün Kataloğu,"3 Yıl / 100 Bin Km Mekanik
3 Yıl Boya
12 Yıl Paslanmazlık",Renault Yardım 444 6247,Var,,,,,Turbo,,4,1461 cc,Common Rail Direkt Enjeksiyon,13.7 saniye,176 km/s,220 nm,90 BG,Fransa,Sedan,Binek,Joy,,Sedan,2019,İçten Yanmalı (Standart),1800 tl/yıl,C,Megane,Dizel,https://www.epey.com/araba/2019-renault-megane-sedan-1-5-dci-90-bg-joy.html,,,,,,96 g/km,3.7 lt,49 lt,Euro 6,3.5 lt,4.1 lt,,,5 yıldız,2019 Renault Megane Sedan 1.5 dCi 90 BG Joy NCAP/ANCAP Web Sayfası,2015,Var,,,,,,,,,Önden Çekişli,,,,,6 ileri,Manuel,
1322 kg,,1814 mm,4632 mm,1443 mm,987 lt,503 lt,,2019 Renault Megane Sedan 1.6 115 BG Joy,2019 Renault Megane Sedan 1.6 115 BG Joy Test Sürüşü Talep Sayfası,2019 Renault Megane Sedan 1.6 115 BG Joy Ürün Kataloğu,"3 Yıl / 100 Bin Km Mekanik
3 Yıl Boya
12 Yıl Paslanmazlık",Renault Yardım 444 6247,Var,,,,,Atmosferik,,4,1598 cc,Çok Noktadan Enjeksiyon,11.8 saniye,190 km/s,156 nm,115 BG,Fransa,Sedan,Binek,Joy,,Sedan,2019,İçten Yanmalı (Standart),1800 tl/yıl,C,Megane,Benzin,https://www.epey.com/araba/2019-renault-megane-sedan-1-6-115-bg-joy.html,,,,,,142 g/km,6.3 lt,49 lt,Euro 6,5.0 lt,8.6 lt,,,5 yıldız,2019 Renault Megane Sedan 1.6 115 BG Joy NCAP/ANCAP Web Sayfası,2015,Var,,,,,,,,,Önden Çekişli,,,,,5 ileri,Manuel,
1088 kg,10.70 mt.,1994 mm,4348 mm,1517 mm,1257 lt,510 lt,,2019 Renault Symbol 0.9 TCe 90 BG Joy,2019 Renault Symbol 0.9 TCe 90 BG Joy Test Sürüşü Talep Sayfası,2019 Renault Symbol 0.9 TCe 90 BG Joy Ürün Kataloğu,"3 Yıl / 100 Bin Km Mekanik
3 Yıl Boya
12 Yıl Paslanmazlık",Renault Yardım 444 6247,Var,,,,,Turbo,,3,899 cc,,11.1 saniye,175 km/s,140 nm,90 BG,Fransa,,Binek,Joy,,Sedan,2019,İçten Yanmalı (Standart),1034 tl/yıl,B,Symbol,Benzin,https://www.epey.com/araba/2019-renault-symbol-0-9-tce-90-bg-joy.html,,,,,,122 g/km,5.4 lt,50 lt,Euro 6,4.7 lt,6.5 lt,,,,,,,,,,,,,,,Önden Çekişli,,,,,5 ileri,Manuel,
1045 kg,10.70 mt.,1994 mm,4348 mm,1517 mm,1257 lt,510 lt,,2019 Renault Symbol 1.0 SCe 75 BG Joy,2019 Renault Symbol 1.0 SCe 75 BG Joy Test Sürüşü Talep Sayfası,2019 Renault Symbol 1.0 SCe 75 BG Joy Ürün Kataloğu,"3 Yıl / 100 Bin Km Mekanik
3 Yıl Boya
12 Yıl Paslanmazlık",Renault Yardım 444 6247,Var,,,,,Atmosferik,,3,999 cc,,14.5 saniye,151 km/s,97 nm,75 BG,Fransa,,Binek,Joy,,Sedan,2019,İçten Yanmalı (Standart),1034 tl/yıl,B,Symbol,Benzin,https://www.epey.com/araba/2019-renault-symbol-1-0-sce-75-bg-joy.html,,,,,,122 g/km,5.4 lt,50 lt,Euro 6,4.8 lt,6.3 lt,,,,,,,,,,,,,,,Önden Çekişli,,,,,5 ileri,Manuel,
1191 kg,10.70 mt.,1994 mm,4348 mm,1517 mm,1257 lt,510 lt,,2019 Renault Symbol 1.5 Blue dCi 95 BG Joy,2019 Renault Symbol 1.5 Blue dCi 95 BG Joy Test Sürüşü Talep Sayfası,2019 Renault Symbol 1.5 Blue dCi 95 BG Joy Ürün Kataloğu,"3 Yıl / 100 Bin Km Mekanik
3 Yıl Boya
12 Yıl Paslanmazlık",Renault Yardım 444 6247,Var,,,,,Turbo,,4,1461 cc,Common Rail Direkt Enjeksiyon,11.9 saniye,167 km/s,220 nm,95 BG,Fransa,,Binek,Joy,,Sedan,2019,İçten Yanmalı (Standart),1800 tl/yıl,B,Symbol,Dizel,https://www.epey.com/araba/2019-renault-symbol-1-5-blue-dci-95-bg-joy.html,,,,,,104 g/km,3.9 lt,50 lt,Euro 6,3.6 lt,4.5 lt,,,,,,,,,,,,,,,Önden Çekişli,,,,,5 ileri,Manuel,
1191 kg,10.70 mt.,1994 mm,4348 mm,1517 mm,1257 lt,510 lt,,2019 Renault Symbol 1.5 Blue dCi 95 BG Touch,2019 Renault Symbol 1.5 Blue dCi 95 BG Touch Test Sürüşü Talep Sayfası,2019 Renault Symbol 1.5 Blue dCi 95 BG Touch Ürün Kataloğu,"3 Yıl / 100 Bin Km Mekanik
3 Yıl Boya
12 Yıl Paslanmazlık",Renault Yardım 444 6247,Var,,,,,Turbo,,4,1461 cc,Common Rail Direkt Enjeksiyon,11.9 saniye,167 km/s,220 nm,95 BG,Fransa,,Binek,Touch,,Sedan,2019,İçten Yanmalı (Standart),1800 tl/yıl,B,Symbol,Dizel,https://www.epey.com/araba/2019-renault-symbol-1-5-blue-dci-95-bg-touch.html,,,,,,104 g/km,3.9 lt,50 lt,Euro 6,3.6 lt,4.5 lt,,,,,,,,,,,,,,,Önden Çekişli,,,,,5 ileri,Manuel,
1059 kg,10.70 mt.,1994 mm,4348 mm,1517 mm,1257 lt,510 lt,,2019 Renault Symbol 1.5 dCi 90 BG Joy,2019 Renault Symbol 1.5 dCi 90 BG Joy Test Sürüşü Talep Sayfası,2019 Renault Symbol 1.5 dCi 90 BG Joy Ürün Kataloğu,"3 Yıl / 100 Bin Km Mekanik
3 Yıl Boya
12 Yıl Paslanmazlık",Renault Yardım 444 6247,Var,,,,,Turbo,,4,1461 cc,Common Rail Direkt Enjeksiyon,12.2 saniye,167 km/s,220 nm,90 BG,Fransa,,Binek,Joy,,Sedan,2019,İçten Yanmalı (Standart),1800 tl/yıl,B,Symbol,Dizel,https://www.epey.com/araba/2019-renault-symbol-1-5-dci-90-bg-joy.html,,,,,,103 g/km,3.9 lt,50 lt,Euro 5,3.7 lt,4.4 lt,,,,,,,,,,,,,,,Önden Çekişli,,,,,5 ileri,Manuel,
1059 kg,10.70 mt.,1994 mm,4348 mm,1517 mm,1257 lt,510 lt,,2019 Renault Symbol 1.5 dCi 90 BG Touch,2019 Renault Symbol 1.5 dCi 90 BG Touch Test Sürüşü Talep Sayfası,2019 Renault Symbol 1.5 dCi 90 BG Touch Ürün Kataloğu,"3 Yıl / 100 Bin Km Mekanik
3 Yıl Boya
12 Yıl Paslanmazlık",Renault Yardım 444 6247,Var,,,,,Turbo,,4,1461 cc,Common Rail Direkt Enjeksiyon,12.2 saniye,167 km/s,220 nm,90 BG,Fransa,,Binek,Touch,,Sedan,2019,İçten Yanmalı (Standart),1800 tl/yıl,B,Symbol,Dizel,https://www.epey.com/araba/2019-renault-symbol-1-5-dci-90-bg-touch.html,,,,,,103 g/km,3.9 lt,50 lt,Euro 5,3.7 lt,4.4 lt,,,,,,,,,,,,,,,Önden Çekişli,,,,,5 ileri,Manuel,
1574 kg,11.60 mt.,1869 mm,4848 mm,1463 mm,1022 lt,608 lt,,2019 Renault Talisman 1.6 dCi 130 HP EDC Icon,2019 Renault Talisman 1.6 dCi 130 HP EDC Icon Test Sürüşü Talep Sayfası,2019 Renault Talisman 1.6 dCi 130 HP EDC Icon Ürün Kataloğu,"3 Yıl / 150 Bin Km Mekanik
3 Yıl Boya
12 Yıl Paslanmazlık",Renault Yardım 444 6247,Var,,,,,Turbo,,4,1598 cc,Common Rail Direkt Enjeksiyon,10.8 saniye,205 km/s,320 nm,130 BG,Fransa,,Binek,Icon,,Sedan,2019,İçten Yanmalı (Standart),1800 tl/yıl,D,Talisman,Dizel,https://www.epey.com/araba/2019-renault-talisman-1-6-dci-130-hp-edc-icon.html,,,,,,112 g/km,4.2 lt,52 lt,Euro 6,3.9 lt,4.8 lt,,,5 yıldız,2019 Renault Talisman 1.6 dCi 130 HP EDC Icon NCAP/ANCAP Web Sayfası,2015,Var,,,,,,,,,Önden Çekişli,,,,,6 ileri,Otomatik,EDC (Çift Kavramalı Otm.)
1597 kg,11.60 mt.,1869 mm,4848 mm,1463 mm,1022 lt,608 lt,,2019 Renault Talisman 1.6 dCi 160 HP EDC Icon,2019 Renault Talisman 1.6 dCi 160 HP EDC Icon Test Sürüşü Talep Sayfası,2019 Renault Talisman 1.6 dCi 160 HP EDC Icon Ürün Kataloğu,"3 Yıl / 150 Bin Km Mekanik
3 Yıl Boya
12 Yıl Paslanmazlık",Renault Yardım 444 6247,Var,,,,,Turbo,,4,1598 cc,Common Rail Direkt Enjeksiyon,9.4 saniye,215 km/s,380 nm,160 BG,Fransa,,Binek,Icon,,Sedan,2019,İçten Yanmalı (Standart),1800 tl/yıl,D,Talisman,Dizel,https://www.epey.com/araba/2019-renault-talisman-1-6-dci-160-hp-edc-icon.html,,,,,,118 g/km,4.5 lt,52 lt,Euro 6,4.4 lt,5.1 lt,,,5 yıldız,2019 Renault Talisman 1.6 dCi 160 HP EDC Icon NCAP/ANCAP Web Sayfası,2015,Var,,,,,,,,,Önden Çekişli,,,,,6 ileri,Otomatik,EDC (Çift Kavramalı Otm.)
1503 kg,10.56 mt.,1730 mm,4084 mm,1562 mm,1225 lt,338 lt,,2019 Renault ZOE 92 BG Life,,2019 Renault ZOE 92 BG Life Ürün Kataloğu,"3 Yıl Boya
5 Yıl / 100 Bin Km Elektrikli Araç Çekiş Ünitesi
12 Yıl Paslanmazlık","Renault Yardım 444 6247
80 Km Mesafe Kapsamında (Pil & Şarj Sorunları Dahil)",Var,220 nm,41 kW/sa,Lityum İyon,403 km,,,,,,13.2 saniye,135 km/s,220 nm,92 BG,Fransa,,Binek,Life,,Hatchback,2019,BEV (Elektrikli),,B,ZOE,Elektrik,https://www.epey.com/araba/2019-renault-zoe-92-bg-life-elektrikli.html,,,,,,,,,,,,,,5 yıldız,2019 Renault ZOE 92 BG Life NCAP/ANCAP Web Sayfası,2013,Var,,,,,,,,,Önden Çekişli,,,,,1 ileri,Otomatik,
1086 kg,10.40 mt.,1732 mm,3997 mm,1452 mm,1125 lt,305 lt,,2019 Skoda Fabia 1.0 75 HP Ambition,2019 Skoda Fabia 1.0 75 HP Ambition Test Sürüşü Talep Sayfası,2019 Skoda Fabia 1.0 75 HP Ambition Ürün Kataloğu,"2 Yıl Sınırsız Km Mekanik
3 Yıl Boya
12 Yıl Paslanmazlık","Skoda Yol Yardımı 0212 216 4228
Skoda Yol Yardımı 0212 275 0121
Skoda Yol Yardımı 0800 211 4106",Var,,,,,Atmosferik,,3,999 cc,Çok Noktadan Enjeksiyon,14.7 saniye,172 km/s,95 nm,75 BG,Çek Cumhuriyeti > Almanya,,Binek,Ambition,,Hatchback,2019,İçten Yanmalı (Standart),1034 tl/yıl,B,Fabia,Benzin,https://www.epey.com/araba/2019-skoda-fabia-1-0-75-hp-ambition.html,,,,,,108 g/km,4.8 lt,45 lt,,4.2 lt,5.8 lt,,,5 yıldız,2019 Skoda Fabia 1.0 75 HP Ambition NCAP/ANCAP Web Sayfası,2014,Var,,,,,,,,,Önden Çekişli,,,,,5 ileri,Manuel,
1090 kg,10.40 mt.,1732 mm,3997 mm,1452 mm,1125 lt,305 lt,,2019 Skoda Fabia 1.0 TSI 110 PS DSG Style,2019 Skoda Fabia 1.0 TSI 110 PS DSG Style Test Sürüşü Talep Sayfası,2019 Skoda Fabia 1.0 TSI 110 PS DSG Style Ürün Kataloğu,"2 Yıl Sınırsız Km Mekanik
3 Yıl Boya
12 Yıl Paslanmazlık","Skoda Yol Yardımı 0212 216 4228
Skoda Yol Yardımı 0212 275 0121
Skoda Yol Yardımı 0800 211 4106",Var,,,,,Turbo,,3,999 cc,Direkt Enjeksiyon,9.6 saniye,194 km/s,200 nm,110 BG,Çek Cumhuriyeti > Almanya,,Binek,Style,,Hatchback,2019,İçten Yanmalı (Standart),1034 tl/yıl,B,Fabia,Benzin,https://www.epey.com/araba/2019-skoda-fabia-1-0-tsi-110-ps-dsg-style.html,,,,,,106 g/km,4.7 lt,45 lt,,4.3 lt,5.3 lt,,,5 yıldız,2019 Skoda Fabia 1.0 TSI 110 PS DSG Style NCAP/ANCAP Web Sayfası,2014,Var,,,,,,,,,Önden Çekişli,,,,,7 ileri,Otomatik,DSG (Yarı Otm.)
1340 kg,10.90 mt.,1841 mm,4382 mm,1603 mm,1630 lt,521 lt,,2019 Skoda Karoq 1.0 TSI 115 PS Ambition (4x2),2019 Skoda Karoq 1.0 TSI 115 PS Ambition (4x2) Test Sürüşü Talep Sayfası,2019 Skoda Karoq 1.0 TSI 115 PS Ambition (4x2) Ürün Kataloğu,"2 Yıl Sınırsız Km Mekanik
3 Yıl Boya
12 Yıl Paslanmazlık","Skoda Yol Yardımı 0212 216 4228
Skoda Yol Yardımı 0212 275 0121
Skoda Yol Yardımı 0800 211 4106",Var,,,,,Turbo,,3,999 cc,TSI - Doğrudan Enjeksiyon,10.6 saniye,187 km/s,200 nm,115 BG,Çek Cumhuriyeti > Almanya,,Binek,Ambition,,SUV,2019,İçten Yanmalı (Standart),1034 tl/yıl,C,Karoq,Benzin,https://www.epey.com/araba/2019-skoda-karoq-1-0-tsi-115-ps-ambition-4x2.html,,,,,,121 g/km,5.4 lt,50 lt,Euro 6,4.8 lt,6.3 lt,,,5 yıldız,2019 Skoda Karoq 1.0 TSI 115 PS Ambition (4x2) NCAP/ANCAP Web Sayfası,2017,Var,,,,,,,,,Önden Çekişli,,,,,6 ileri,Manuel,
1361 kg,10.90 mt.,1841 mm,4382 mm,1603 mm,1630 lt,521 lt,,2019 Skoda Karoq 1.0 TSI 115 PS DSG Ambition (4x2),2019 Skoda Karoq 1.0 TSI 115 PS DSG Ambition (4x2) Test Sürüşü Talep Sayfası,2019 Skoda Karoq 1.0 TSI 115 PS DSG Ambition (4x2) Ürün Kataloğu,"2 Yıl Sınırsız Km Mekanik
3 Yıl Boya
12 Yıl Paslanmazlık","Skoda Yol Yardımı 0212 216 4228
Skoda Yol Yardımı 0212 275 0121
Skoda Yol Yardımı 0800 211 4106",Var,,,,,Turbo,,3,999 cc,TSI - Doğrudan Enjeksiyon,10.7 saniye,186 km/s,200 nm,115 BG,Çek Cumhuriyeti > Almanya,,Binek,Ambition,,SUV,2019,İçten Yanmalı (Standart),1034 tl/yıl,C,Karoq,Benzin,https://www.epey.com/araba/2019-skoda-karoq-1-0-tsi-115-ps-dsg-ambition-4x2.html,,,,,,120 g/km,5.3 lt,50 lt,Euro 6,4.9 lt,5.9 lt,,,5 yıldız,2019 Skoda Karoq 1.0 TSI 115 PS DSG Ambition (4x2) NCAP/ANCAP Web Sayfası,2017,Var,,,,,,,,,Önden Çekişli,,,,,7 ileri,Otomatik,DSG (Yarı Otm.)
