AĞIRLIK & ÖLÇÜLER - Ağırlık,AĞIRLIK & ÖLÇÜLER - Dönüş Çapı,AĞIRLIK & ÖLÇÜLER - Genişlik,AĞIRLIK & ÖLÇÜLER - Uzunluk,AĞIRLIK & ÖLÇÜLER - Yükseklik,BAGAJ ÖZELLİKLERİ - Bagaj Hacmi (2 Koltuk),BAGAJ ÖZELLİKLERİ - Bagaj Hacmi (5 Koltuk),BAGAJ ÖZELLİKLERİ - Bagaj Hacmi (7 Koltuk),Başlık,DIŞ GÖVDE - Arka Kapı Tipi,DIŞ GÖVDE - Arka Tekerlek,DIŞ GÖVDE - Kapı Sayısı,DIŞ GÖVDE - Sürgülü Sağ Yan Kapı,DIŞ GÖVDE - Şasi Tipi,DOKÜMAN - Test Sürüşü Talep Sayfası,DOKÜMAN - Ürün Kataloğu,GARANTİ & YOL YARDIM - Garanti,GARANTİ & YOL YARDIM - Yol Yardım Bilgileri,GARANTİ & YOL YARDIM - Yol Yardım Hizmeti,MOTOR (Elektrikli) - Azami Tork,MOTOR (Elektrikli) - Batarya Kapasitesi,MOTOR (Elektrikli) - Batarya Tipi,MOTOR (Elektrikli) - Menzil (WLTP-Birleşik),MOTOR (İçten Yanmalı) - Besleme Tipi,MOTOR (İçten Yanmalı) - Diğer Motor Özellikleri,MOTOR (İçten Yanmalı) - Silindir Adedi,MOTOR (İçten Yanmalı) - Silindir Hacmi,MOTOR (İçten Yanmalı) - Yakıt Püskürtme,PERFORMANS - 0-100 Km Hızlanma,PERFORMANS - Azami Hız,PERFORMANS - Azami Tork (Toplam),PERFORMANS - Beygir Gücü (Toplam),SÜRÜŞ DESTEK SİSTEMLERİ - Yokuş Kalkış Desteği,SÜRÜŞ DESTEK SİSTEMLERİ - Yokuş Kalkış Özellikleri,TEMEL ÖZELLİKLER - Ait Olduğu Ülke,TEMEL ÖZELLİKLER - Alt Seri,TEMEL ÖZELLİKLER - Araç Türü,TEMEL ÖZELLİKLER - Donanım Paketi,TEMEL ÖZELLİKLER - Gövde Tipi,TEMEL ÖZELLİKLER - Model Yılı,TEMEL ÖZELLİKLER - Motor Tipi,TEMEL ÖZELLİKLER - Motorlu Taşıt Vergisi,TEMEL ÖZELLİKLER - Segment,TEMEL ÖZELLİKLER - Seri,TEMEL ÖZELLİKLER - Yakıt Tipi,URL,YAKIT TÜKETİMİ & EMİSYON - LPG,YAKIT TÜKETİMİ & EMİSYON - LPG CO2 Salınımı,YAKIT TÜKETİMİ & EMİSYON - LPG Kapasitesi,YAKIT TÜKETİMİ & EMİSYON - LPG OrtalamaTüketim (100 km),YAKIT TÜKETİMİ & EMİSYON - LPG Şehir Dışı Tüketim (100 km),YAKIT TÜKETİMİ & EMİSYON - LPG Şehir İçi Tüketim (100 km),YAKIT TÜKETİMİ & EMİSYON - Ortalama Emisyon,YAKIT TÜKETİMİ & EMİSYON - Ortalama Y.Tüketimi (100 km),YAKIT TÜKETİMİ & EMİSYON - Yakıt Kapasitesi,YAKIT TÜKETİMİ & EMİSYON - Çevre Standardı (Emisyon),YAKIT TÜKETİMİ & EMİSYON - Şehir Dışı Tüketim (100 km),YAKIT TÜKETİMİ & EMİSYON - Şehir İçi Tüketim (100 km),YOLCU EMNİYETİ - Anahtarsız Sistem,YOLCU EMNİYETİ - Hava Yastığı,YOLCU EMNİYETİ - NCAP/ANCAP Puanı,YOLCU EMNİYETİ - NCAP/ANCAP Web Sayfası,YOLCU EMNİYETİ - NCAP/ANCAP Yılı,YOLCU EMNİYETİ - Çarpışma Testi (NCAP/ANCAP),YÜK ALANI - Azami Hacim,YÜK ALANI - Azami Yük (İstiap Haddi),YÜK ALANI - Azami Yüklü Ağırlık,YÜK ALANI - Azami İç Genişlik,YÜK ALANI - Azami İç Uzunluk,YÜK ALANI - Azami İç Yükseklik,YÜK ALANI - Davlumbaz Aralığı,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekiş,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekiş Kontrol Sistemi,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekiş Kontrol Özellikleri,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekme Kapasitesi (Frenli),ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekme Kapasitesi (Frensiz),ŞANZIMAN & ÇEKİŞ SİSTEMİ - Şanzıman Kademesi,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Şanzıman Türü,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Şanzıman Özellikleri
1090 kg,,1725 mm,4065 mm,1450 mm,,300 lt,,2020 Kia Rio HB 1.4 100 PS Otomatik Elegance Tekno Paket,,,,,,2020 Kia Rio HB 1.4 100 PS Otomatik Elegance Tekno Paket Test Sürüşü Talep Sayfası,,,,,,,,,,,,1368 cc,Çok Noktadan Enjeksiyon,12.9 saniye,183 km/s,133.4 nm,100 BG,,,Güney Kore,,Binek,Elegance Tekno Paket,Hatchback,2020,İçten Yanmalı (Standart),2014 tl/yıl,B,Rio,Benzin,https://www.epey.com/araba/2020-kia-rio-hb-1-4-100-ps-otomatik-elegance-tekno-paket.html,,,,,,,136 g/km,5.9 lt,45 lt,,5.2 lt,7.3 lt,,,3 yıldız,2020 Kia Rio HB 1.4 100 PS Otomatik Elegance Tekno Paket NCAP/ANCAP Web Sayfası,2017,Var,,,,,,,,Önden Çekişli,,,,,6 ileri,Otomatik,
1090 kg,,1725 mm,4065 mm,1450 mm,,300 lt,,2020 Kia Rio HB 1.4 100 PS Otomatik Prestige,,,,,,2020 Kia Rio HB 1.4 100 PS Otomatik Prestige Test Sürüşü Talep Sayfası,,,,,,,,,,,,1368 cc,Çok Noktadan Enjeksiyon,12.9 saniye,183 km/s,133.4 nm,100 BG,,,Güney Kore,,Binek,Prestige,Hatchback,2020,İçten Yanmalı (Standart),2014 tl/yıl,B,Rio,Benzin,https://www.epey.com/araba/2020-kia-rio-hb-1-4-100-ps-otomatik-prestige.html,,,,,,,136 g/km,5.9 lt,45 lt,,5.2 lt,7.3 lt,,,3 yıldız,2020 Kia Rio HB 1.4 100 PS Otomatik Prestige NCAP/ANCAP Web Sayfası,2017,Var,,,,,,,,Önden Çekişli,,,,,6 ileri,Otomatik,
1415 kg,,1855 mm,4485 mm,1645 mm,1456 lt,467 lt,,2020 Kia Sportage 1.6 132 HP Cool (4x2),,,,,,2020 Kia Sportage 1.6 132 HP Cool (4x2) Test Sürüşü Talep Sayfası,2020 Kia Sportage 1.6 132 HP Cool (4x2) Ürün Kataloğu,,Kia Yol Yardım 0212 234 0770,Var,,,,,Atmosferik,,4,1591 cc,GDI (Doğrudan Enjeksiyon),11.5 saniye,182 km/s,161 nm,132 BG,,,Güney Kore,,Binek,Cool,SUV,2020,İçten Yanmalı (Standart),2014 tl/yıl,C,Sportage,Benzin,https://www.epey.com/araba/2020-kia-sportage-1-6-132-hp-cool-4x2.html,,,,,,,159 g/km,6.9 lt,62 lt,,6.2 lt,8.1 lt,,,5 yıldız,2020 Kia Sportage 1.6 132 HP Cool (4x2) NCAP/ANCAP Web Sayfası,2015,Var,,,,,,,,Önden Çekişli,,,,,6 ileri,Manuel,
1530 kg,,1855 mm,4485 mm,1645 mm,1456 lt,467 lt,,2020 Kia Sportage 1.6 Dizel 136 HP DCT Elegance (4x2),,,,,,2020 Kia Sportage 1.6 Dizel 136 HP DCT Elegance (4x2) Test Sürüşü Talep Sayfası,2020 Kia Sportage 1.6 Dizel 136 HP DCT Elegance (4x2) Ürün Kataloğu,,Kia Yol Yardım 0212 234 0770,Var,,,,,Turbo,,4,1598 cc,Common Rail Direkt Enjeksiyon,11.8 saniye,180 km/s,320 nm,136 BG,,,Güney Kore,,Binek,Elegance,SUV,2020,İçten Yanmalı (Standart),2014 tl/yıl,C,Sportage,Dizel,https://www.epey.com/araba/2020-kia-sportage-1-6-dizel-136-hp-dct-elegance-4x2.html,,,,,,,123 g/km,4.7 lt,58 lt,,4.5 lt,5.0 lt,,,5 yıldız,2020 Kia Sportage 1.6 Dizel 136 HP DCT Elegance (4x2) NCAP/ANCAP Web Sayfası,2015,Var,,,,,,,,Önden Çekişli,,,,,7 ileri,Otomatik,DCT (Yarı Otm.)
1593 kg,,1855 mm,4485 mm,1645 mm,1456 lt,467 lt,,2020 Kia Sportage 1.6 Dizel 136 HP DCT Elegance (4x4),,,,,,2020 Kia Sportage 1.6 Dizel 136 HP DCT Elegance (4x4) Test Sürüşü Talep Sayfası,2020 Kia Sportage 1.6 Dizel 136 HP DCT Elegance (4x4) Ürün Kataloğu,,Kia Yol Yardım 0212 234 0770,Var,,,,,Turbo,,4,1598 cc,Common Rail Direkt Enjeksiyon,12.0 saniye,180 km/s,320 nm,136 BG,,,Güney Kore,,Binek,Elegance,SUV,2020,İçten Yanmalı (Standart),2014 tl/yıl,C,Sportage,Dizel,https://www.epey.com/araba/2020-kia-sportage-1-6-dizel-136-hp-dct-elegance-4x4.html,,,,,,,133 g/km,5.1 lt,58 lt,,5.1 lt,5.0 lt,,,5 yıldız,2020 Kia Sportage 1.6 Dizel 136 HP DCT Elegance (4x4) NCAP/ANCAP Web Sayfası,2015,Var,,,,,,,,4x4 Çekişli,,,,,7 ileri,Otomatik,DCT (Yarı Otm.)
1530 kg,,1855 mm,4485 mm,1645 mm,1456 lt,467 lt,,2020 Kia Sportage 1.6 Dizel 136 HP DCT Elegance Konfor (4x2),,,,,,2020 Kia Sportage 1.6 Dizel 136 HP DCT Elegance Konfor (4x2) Test Sürüşü Talep Sayfası,2020 Kia Sportage 1.6 Dizel 136 HP DCT Elegance Konfor (4x2) Ürün Kataloğu,,Kia Yol Yardım 0212 234 0770,Var,,,,,Turbo,,4,1598 cc,Common Rail Direkt Enjeksiyon,11.8 saniye,180 km/s,320 nm,136 BG,,,Güney Kore,,Binek,Elegance Konfor,SUV,2020,İçten Yanmalı (Standart),2014 tl/yıl,C,Sportage,Dizel,https://www.epey.com/araba/2020-kia-sportage-1-6-dizel-136-hp-dct-elegance-konfor-4x2.html,,,,,,,123 g/km,4.7 lt,58 lt,,4.5 lt,5.0 lt,,,5 yıldız,2020 Kia Sportage 1.6 Dizel 136 HP DCT Elegance Konfor (4x2) NCAP/ANCAP Web Sayfası,2015,Var,,,,,,,,Önden Çekişli,,,,,7 ileri,Otomatik,DCT (Yarı Otm.)
1530 kg,,1855 mm,4485 mm,1645 mm,1456 lt,467 lt,,2020 Kia Sportage 1.6 Dizel 136 HP DCT Elegance Vizyon (4x2),,,,,,2020 Kia Sportage 1.6 Dizel 136 HP DCT Elegance Vizyon (4x2) Test Sürüşü Talep Sayfası,2020 Kia Sportage 1.6 Dizel 136 HP DCT Elegance Vizyon (4x2) Ürün Kataloğu,,Kia Yol Yardım 0212 234 0770,Var,,,,,Turbo,,4,1598 cc,Common Rail Direkt Enjeksiyon,11.8 saniye,180 km/s,320 nm,136 BG,,,Güney Kore,,Binek,Elegance Vizyon,SUV,2020,İçten Yanmalı (Standart),2014 tl/yıl,C,Sportage,Dizel,https://www.epey.com/araba/2020-kia-sportage-1-6-dizel-136-hp-dct-elegance-vizyon-4x2.html,,,,,,,123 g/km,4.7 lt,58 lt,,4.5 lt,5.0 lt,,,5 yıldız,2020 Kia Sportage 1.6 Dizel 136 HP DCT Elegance Vizyon (4x2) NCAP/ANCAP Web Sayfası,2015,Var,,,,,,,,Önden Çekişli,,,,,7 ileri,Otomatik,DCT (Yarı Otm.)
1530 kg,,1855 mm,4485 mm,1645 mm,1456 lt,467 lt,,2020 Kia Sportage 1.6 Dizel 136 HP DCT Prestige (4x2),,,,,,2020 Kia Sportage 1.6 Dizel 136 HP DCT Prestige (4x2) Test Sürüşü Talep Sayfası,2020 Kia Sportage 1.6 Dizel 136 HP DCT Prestige (4x2) Ürün Kataloğu,,Kia Yol Yardım 0212 234 0770,Var,,,,,Turbo,,4,1598 cc,Common Rail Direkt Enjeksiyon,11.8 saniye,180 km/s,320 nm,136 BG,,,Güney Kore,,Binek,Prestige,SUV,2020,İçten Yanmalı (Standart),2014 tl/yıl,C,Sportage,Dizel,https://www.epey.com/araba/2020-kia-sportage-1-6-dizel-136-hp-dct-prestige-4x2-2.html,,,,,,,123 g/km,4.7 lt,58 lt,,4.5 lt,5.0 lt,,,5 yıldız,2020 Kia Sportage 1.6 Dizel 136 HP DCT Prestige (4x2) NCAP/ANCAP Web Sayfası,2015,Var,,,,,,,,Önden Çekişli,,,,,7 ileri,Otomatik,DCT (Yarı Otm.)
1593 kg,,1855 mm,4485 mm,1645 mm,1456 lt,467 lt,,2020 Kia Sportage 1.6 Dizel 136 HP DCT Prestige (4x4),,,,,,2020 Kia Sportage 1.6 Dizel 136 HP DCT Prestige (4x4) Test Sürüşü Talep Sayfası,2020 Kia Sportage 1.6 Dizel 136 HP DCT Prestige (4x4) Ürün Kataloğu,,Kia Yol Yardım 0212 234 0770,Var,,,,,Turbo,,4,1598 cc,Common Rail Direkt Enjeksiyon,12.0 saniye,180 km/s,320 nm,136 BG,,,Güney Kore,,Binek,Prestige,SUV,2020,İçten Yanmalı (Standart),2014 tl/yıl,C,Sportage,Dizel,https://www.epey.com/araba/2020-kia-sportage-1-6-dizel-136-hp-dct-prestige-4x4.html,,,,,,,133 g/km,5.1 lt,58 lt,,5.1 lt,5.0 lt,,,5 yıldız,2020 Kia Sportage 1.6 Dizel 136 HP DCT Prestige (4x4) NCAP/ANCAP Web Sayfası,2015,Var,,,,,,,,4x4 Çekişli,,,,,7 ileri,Otomatik,DCT (Yarı Otm.)
1530 kg,,1855 mm,4485 mm,1645 mm,1456 lt,467 lt,,2020 Kia Sportage 1.6 Dizel 136 HP DCT Prestige Design Pack (4x2),,,,,,2020 Kia Sportage 1.6 Dizel 136 HP DCT Prestige Design Pack (4x2) Test Sürüşü Talep Sayfası,2020 Kia Sportage 1.6 Dizel 136 HP DCT Prestige Design Pack (4x2) Ürün Kataloğu,,Kia Yol Yardım 0212 234 0770,Var,,,,,Turbo,,4,1598 cc,Common Rail Direkt Enjeksiyon,11.8 saniye,180 km/s,320 nm,136 BG,,,Güney Kore,,Binek,Prestige,SUV,2020,İçten Yanmalı (Standart),2014 tl/yıl,C,Sportage,Dizel,https://www.epey.com/araba/2020-kia-sportage-1-6-dizel-136-hp-dct-prestige-design-pack-4x2.html,,,,,,,123 g/km,4.7 lt,58 lt,,4.5 lt,5.0 lt,,,5 yıldız,2020 Kia Sportage 1.6 Dizel 136 HP DCT Prestige Design Pack (4x2) NCAP/ANCAP Web Sayfası,2015,Var,,,,,,,,Önden Çekişli,,,,,7 ileri,Otomatik,DCT (Yarı Otm.)
1155 kg,,1760 mm,4140 mm,1500 mm,1155 lt,352 lt,,2020 Kia Stonic 1.0 100 PS DCT Cool (4x2),,,,,,2020 Kia Stonic 1.0 100 PS DCT Cool (4x2) Test Sürüşü Talep Sayfası,2020 Kia Stonic 1.0 100 PS DCT Cool (4x2) Ürün Kataloğu,,Kia Yol Yardım 0212 234 0770,Var,,,,,Turbo,,3,998 cc,Direkt Enjeksiyon,11.7 saniye,180 km/s,172 nm,100 BG,,,Güney Kore,,Binek,Cool,SUV,2020,İçten Yanmalı (Standart),1156 tl/yıl,B,Stonic,Benzin,https://www.epey.com/araba/2020-kia-stonic-1-0-100-ps-dct-cool-4x2.html,,,,,,,109 g/km,4.8 lt,45 lt,,4.3 lt,5.6 lt,,,3 yıldız,2020 Kia Stonic 1.0 100 PS DCT Cool (4x2) NCAP/ANCAP Web Sayfası,2017,Var,,,,,,,,Önden Çekişli,,,,,7 ileri,Otomatik,DCT (Yarı Otm.)
1155 kg,,1760 mm,4140 mm,1500 mm,1155 lt,352 lt,,2020 Kia Stonic 1.0 100 PS DCT Elegance Design Pack (4x2),,,,,,2020 Kia Stonic 1.0 100 PS DCT Elegance Design Pack (4x2) Test Sürüşü Talep Sayfası,2020 Kia Stonic 1.0 100 PS DCT Elegance Design Pack (4x2) Ürün Kataloğu,,Kia Yol Yardım 0212 234 0770,Var,,,,,Turbo,,3,998 cc,Direkt Enjeksiyon,11.7 saniye,180 km/s,172 nm,100 BG,,,Güney Kore,,Binek,Elegance Design Pack,SUV,2020,İçten Yanmalı (Standart),1156 tl/yıl,B,Stonic,Benzin,https://www.epey.com/araba/2020-kia-stonic-1-0-100-ps-dct-elegance-design-pack-4x2.html,,,,,,,109 g/km,4.8 lt,45 lt,,4.3 lt,5.6 lt,,,3 yıldız,2020 Kia Stonic 1.0 100 PS DCT Elegance Design Pack (4x2) NCAP/ANCAP Web Sayfası,2017,Var,,,,,,,,Önden Çekişli,,,,,7 ileri,Otomatik,DCT (Yarı Otm.)
1155 kg,,1760 mm,4140 mm,1500 mm,1155 lt,352 lt,,2020 Kia Stonic 1.0 100 PS DCT Elegance Konfor (4x2),,,,,,2020 Kia Stonic 1.0 100 PS DCT Elegance Konfor (4x2) Test Sürüşü Talep Sayfası,2020 Kia Stonic 1.0 100 PS DCT Elegance Konfor (4x2) Ürün Kataloğu,,Kia Yol Yardım 0212 234 0770,Var,,,,,Turbo,,3,998 cc,Direkt Enjeksiyon,11.7 saniye,180 km/s,172 nm,100 BG,,,Güney Kore,,Binek,Elegance Konfor,SUV,2020,İçten Yanmalı (Standart),1156 tl/yıl,B,Stonic,Benzin,https://www.epey.com/araba/2020-kia-stonic-1-0-100-ps-dct-elegance-konfor-4x2.html,,,,,,,109 g/km,4.8 lt,45 lt,,4.3 lt,5.6 lt,,,3 yıldız,2020 Kia Stonic 1.0 100 PS DCT Elegance Konfor (4x2) NCAP/ANCAP Web Sayfası,2017,Var,,,,,,,,Önden Çekişli,,,,,7 ileri,Otomatik,DCT (Yarı Otm.)
1220 kg,10.40 mt.,1760 mm,4140 mm,1500 mm,1155 lt,352 lt,,2020 Kia Stonic 1.0 120 PS DCT Elegance Design Pack (4x2),,,,,,2020 Kia Stonic 1.0 120 PS DCT Elegance Design Pack (4x2) Test Sürüşü Talep Sayfası,2020 Kia Stonic 1.0 120 PS DCT Elegance Design Pack (4x2) Ürün Kataloğu,,Kia Yol Yardım 0212 234 0770,Var,,,,,Turbo,,3,998 cc,T-GDI (Turbo Doğrudan Enjeksiyon),10.6 saniye,185 km/s,171.5 nm,120 BG,,,Güney Kore,,Binek,Elegance Design Pack,SUV,2020,İçten Yanmalı (Standart),1156 tl/yıl,B,Stonic,Benzin,https://www.epey.com/araba/2020-kia-stonic-1-0-120-ps-dct-elegance-design-pack-4x2.html,,,,,,,120 g/km,5.2 lt,45 lt,,4.9 lt,5.9 lt,,,3 yıldız,2020 Kia Stonic 1.0 120 PS DCT Elegance Design Pack (4x2) NCAP/ANCAP Web Sayfası,2017,Var,,,,,,,,Önden Çekişli,,,,,7 ileri,Otomatik,DCT (Yarı Otm.)
1220 kg,10.40 mt.,1760 mm,4140 mm,1500 mm,1155 lt,352 lt,,2020 Kia Stonic 1.0 120 PS DCT Elegance Konfor (4x2),,,,,,2020 Kia Stonic 1.0 120 PS DCT Elegance Konfor (4x2) Test Sürüşü Talep Sayfası,2020 Kia Stonic 1.0 120 PS DCT Elegance Konfor (4x2) Ürün Kataloğu,,Kia Yol Yardım 0212 234 0770,Var,,,,,Turbo,,3,998 cc,T-GDI (Turbo Doğrudan Enjeksiyon),10.6 saniye,185 km/s,171.5 nm,120 BG,,,Güney Kore,,Binek,Elegance Konfor,SUV,2020,İçten Yanmalı (Standart),1156 tl/yıl,B,Stonic,Benzin,https://www.epey.com/araba/2020-kia-stonic-1-0-120-ps-dct-elegance-konfor-4x2.html,,,,,,,120 g/km,5.2 lt,45 lt,,4.9 lt,5.9 lt,,,3 yıldız,2020 Kia Stonic 1.0 120 PS DCT Elegance Konfor (4x2) NCAP/ANCAP Web Sayfası,2017,Var,,,,,,,,Önden Çekişli,,,,,7 ileri,Otomatik,DCT (Yarı Otm.)
,10.40 mt.,1760 mm,4140 mm,1500 mm,1155 lt,352 lt,,2020 Kia Stonic 1.25 84 PS Cool (4x2),,,,,,2020 Kia Stonic 1.25 84 PS Cool (4x2) Test Sürüşü Talep Sayfası,2020 Kia Stonic 1.25 84 PS Cool (4x2) Ürün Kataloğu,,Kia Yol Yardım 0212 234 0770,Var,,,,,Atmosferik,,,1248 cc,Çok Noktadan Enjeksiyon,13.2 saniye,165 km/s,121.6 nm,84 BG,,,Güney Kore,,Binek,Cool,SUV,2020,İçten Yanmalı (Standart),1156 tl/yıl,B,Stonic,Benzin,https://www.epey.com/araba/2020-kia-stonic-1-25-84-ps-cool-4x2.html,,,,,,,131 g/km,5.7 lt,45 lt,,5.2 lt,6.6 lt,,,3 yıldız,2020 Kia Stonic 1.25 84 PS Cool (4x2) NCAP/ANCAP Web Sayfası,2017,Var,,,,,,,,Önden Çekişli,,,,,5 ileri,Manuel,
1183 kg,10.40 mt.,1760 mm,4140 mm,1500 mm,1155 lt,352 lt,,2020 Kia Stonic 1.4 100 PS Otomatik Cool (4x2),,,,,,2020 Kia Stonic 1.4 100 PS Otomatik Cool (4x2) Test Sürüşü Talep Sayfası,2020 Kia Stonic 1.4 100 PS Otomatik Cool (4x2) Ürün Kataloğu,,Kia Yol Yardım 0212 234 0770,Var,,,,,Atmosferik,,4,1368 cc,Çok Noktadan Enjeksiyon,13.8 saniye,173 km/s,133 nm,100 BG,,,Güney Kore,,Binek,Cool,SUV,2020,İçten Yanmalı (Standart),2014 tl/yıl,B,Stonic,Benzin,https://www.epey.com/araba/2020-kia-stonic-1-4-100-ps-otomatik-cool-4x2.html,,,,,,,141 g/km,6.2 lt,45 lt,,5.2 lt,7.8 lt,,,3 yıldız,2020 Kia Stonic 1.4 100 PS Otomatik Cool (4x2) NCAP/ANCAP Web Sayfası,2017,Var,,,,,,,,Önden Çekişli,,,,,6 ileri,Otomatik,
1183 kg,10.40 mt.,1760 mm,4140 mm,1500 mm,1155 lt,352 lt,,2020 Kia Stonic 1.4 100 PS Otomatik Elegance Konfor (4x2),,,,,,2020 Kia Stonic 1.4 100 PS Otomatik Elegance Konfor (4x2) Test Sürüşü Talep Sayfası,2020 Kia Stonic 1.4 100 PS Otomatik Elegance Konfor (4x2) Ürün Kataloğu,,Kia Yol Yardım 0212 234 0770,Var,,,,,Atmosferik,,4,1368 cc,Çok Noktadan Enjeksiyon,13.8 saniye,173 km/s,133 nm,100 BG,,,Güney Kore,,Binek,Elegance,SUV,2020,İçten Yanmalı (Standart),2014 tl/yıl,B,Stonic,Benzin,https://www.epey.com/araba/2020-kia-stonic-1-4-100-ps-otomatik-elegance-4x2.html,,,,,,,141 g/km,6.2 lt,45 lt,,5.2 lt,7.8 lt,,,3 yıldız,2020 Kia Stonic 1.4 100 PS Otomatik Elegance Konfor (4x2) NCAP/ANCAP Web Sayfası,2017,Var,,,,,,,,Önden Çekişli,,,,,6 ileri,Otomatik,
1183 kg,10.40 mt.,1760 mm,4140 mm,1500 mm,1155 lt,352 lt,,2020 Kia Stonic 1.4 100 PS Otomatik Elegance Design Pack (4x2),,,,,,2020 Kia Stonic 1.4 100 PS Otomatik Elegance Design Pack (4x2) Test Sürüşü Talep Sayfası,2020 Kia Stonic 1.4 100 PS Otomatik Elegance Design Pack (4x2) Ürün Kataloğu,,Kia Yol Yardım 0212 234 0770,Var,,,,,Atmosferik,,4,1368 cc,Çok Noktadan Enjeksiyon,13.8 saniye,173 km/s,133 nm,100 BG,,,Güney Kore,,Binek,Elegance Design Pack,SUV,2020,İçten Yanmalı (Standart),2014 tl/yıl,B,Stonic,Benzin,https://www.epey.com/araba/2020-kia-stonic-1-4-100-ps-otomatik-elegance-design-pack-4x2.html,,,,,,,141 g/km,6.2 lt,45 lt,,5.2 lt,7.8 lt,,,3 yıldız,2020 Kia Stonic 1.4 100 PS Otomatik Elegance Design Pack (4x2) NCAP/ANCAP Web Sayfası,2017,Var,,,,,,,,Önden Çekişli,,,,,6 ileri,Otomatik,
1080 kg,10.00 mt.,1743 mm,3999 mm,1455 mm,1004 lt,300 lt,,2020 Nissan Micra 1.0 IG-T 100 PS CVT Platinum Premium,,,,,,2020 Nissan Micra 1.0 IG-T 100 PS CVT Platinum Premium Test Sürüşü Talep Sayfası,2020 Nissan Micra 1.0 IG-T 100 PS CVT Platinum Premium Ürün Kataloğu,,,,,,,,Turbo,,3,999 cc,Çok Noktadan Enjeksiyon,13.0 saniye,177 km/s,144 nm,100 BG,,,Japonya,,Binek,Platinum Premium,Hatchback,2020,İçten Yanmalı (Standart),1156 tl/yıl,B,Micra,Benzin,https://www.epey.com/araba/2020-nissan-micra-1-0-ig-t-100-ps-cvt-platinum-premium.html,,,,,,,112 g/km,4.7 lt,41 lt,,4.5 lt,5.6 lt,,,4 yıldız,2020 Nissan Micra 1.0 IG-T 100 PS CVT Platinum Premium NCAP/ANCAP Web Sayfası,2017,Var,,,,,,,,Önden Çekişli,,,,,,Otomatik,CVT
1080 kg,10.00 mt.,1743 mm,3999 mm,1455 mm,1004 lt,300 lt,,2020 Nissan Micra 1.0 IG-T 100 PS CVT Platinum,,,,,,2020 Nissan Micra 1.0 IG-T 100 PS CVT Platinum Test Sürüşü Talep Sayfası,2020 Nissan Micra 1.0 IG-T 100 PS CVT Platinum Ürün Kataloğu,,,,,,,,Turbo,,3,999 cc,Çok Noktadan Enjeksiyon,13.0 saniye,177 km/s,144 nm,100 BG,,,Japonya,,Binek,Platinum,Hatchback,2020,İçten Yanmalı (Standart),1156 tl/yıl,B,Micra,Benzin,https://www.epey.com/araba/2020-nissan-micra-1-0-ig-t-100-ps-cvt-platinum.html,,,,,,,112 g/km,4.7 lt,41 lt,,4.5 lt,5.6 lt,,,4 yıldız,2020 Nissan Micra 1.0 IG-T 100 PS CVT Platinum NCAP/ANCAP Web Sayfası,2017,Var,,,,,,,,Önden Çekişli,,,,,,Otomatik,CVT
1080 kg,10.00 mt.,1743 mm,3999 mm,1455 mm,1004 lt,300 lt,,2020 Nissan Micra 1.0 IG-T 100 PS CVT Tekna,,,,,,2020 Nissan Micra 1.0 IG-T 100 PS CVT Tekna Test Sürüşü Talep Sayfası,2020 Nissan Micra 1.0 IG-T 100 PS CVT Tekna Ürün Kataloğu,,,,,,,,Turbo,,3,999 cc,Çok Noktadan Enjeksiyon,13.0 saniye,177 km/s,144 nm,100 BG,,,Japonya,,Binek,Tekna,Hatchback,2020,İçten Yanmalı (Standart),1156 tl/yıl,B,Micra,Benzin,https://www.epey.com/araba/2020-nissan-micra-1-0-ig-t-100-ps-cvt-tekna.html,,,,,,,112 g/km,4.7 lt,41 lt,,4.5 lt,5.6 lt,,,4 yıldız,2020 Nissan Micra 1.0 IG-T 100 PS CVT Tekna NCAP/ANCAP Web Sayfası,2017,Var,,,,,,,,Önden Çekişli,,,,,,Otomatik,CVT
1080 kg,10.00 mt.,1743 mm,3999 mm,1455 mm,1004 lt,300 lt,,2020 Nissan Micra 1.0 IG-T 100 PS CVT Visia,,,,,,2020 Nissan Micra 1.0 IG-T 100 PS CVT Visia Test Sürüşü Talep Sayfası,2020 Nissan Micra 1.0 IG-T 100 PS CVT Visia Ürün Kataloğu,,,,,,,,Turbo,,3,999 cc,Çok Noktadan Enjeksiyon,13.0 saniye,177 km/s,144 nm,100 BG,,,Japonya,,Binek,Visia,Hatchback,2020,İçten Yanmalı (Standart),1156 tl/yıl,B,Micra,Benzin,https://www.epey.com/araba/2020-nissan-micra-1-0-ig-t-100-ps-cvt-visia.html,,,,,,,112 g/km,4.7 lt,41 lt,,4.5 lt,5.6 lt,,,4 yıldız,2020 Nissan Micra 1.0 IG-T 100 PS CVT Visia NCAP/ANCAP Web Sayfası,2017,Var,,,,,,,,Önden Çekişli,,,,,,Otomatik,CVT
